"datetime","backendConnectionErrors"
"2022-04-03T23:23:00Z",100
"2022-04-03T23:26:00Z",302
"2022-04-03T23:37:00Z",1
"2022-04-04T00:06:00Z",200
"2022-04-04T00:07:00Z",2
"2022-04-04T00:13:00Z",100
"2022-04-04T00:14:00Z",200
"2022-04-04T00:15:00Z",1
"2022-04-04T00:19:00Z",100
"2022-04-04T00:20:00Z",101
"2022-04-04T00:22:00Z",1
"2022-04-04T00:25:00Z",100
"2022-04-04T00:26:00Z",108
"2022-04-04T00:27:00Z",102
"2022-04-04T00:28:00Z",10
"2022-04-04T00:33:00Z",111
"2022-04-04T00:34:00Z",10
"2022-04-04T00:36:00Z",10
"2022-04-04T00:37:00Z",20
"2022-04-04T00:38:00Z",5
"2022-04-04T00:43:00Z",52
"2022-04-04T00:44:00Z",15
"2022-04-04T00:45:00Z",14
"2022-04-04T00:46:00Z",26
"2022-04-04T00:47:00Z",5
"2022-04-04T00:48:00Z",107
"2022-04-04T00:49:00Z",6
"2022-04-04T00:50:00Z",5
"2022-04-04T00:52:00Z",5
"2022-04-04T00:54:00Z",101
"2022-04-04T00:56:00Z",5
"2022-04-04T00:57:00Z",5
"2022-04-04T00:58:00Z",10
"2022-04-04T00:59:00Z",1
"2022-04-04T01:00:00Z",205
