"datetime","backendConnectionErrors"
"2022-04-04T08:59:00Z",202
"2022-04-04T09:00:00Z",104
"2022-04-04T09:16:00Z",102
"2022-04-04T09:20:00Z",1
"2022-04-04T09:27:00Z",100
"2022-04-04T09:30:00Z",200
"2022-04-04T09:32:00Z",203
"2022-04-04T09:38:00Z",1
"2022-04-04T09:39:00Z",1
"2022-04-04T09:41:00Z",3
"2022-04-04T09:44:00Z",1
"2022-04-04T09:47:00Z",200
"2022-04-04T09:50:00Z",1
"2022-04-04T09:54:00Z",200
"2022-04-04T09:55:00Z",4
"2022-04-04T10:02:00Z",101
"2022-04-04T10:08:00Z",101
"2022-04-04T10:18:00Z",200
"2022-04-04T10:24:00Z",101
"2022-04-04T10:27:00Z",200
"2022-04-04T10:34:00Z",1
"2022-04-04T10:37:00Z",101
"2022-04-04T10:39:00Z",100
"2022-04-04T10:43:00Z",101
