"datetime","estimatedProcessedBytes"
"2022-04-04T19:19:00Z",468
"2022-04-04T19:20:00Z",874
"2022-04-04T19:21:00Z",910
"2022-04-04T19:22:00Z",1760
"2022-04-04T19:23:00Z",203610668
"2022-04-04T19:24:00Z",1170826100
"2022-04-04T19:25:00Z",1124813771
"2022-04-04T19:26:00Z",486554
"2022-04-04T19:27:00Z",1229494929
"2022-04-04T19:28:00Z",1240303389
"2022-04-04T19:29:00Z",157202453
"2022-04-04T19:30:00Z",940823885
"2022-04-04T19:31:00Z",1239582997
"2022-04-04T19:32:00Z",506821781
"2022-04-04T19:33:00Z",589590009
"2022-04-04T19:34:00Z",1259986001
"2022-04-04T19:35:00Z",632845906
"2022-04-04T19:36:00Z",9872
"2022-04-04T19:37:00Z",497243292
"2022-04-04T19:38:00Z",1241859104
"2022-04-04T19:39:00Z",922010803
"2022-04-04T19:40:00Z",179084124
"2022-04-04T19:41:00Z",1230298197
"2022-04-04T19:42:00Z",1176830426
"2022-04-04T19:43:00Z",65121443
"2022-04-04T19:44:00Z",1058957994
"2022-04-04T19:45:00Z",1218253634
"2022-04-04T19:46:00Z",363493149
"2022-04-04T19:47:00Z",715419840
"2022-04-04T19:48:00Z",1216693103
"2022-04-04T19:49:00Z",672895754
"2022-04-04T19:50:00Z",418033782
"2022-04-04T19:51:00Z",1338894062
"2022-04-04T19:52:00Z",1135563305
"2022-04-04T19:53:00Z",35383805
"2022-04-04T19:54:00Z",1342288094
"2022-04-04T19:55:00Z",1333901230
"2022-04-04T19:56:00Z",181214136
"2022-04-04T19:57:00Z",1002736636
"2022-04-04T19:58:00Z",1360897402
"2022-04-04T19:59:00Z",577943030
"2022-04-04T20:00:00Z",16054
"2022-04-04T20:01:00Z",553450469
"2022-04-04T20:02:00Z",1325908184
"2022-04-04T20:03:00Z",1337195217
"2022-04-04T20:04:00Z",1337484535
"2022-04-04T20:05:00Z",1327760303
"2022-04-04T20:06:00Z",861158603
"2022-04-04T20:07:00Z",354364920
"2022-04-04T20:08:00Z",1366049275
"2022-04-04T20:09:00Z",1365322800
"2022-04-04T20:10:00Z",1354712371
"2022-04-04T20:11:00Z",1361194466
"2022-04-04T20:12:00Z",1007792249
"2022-04-04T20:13:00Z",188663458
"2022-04-04T20:14:00Z",1343584356
"2022-04-04T20:15:00Z",1341893143
"2022-04-04T20:16:00Z",1352953943
"2022-04-04T20:17:00Z",1354771752
"2022-04-04T20:18:00Z",1139603318
"2022-04-04T20:19:00Z",66614796
"2022-04-04T20:20:00Z",1339577401
"2022-04-04T20:21:00Z",1325685186
"2022-04-04T20:22:00Z",1350703661
"2022-04-04T20:23:00Z",1363570526
"2022-04-04T20:24:00Z",1288128824
"2022-04-04T20:25:00Z",1307
"2022-04-04T20:26:00Z",9618
"2022-04-04T20:27:00Z",3528
"2022-04-04T20:28:00Z",187563781
"2022-04-04T20:29:00Z",525836705
"2022-04-04T20:30:00Z",518705841
"2022-04-04T20:31:00Z",515293794
"2022-04-04T20:32:00Z",523840019
"2022-04-04T20:33:00Z",521116656
"2022-04-04T20:34:00Z",1015455813
"2022-04-04T20:35:00Z",1184979301
"2022-04-04T20:36:00Z",1169719563
"2022-04-04T20:37:00Z",1204923889
"2022-04-04T20:38:00Z",1201148168
"2022-04-04T20:39:00Z",1170083984
"2022-04-04T20:40:00Z",1402982319
"2022-04-04T20:41:00Z",1415004177
"2022-04-04T20:42:00Z",1207732937
"2022-04-04T20:43:00Z",3973
"2022-04-04T20:44:00Z",4042
"2022-04-04T20:45:00Z",3389911
"2022-04-04T20:46:00Z",581276182
"2022-04-04T20:47:00Z",552752582
"2022-04-04T20:48:00Z",545763852
"2022-04-04T20:49:00Z",558631810
"2022-04-04T20:50:00Z",583126658
"2022-04-04T20:51:00Z",877825263
"2022-04-04T20:52:00Z",1245106906
"2022-04-04T20:53:00Z",1247029713
"2022-04-04T20:54:00Z",1247480059
"2022-04-04T20:55:00Z",1244592972
"2022-04-04T20:56:00Z",1243918560
"2022-04-04T20:57:00Z",1287500513
"2022-04-04T20:58:00Z",1357037912
"2022-04-04T20:59:00Z",1380901665
"2022-04-04T21:00:00Z",229805841
"2022-04-04T21:01:00Z",3560
"2022-04-04T21:02:00Z",3728
"2022-04-04T21:03:00Z",361280507
"2022-04-04T21:04:00Z",538240161
"2022-04-04T21:05:00Z",550169714
"2022-04-04T21:06:00Z",550163527
"2022-04-04T21:07:00Z",569963757
"2022-04-04T21:08:00Z",657886130
"2022-04-04T21:09:00Z",1249536170
"2022-04-04T21:10:00Z",1250865464
"2022-04-04T21:11:00Z",1241368038
"2022-04-04T21:12:00Z",1237706172
"2022-04-04T21:13:00Z",1227722765
"2022-04-04T21:14:00Z",1261445927
"2022-04-04T21:15:00Z",1441606024
"2022-04-04T21:16:00Z",1452688874
"2022-04-04T21:17:00Z",741537697
"2022-04-04T21:18:00Z",5034
