"datetime","groupDesiredCapacity"
"2022-04-05T01:04:00Z",1
"2022-04-05T01:05:00Z",1
"2022-04-05T01:06:00Z",1
"2022-04-05T01:07:00Z",1
"2022-04-05T01:08:00Z",3
"2022-04-05T01:09:00Z",3
"2022-04-05T01:10:00Z",3
"2022-04-05T01:11:00Z",3
"2022-04-05T01:12:00Z",3
"2022-04-05T01:13:00Z",3
"2022-04-05T01:14:00Z",3
"2022-04-05T01:15:00Z",3
"2022-04-05T01:16:00Z",3
"2022-04-05T01:17:00Z",3
"2022-04-05T01:18:00Z",3
"2022-04-05T01:19:00Z",3
"2022-04-05T01:20:00Z",3
"2022-04-05T01:21:00Z",3
"2022-04-05T01:22:00Z",3
"2022-04-05T01:23:00Z",3
"2022-04-05T01:24:00Z",3
"2022-04-05T01:25:00Z",3
"2022-04-05T01:26:00Z",3
"2022-04-05T01:27:00Z",3
"2022-04-05T01:28:00Z",3
"2022-04-05T01:29:00Z",3
"2022-04-05T01:30:00Z",3
"2022-04-05T01:31:00Z",3
"2022-04-05T01:32:00Z",3
"2022-04-05T01:33:00Z",3
"2022-04-05T01:34:00Z",3
"2022-04-05T01:35:00Z",3
"2022-04-05T01:36:00Z",3
"2022-04-05T01:37:00Z",3
"2022-04-05T01:38:00Z",3
"2022-04-05T01:39:00Z",3
"2022-04-05T01:40:00Z",3
"2022-04-05T01:41:00Z",3
"2022-04-05T01:42:00Z",3
"2022-04-05T01:43:00Z",3
"2022-04-05T01:44:00Z",3
"2022-04-05T01:45:00Z",3
"2022-04-05T01:46:00Z",3
"2022-04-05T01:47:00Z",3
"2022-04-05T01:48:00Z",3
"2022-04-05T01:49:00Z",3
"2022-04-05T01:50:00Z",3
"2022-04-05T01:51:00Z",3
"2022-04-05T01:52:00Z",3
"2022-04-05T01:53:00Z",3
"2022-04-05T01:54:00Z",3
"2022-04-05T01:55:00Z",3
"2022-04-05T01:56:00Z",3
"2022-04-05T01:57:00Z",3
"2022-04-05T01:58:00Z",3
"2022-04-05T01:59:00Z",3
"2022-04-05T02:00:00Z",3
"2022-04-05T02:01:00Z",1
"2022-04-05T02:02:00Z",1
"2022-04-05T02:03:00Z",1
"2022-04-05T02:04:00Z",1
"2022-04-05T02:05:00Z",1
"2022-04-05T02:06:00Z",1
"2022-04-05T02:07:00Z",1
"2022-04-05T02:08:00Z",1
"2022-04-05T02:09:00Z",2
"2022-04-05T02:10:00Z",2
"2022-04-05T02:11:00Z",2
"2022-04-05T02:12:00Z",2
"2022-04-05T02:13:00Z",2
"2022-04-05T02:14:00Z",2
"2022-04-05T02:15:00Z",3
"2022-04-05T02:16:00Z",3
"2022-04-05T02:17:00Z",3
"2022-04-05T02:18:00Z",3
"2022-04-05T02:19:00Z",1
"2022-04-05T02:20:00Z",1
"2022-04-05T02:21:00Z",1
"2022-04-05T02:22:00Z",1
"2022-04-05T02:23:00Z",1
"2022-04-05T02:24:00Z",1
"2022-04-05T02:25:00Z",2
"2022-04-05T02:26:00Z",2
"2022-04-05T02:27:00Z",2
"2022-04-05T02:28:00Z",2
"2022-04-05T02:29:00Z",2
"2022-04-05T02:30:00Z",2
"2022-04-05T02:31:00Z",3
"2022-04-05T02:32:00Z",3
"2022-04-05T02:33:00Z",3
"2022-04-05T02:34:00Z",3
"2022-04-05T02:35:00Z",3
"2022-04-05T02:36:00Z",1
"2022-04-05T02:37:00Z",1
"2022-04-05T02:38:00Z",1
"2022-04-05T02:39:00Z",1
"2022-04-05T02:40:00Z",1
"2022-04-05T02:41:00Z",1
"2022-04-05T02:42:00Z",1
"2022-04-05T02:43:00Z",1
"2022-04-05T02:44:00Z",2
"2022-04-05T02:45:00Z",2
"2022-04-05T02:46:00Z",2
"2022-04-05T02:47:00Z",2
"2022-04-05T02:48:00Z",2
"2022-04-05T02:49:00Z",2
"2022-04-05T02:50:00Z",3
"2022-04-05T02:51:00Z",3
"2022-04-05T02:52:00Z",3
"2022-04-05T02:53:00Z",3
"2022-04-05T02:54:00Z",3
"2022-04-05T02:55:00Z",3
