"datetime","estimatedALBConsumedLCUs"
"2022-04-07T07:41:00Z",2e-05
"2022-04-07T07:42:00Z",0.00076
"2022-04-07T07:43:00Z",0.00136
"2022-04-07T07:44:00Z",0.00023
"2022-04-07T07:45:00Z",0.00141
"2022-04-07T07:46:00Z",0.00847
"2022-04-07T07:47:00Z",0.00786
"2022-04-07T07:48:00Z",0.00533
"2022-04-07T07:49:00Z",0.02208
"2022-04-07T07:50:00Z",0.00534
"2022-04-07T07:51:00Z",0.01545
"2022-04-07T07:52:00Z",0.01621
"2022-04-07T07:53:00Z",0.00529
"2022-04-07T07:54:00Z",0.02663
"2022-04-07T07:55:00Z",0.00781
"2022-04-07T07:56:00Z",0.01754
"2022-04-07T07:57:00Z",0.0216
"2022-04-07T07:58:00Z",0.00397
"2022-04-07T07:59:00Z",0.02676
"2022-04-07T08:00:00Z",0.0093
"2022-04-07T08:01:00Z",0.00032
"2022-04-07T08:02:00Z",0.01512
"2022-04-07T08:03:00Z",0.02601
"2022-04-07T08:04:00Z",0.02616
"2022-04-07T08:05:00Z",0.02616
"2022-04-07T08:06:00Z",0.02596
"2022-04-07T08:07:00Z",0.01214
"2022-04-07T08:08:00Z",0.01376
"2022-04-07T08:09:00Z",0.02662
"2022-04-07T08:10:00Z",0.02637
"2022-04-07T08:11:00Z",0.02635
"2022-04-07T08:12:00Z",0.02649
"2022-04-07T08:13:00Z",0.01247
"2022-04-07T08:14:00Z",0.01306
"2022-04-07T08:15:00Z",0.02639
"2022-04-07T08:16:00Z",0.02638
"2022-04-07T08:17:00Z",0.0265
"2022-04-07T08:18:00Z",0.02641
"2022-04-07T08:19:00Z",0.0131
"2022-04-07T08:20:00Z",0.01224
"2022-04-07T08:21:00Z",0.02633
"2022-04-07T08:22:00Z",0.02647
"2022-04-07T08:23:00Z",0.02657
"2022-04-07T08:24:00Z",0.02656
"2022-04-07T08:25:00Z",0.01371
"2022-04-07T08:26:00Z",0.00137
"2022-04-07T08:27:00Z",0.00033
"2022-04-07T08:28:00Z",0.00034
"2022-04-07T08:29:00Z",0.00635
"2022-04-07T08:30:00Z",0.00686
"2022-04-07T08:31:00Z",0.00735
"2022-04-07T08:32:00Z",0.00723
"2022-04-07T08:33:00Z",0.00698
"2022-04-07T08:34:00Z",0.00717
"2022-04-07T08:35:00Z",0.00969
"2022-04-07T08:36:00Z",0.01299
"2022-04-07T08:37:00Z",0.01377
"2022-04-07T08:38:00Z",0.0138
"2022-04-07T08:39:00Z",0.01384
"2022-04-07T08:40:00Z",0.01387
"2022-04-07T08:41:00Z",0.01387
"2022-04-07T08:42:00Z",0.024
"2022-04-07T08:43:00Z",0.00646
"2022-04-07T08:44:00Z",0.00031
"2022-04-07T08:45:00Z",0.00033
"2022-04-07T08:46:00Z",0.00532
"2022-04-07T08:47:00Z",0.00757
"2022-04-07T08:48:00Z",0.00767
"2022-04-07T08:49:00Z",0.00736
"2022-04-07T08:50:00Z",0.00724
"2022-04-07T08:51:00Z",0.00761
"2022-04-07T08:52:00Z",0.01016
"2022-04-07T08:53:00Z",0.01242
"2022-04-07T08:54:00Z",0.01386
"2022-04-07T08:55:00Z",0.01381
"2022-04-07T08:56:00Z",0.01379
"2022-04-07T08:57:00Z",0.0138
"2022-04-07T08:58:00Z",0.01965
"2022-04-07T08:59:00Z",0.02675
"2022-04-07T09:00:00Z",0.01455
"2022-04-07T09:01:00Z",0.00029
"2022-04-07T09:02:00Z",0.00032
"2022-04-07T09:03:00Z",0.00302
"2022-04-07T09:04:00Z",0.00682
"2022-04-07T09:05:00Z",0.00663
"2022-04-07T09:06:00Z",0.00672
"2022-04-07T09:07:00Z",0.00692
"2022-04-07T09:08:00Z",0.00717
"2022-04-07T09:09:00Z",0.00816
"2022-04-07T09:10:00Z",0.01114
"2022-04-07T09:11:00Z",0.01389
"2022-04-07T09:12:00Z",0.0139
"2022-04-07T09:13:00Z",0.01388
"2022-04-07T09:14:00Z",0.01386
"2022-04-07T09:15:00Z",0.015
"2022-04-07T09:16:00Z",0.01984
"2022-04-07T09:17:00Z",0.01986
"2022-04-07T09:18:00Z",0.01545
"2022-04-07T09:19:00Z",0.00068
