"datetime","estimatedALBConsumedLCUs"
"2022-04-07T19:59:00Z",0.00223
"2022-04-07T20:00:00Z",0.00724
"2022-04-07T20:01:00Z",0.00629
"2022-04-07T20:02:00Z",0.00271
"2022-04-07T20:03:00Z",0.00317
"2022-04-07T20:04:00Z",0.00249
"2022-04-07T20:05:00Z",0.01107
"2022-04-07T20:06:00Z",0.01607
"2022-04-07T20:07:00Z",0.00746
"2022-04-07T20:08:00Z",0.01649
"2022-04-07T20:09:00Z",0.01651
"2022-04-07T20:10:00Z",0.01431
"2022-04-07T20:11:00Z",0.01595
"2022-04-07T20:12:00Z",0.00861
"2022-04-07T20:13:00Z",0.01754
"2022-04-07T20:14:00Z",0.01977
"2022-04-07T20:15:00Z",0.00283
"2022-04-07T20:16:00Z",0.00952
"2022-04-07T20:17:00Z",0.01662
"2022-04-07T20:18:00Z",0.02011
"2022-04-07T20:19:00Z",0.0212
"2022-04-07T20:20:00Z",0.01816
"2022-04-07T20:21:00Z",0.01844
"2022-04-07T20:22:00Z",0.00774
"2022-04-07T20:23:00Z",0.01973
"2022-04-07T20:24:00Z",0.01979
"2022-04-07T20:25:00Z",0.01963
"2022-04-07T20:26:00Z",0.01986
"2022-04-07T20:27:00Z",0.01687
"2022-04-07T20:28:00Z",0.00988
"2022-04-07T20:29:00Z",0.01585
"2022-04-07T20:30:00Z",0.01558
"2022-04-07T20:31:00Z",0.01585
"2022-04-07T20:32:00Z",0.0161
"2022-04-07T20:33:00Z",0.01374
"2022-04-07T20:34:00Z",0.00907
"2022-04-07T20:35:00Z",0.02006
"2022-04-07T20:36:00Z",0.02052
"2022-04-07T20:37:00Z",0.02066
"2022-04-07T20:38:00Z",0.02073
"2022-04-07T20:39:00Z",0.01815
"2022-04-07T20:40:00Z",0.01352
"2022-04-07T20:41:00Z",0.00028
"2022-04-07T20:42:00Z",0.00028
"2022-04-07T20:43:00Z",0.00231
"2022-04-07T20:44:00Z",0.0065
"2022-04-07T20:45:00Z",0.00732
"2022-04-07T20:46:00Z",0.00846
"2022-04-07T20:47:00Z",0.01356
"2022-04-07T20:48:00Z",0.01606
"2022-04-07T20:49:00Z",0.01622
"2022-04-07T20:50:00Z",0.02046
"2022-04-07T20:51:00Z",0.02343
"2022-04-07T20:52:00Z",0.02228
"2022-04-07T20:53:00Z",0.02073
"2022-04-07T20:54:00Z",0.02224
"2022-04-07T20:55:00Z",0.01987
"2022-04-07T20:56:00Z",0.02003
"2022-04-07T20:57:00Z",0.02133
"2022-04-07T20:58:00Z",0.0073
"2022-04-07T20:59:00Z",0.0073
"2022-04-07T21:00:00Z",0.00028
"2022-04-07T21:01:00Z",0.00214
"2022-04-07T21:02:00Z",0.00681
"2022-04-07T21:03:00Z",0.00959
"2022-04-07T21:04:00Z",0.01574
"2022-04-07T21:05:00Z",0.01438
"2022-04-07T21:06:00Z",0.01624
"2022-04-07T21:07:00Z",0.01829
"2022-04-07T21:08:00Z",0.02508
"2022-04-07T21:09:00Z",0.02251
"2022-04-07T21:10:00Z",0.02082
"2022-04-07T21:11:00Z",0.01784
"2022-04-07T21:12:00Z",0.01904
"2022-04-07T21:13:00Z",0.02159
"2022-04-07T21:14:00Z",0.02099
"2022-04-07T21:15:00Z",0.02193
"2022-04-07T21:16:00Z",0.02298
"2022-04-07T21:17:00Z",0.01199
"2022-04-07T21:18:00Z",0.00032
"2022-04-07T21:19:00Z",0.00118
"2022-04-07T21:20:00Z",0.0058
"2022-04-07T21:21:00Z",0.00706
"2022-04-07T21:22:00Z",0.01007
"2022-04-07T21:23:00Z",0.01211
"2022-04-07T21:24:00Z",0.01717
"2022-04-07T21:25:00Z",0.01431
"2022-04-07T21:26:00Z",0.02024
"2022-04-07T21:27:00Z",0.02312
"2022-04-07T21:28:00Z",0.02089
"2022-04-07T21:29:00Z",0.02155
"2022-04-07T21:30:00Z",0.0214
"2022-04-07T21:31:00Z",0.02104
"2022-04-07T21:32:00Z",0.02323
"2022-04-07T21:33:00Z",0.02355
"2022-04-07T21:34:00Z",0.0123
"2022-04-07T21:35:00Z",0.00042
"2022-04-07T21:36:00Z",0.0008
