"datetime","estimatedProcessedBytes"
"2022-04-07T19:59:00Z",4751462
"2022-04-07T20:00:00Z",13525831
"2022-04-07T20:01:00Z",2008187
"2022-04-07T20:02:00Z",5509018
"2022-04-07T20:03:00Z",5653036
"2022-04-07T20:04:00Z",3791869
"2022-04-07T20:05:00Z",27147111
"2022-04-07T20:06:00Z",9469227
"2022-04-07T20:07:00Z",17728629
"2022-04-07T20:08:00Z",32993395
"2022-04-07T20:09:00Z",568906
"2022-04-07T20:10:00Z",30260032
"2022-04-07T20:11:00Z",19841360
"2022-04-07T20:12:00Z",10895927
"2022-04-07T20:13:00Z",37309920
"2022-04-07T20:14:00Z",7425796
"2022-04-07T20:15:00Z",2482
"2022-04-07T20:16:00Z",22743913
"2022-04-07T20:17:00Z",36738563
"2022-04-07T20:18:00Z",38471453
"2022-04-07T20:19:00Z",34399094
"2022-04-07T20:20:00Z",36594850
"2022-04-07T20:21:00Z",25001376
"2022-04-07T20:22:00Z",13831736
"2022-04-07T20:23:00Z",37564967
"2022-04-07T20:24:00Z",37525309
"2022-04-07T20:25:00Z",36700252
"2022-04-07T20:26:00Z",36731407
"2022-04-07T20:27:00Z",23329093
"2022-04-07T20:28:00Z",7717448
"2022-04-07T20:29:00Z",29477318
"2022-04-07T20:30:00Z",29488003
"2022-04-07T20:31:00Z",29097138
"2022-04-07T20:32:00Z",29846261
"2022-04-07T20:33:00Z",21928389
"2022-04-07T20:34:00Z",5909577
"2022-04-07T20:35:00Z",37694348
"2022-04-07T20:36:00Z",38347855
"2022-04-07T20:37:00Z",38583821
"2022-04-07T20:38:00Z",38569765
"2022-04-07T20:39:00Z",31660921
"2022-04-07T20:40:00Z",3336
"2022-04-07T20:41:00Z",1832
"2022-04-07T20:42:00Z",1706
"2022-04-07T20:43:00Z",6176114
"2022-04-07T20:44:00Z",13824761
"2022-04-07T20:45:00Z",15551628
"2022-04-07T20:46:00Z",19834981
"2022-04-07T20:47:00Z",29622267
"2022-04-07T20:48:00Z",29158440
"2022-04-07T20:49:00Z",30749012
"2022-04-07T20:50:00Z",37797091
"2022-04-07T20:51:00Z",45704037
"2022-04-07T20:52:00Z",40963852
"2022-04-07T20:53:00Z",42204503
"2022-04-07T20:54:00Z",42496527
"2022-04-07T20:55:00Z",36188294
"2022-04-07T20:56:00Z",39466930
"2022-04-07T20:57:00Z",42250652
"2022-04-07T20:58:00Z",11906476
"2022-04-07T20:59:00Z",2126
"2022-04-07T21:00:00Z",1784
"2022-04-07T21:01:00Z",3783776
"2022-04-07T21:02:00Z",13450763
"2022-04-07T21:03:00Z",18220729
"2022-04-07T21:04:00Z",28829705
"2022-04-07T21:05:00Z",30623179
"2022-04-07T21:06:00Z",29578111
"2022-04-07T21:07:00Z",43373723
"2022-04-07T21:08:00Z",44617214
"2022-04-07T21:09:00Z",39026457
"2022-04-07T21:10:00Z",38665581
"2022-04-07T21:11:00Z",28205678
"2022-04-07T21:12:00Z",39326635
"2022-04-07T21:13:00Z",42574852
"2022-04-07T21:14:00Z",41889722
"2022-04-07T21:15:00Z",42457019
"2022-04-07T21:16:00Z",19578194
"2022-04-07T21:17:00Z",2810
"2022-04-07T21:18:00Z",1944
"2022-04-07T21:19:00Z",1667240
"2022-04-07T21:20:00Z",12858722
"2022-04-07T21:21:00Z",16000369
"2022-04-07T21:22:00Z",15681611
"2022-04-07T21:23:00Z",29287367
"2022-04-07T21:24:00Z",28652910
"2022-04-07T21:25:00Z",30371201
"2022-04-07T21:26:00Z",41436771
"2022-04-07T21:27:00Z",42396765
"2022-04-07T21:28:00Z",36188012
"2022-04-07T21:29:00Z",40568082
"2022-04-07T21:30:00Z",41474542
"2022-04-07T21:31:00Z",40415418
"2022-04-07T21:32:00Z",41179265
"2022-04-07T21:33:00Z",40097662
"2022-04-07T21:34:00Z",23622136
"2022-04-07T21:35:00Z",2304
"2022-04-07T21:36:00Z",2452
