"datetime","estimatedProcessedBytes"
"2022-04-17T08:36:00Z",15806590
"2022-04-17T08:37:00Z",69545038
"2022-04-17T08:38:00Z",21121387
"2022-04-17T08:39:00Z",94018505
"2022-04-17T08:40:00Z",110221613
"2022-04-17T08:41:00Z",27207746
"2022-04-17T08:42:00Z",139931348
"2022-04-17T08:43:00Z",54467760
"2022-04-17T08:44:00Z",71965590
"2022-04-17T08:45:00Z",125744046
"2022-04-17T08:46:00Z",28035379
"2022-04-17T08:47:00Z",125039506
"2022-04-17T08:48:00Z",84142352
"2022-04-17T08:49:00Z",47677529
"2022-04-17T08:50:00Z",150258136
"2022-04-17T08:51:00Z",33889899
"2022-04-17T08:52:00Z",105061305
"2022-04-17T08:53:00Z",115976606
"2022-04-17T08:54:00Z",27480821
"2022-04-17T08:55:00Z",153322759
"2022-04-17T08:56:00Z",66242495
"2022-04-17T08:57:00Z",82898590
"2022-04-17T08:58:00Z",144634726
"2022-04-17T08:59:00Z",29094683
"2022-04-17T09:00:00Z",132618725
"2022-04-17T09:01:00Z",99575014
"2022-04-17T09:02:00Z",47520706
"2022-04-17T09:03:00Z",151138619
"2022-04-17T09:04:00Z",32824313
"2022-04-17T09:05:00Z",2462
"2022-04-17T09:06:00Z",104218190
"2022-04-17T09:07:00Z",150302258
"2022-04-17T09:08:00Z",151272777
"2022-04-17T09:09:00Z",152538107
"2022-04-17T09:10:00Z",159352566
"2022-04-17T09:11:00Z",83913772
"2022-04-17T09:12:00Z",65212455
"2022-04-17T09:13:00Z",160766816
"2022-04-17T09:14:00Z",161854255
"2022-04-17T09:15:00Z",162065183
"2022-04-17T09:16:00Z",159984823
"2022-04-17T09:17:00Z",93612274
"2022-04-17T09:18:00Z",52572049
"2022-04-17T09:19:00Z",165010463
"2022-04-17T09:20:00Z",163777300
"2022-04-17T09:21:00Z",163255082
"2022-04-17T09:22:00Z",165966976
"2022-04-17T09:23:00Z",111662371
"2022-04-17T09:24:00Z",27798757
"2022-04-17T09:25:00Z",151022079
"2022-04-17T09:26:00Z",155256034
"2022-04-17T09:27:00Z",154118910
"2022-04-17T09:28:00Z",154797505
"2022-04-17T09:29:00Z",126201657
"2022-04-17T09:30:00Z",1934648
"2022-04-17T09:31:00Z",1706
"2022-04-17T09:32:00Z",1706
"2022-04-17T09:33:00Z",9475337
"2022-04-17T09:34:00Z",48468091
"2022-04-17T09:35:00Z",65645699
"2022-04-17T09:36:00Z",108660114
"2022-04-17T09:37:00Z",112326729
"2022-04-17T09:38:00Z",112616727
"2022-04-17T09:39:00Z",115148024
"2022-04-17T09:40:00Z",139376374
"2022-04-17T09:41:00Z",135701256
"2022-04-17T09:42:00Z",154156296
"2022-04-17T09:43:00Z",156329789
"2022-04-17T09:44:00Z",148224750
"2022-04-17T09:45:00Z",151815307
"2022-04-17T09:46:00Z",155619907
"2022-04-17T09:47:00Z",155298932
"2022-04-17T09:48:00Z",81096718
"2022-04-17T09:49:00Z",6054
"2022-04-17T09:50:00Z",1736
"2022-04-17T09:51:00Z",7161779
"2022-04-17T09:52:00Z",43549344
"2022-04-17T09:53:00Z",60668355
"2022-04-17T09:54:00Z",107577586
"2022-04-17T09:55:00Z",116310124
"2022-04-17T09:56:00Z",151708935
"2022-04-17T09:57:00Z",163675022
"2022-04-17T09:58:00Z",167828823
"2022-04-17T09:59:00Z",163402987
"2022-04-17T10:00:00Z",154673689
"2022-04-17T10:01:00Z",151763382
"2022-04-17T10:02:00Z",157574123
"2022-04-17T10:03:00Z",159045353
"2022-04-17T10:04:00Z",157799722
"2022-04-17T10:05:00Z",151283495
"2022-04-17T10:06:00Z",95327998
"2022-04-17T10:07:00Z",2504
"2022-04-17T10:08:00Z",1706
"2022-04-17T10:09:00Z",1706
"2022-04-17T10:10:00Z",18817160
"2022-04-17T10:11:00Z",49059279
"2022-04-17T10:12:00Z",57017285
"2022-04-17T10:13:00Z",56186788
"2022-04-17T10:14:00Z",73401592
"2022-04-17T10:15:00Z",112345091
"2022-04-17T10:16:00Z",110429878
"2022-04-17T10:17:00Z",114610766
"2022-04-17T10:18:00Z",116117634
"2022-04-17T10:19:00Z",152667040
"2022-04-17T10:20:00Z",158265816
"2022-04-17T10:21:00Z",147770853
"2022-04-17T10:22:00Z",157324302
"2022-04-17T10:23:00Z",155030926
"2022-04-17T10:24:00Z",142606186
"2022-04-17T10:25:00Z",46034866
"2022-04-17T10:26:00Z",2452
"2022-04-17T10:27:00Z",1488
