"datetime","estimatedProcessedBytes"
"2022-04-17T22:47:00Z",1872
"2022-04-17T22:48:00Z",1914
"2022-04-17T22:49:00Z",143693191
"2022-04-17T22:50:00Z",466561063
"2022-04-17T22:51:00Z",389986299
"2022-04-17T22:52:00Z",225464267
"2022-04-17T22:53:00Z",637811350
"2022-04-17T22:54:00Z",528409066
"2022-04-17T22:55:00Z",258607527
"2022-04-17T22:56:00Z",505035984
"2022-04-17T22:57:00Z",555504542
"2022-04-17T22:58:00Z",250069996
"2022-04-17T22:59:00Z",418686795
"2022-04-17T23:00:00Z",639145010
"2022-04-17T23:01:00Z",272321275
"2022-04-17T23:02:00Z",296802208
"2022-04-17T23:03:00Z",647694358
"2022-04-17T23:04:00Z",394581569
"2022-04-17T23:05:00Z",247081627
"2022-04-17T23:06:00Z",557770773
"2022-04-17T23:07:00Z",493387088
"2022-04-17T23:08:00Z",294590517
"2022-04-17T23:09:00Z",682610723
"2022-04-17T23:10:00Z",638673384
"2022-04-17T23:11:00Z",7501305
"2022-04-17T23:12:00Z",649207379
"2022-04-17T23:13:00Z",691969445
"2022-04-17T23:14:00Z",148311776
"2022-04-17T23:15:00Z",461677977
"2022-04-17T23:16:00Z",689790629
"2022-04-17T23:17:00Z",318208767
"2022-04-17T23:18:00Z",279561850
"2022-04-17T23:19:00Z",687473659
"2022-04-17T23:20:00Z",520720785
"2022-04-17T23:21:00Z",74220063
"2022-04-17T23:22:00Z",531012672
"2022-04-17T23:23:00Z",682736715
"2022-04-17T23:24:00Z",221621375
"2022-04-17T23:25:00Z",7012
"2022-04-17T23:26:00Z",387038498
"2022-04-17T23:27:00Z",672742651
"2022-04-17T23:28:00Z",674594311
"2022-04-17T23:29:00Z",670806012
"2022-04-17T23:30:00Z",661234314
"2022-04-17T23:31:00Z",456324478
"2022-04-17T23:32:00Z",225773037
"2022-04-17T23:33:00Z",675378868
"2022-04-17T23:34:00Z",705248569
"2022-04-17T23:35:00Z",702972764
"2022-04-17T23:36:00Z",703135257
"2022-04-17T23:37:00Z",484774689
"2022-04-17T23:38:00Z",208968484
"2022-04-17T23:39:00Z",642633244
"2022-04-17T23:40:00Z",708193521
"2022-04-17T23:41:00Z",708361067
"2022-04-17T23:42:00Z",704862519
"2022-04-17T23:43:00Z",525340401
"2022-04-17T23:44:00Z",199258160
"2022-04-17T23:45:00Z",594258741
"2022-04-17T23:46:00Z",679336487
"2022-04-17T23:47:00Z",696122880
"2022-04-17T23:48:00Z",700424859
"2022-04-17T23:49:00Z",567887601
"2022-04-17T23:50:00Z",106496226
"2022-04-17T23:51:00Z",2116
"2022-04-17T23:52:00Z",1660
"2022-04-17T23:53:00Z",3550842
"2022-04-17T23:54:00Z",158789829
"2022-04-17T23:55:00Z",266139791
"2022-04-17T23:56:00Z",267962735
"2022-04-17T23:57:00Z",357870199
"2022-04-17T23:58:00Z",446794214
"2022-04-17T23:59:00Z",457433086
"2022-04-18T00:00:00Z",513089544
"2022-04-18T00:01:00Z",637435640
"2022-04-18T00:02:00Z",637946285
"2022-04-18T00:03:00Z",642573105
"2022-04-18T00:04:00Z",634434376
"2022-04-18T00:05:00Z",634044875
"2022-04-18T00:06:00Z",620098069
"2022-04-18T00:07:00Z",626215792
"2022-04-18T00:08:00Z",538597317
"2022-04-18T00:09:00Z",117762306
"2022-04-18T00:10:00Z",2950
"2022-04-18T00:11:00Z",1780
"2022-04-18T00:12:00Z",36939423
"2022-04-18T00:13:00Z",191227284
"2022-04-18T00:14:00Z",256408250
"2022-04-18T00:15:00Z",268932171
"2022-04-18T00:16:00Z",370762747
"2022-04-18T00:17:00Z",446541949
"2022-04-18T00:18:00Z",457592746
"2022-04-18T00:19:00Z",481336408
"2022-04-18T00:20:00Z",477758442
"2022-04-18T00:21:00Z",544239311
"2022-04-18T00:22:00Z",611747600
"2022-04-18T00:23:00Z",648331088
"2022-04-18T00:24:00Z",642210599
"2022-04-18T00:25:00Z",632025993
"2022-04-18T00:26:00Z",655427333
"2022-04-18T00:27:00Z",438116955
"2022-04-18T00:28:00Z",14282992
"2022-04-18T00:29:00Z",1816
"2022-04-18T00:30:00Z",23790199
"2022-04-18T00:31:00Z",170723001
"2022-04-18T00:32:00Z",250189886
"2022-04-18T00:33:00Z",261498938
"2022-04-18T00:34:00Z",360800865
"2022-04-18T00:35:00Z",265303676
"2022-04-18T00:36:00Z",476978875
"2022-04-18T00:37:00Z",498784915
"2022-04-18T00:38:00Z",586767554
"2022-04-18T00:39:00Z",653192818
"2022-04-18T00:40:00Z",648513735
"2022-04-18T00:41:00Z",655185145
"2022-04-18T00:42:00Z",653183020
"2022-04-18T00:43:00Z",654529598
"2022-04-18T00:44:00Z",658863126
"2022-04-18T00:45:00Z",602067083
"2022-04-18T00:46:00Z",155214140
"2022-04-18T00:47:00Z",2450
