"datetime","groupInServiceCapacity"
"2022-04-18T06:02:00Z",1
"2022-04-18T06:03:00Z",1
"2022-04-18T06:04:00Z",1
"2022-04-18T06:05:00Z",1
"2022-04-18T06:06:00Z",3
"2022-04-18T06:07:00Z",3
"2022-04-18T06:08:00Z",3
"2022-04-18T06:09:00Z",3
"2022-04-18T06:10:00Z",3
"2022-04-18T06:11:00Z",3
"2022-04-18T06:12:00Z",3
"2022-04-18T06:13:00Z",3
"2022-04-18T06:14:00Z",3
"2022-04-18T06:15:00Z",3
"2022-04-18T06:16:00Z",3
"2022-04-18T06:17:00Z",3
"2022-04-18T06:18:00Z",3
"2022-04-18T06:19:00Z",3
"2022-04-18T06:20:00Z",3
"2022-04-18T06:21:00Z",3
"2022-04-18T06:22:00Z",3
"2022-04-18T06:23:00Z",3
"2022-04-18T06:24:00Z",3
"2022-04-18T06:25:00Z",3
"2022-04-18T06:26:00Z",3
"2022-04-18T06:27:00Z",3
"2022-04-18T06:28:00Z",3
"2022-04-18T06:29:00Z",3
"2022-04-18T06:30:00Z",3
"2022-04-18T06:31:00Z",3
"2022-04-18T06:32:00Z",3
"2022-04-18T06:33:00Z",3
"2022-04-18T06:34:00Z",3
"2022-04-18T06:35:00Z",3
"2022-04-18T06:36:00Z",3
"2022-04-18T06:37:00Z",3
"2022-04-18T06:38:00Z",3
"2022-04-18T06:39:00Z",3
"2022-04-18T06:40:00Z",3
"2022-04-18T06:41:00Z",3
"2022-04-18T06:42:00Z",3
"2022-04-18T06:43:00Z",3
"2022-04-18T06:44:00Z",3
"2022-04-18T06:45:00Z",3
"2022-04-18T06:46:00Z",3
"2022-04-18T06:47:00Z",3
"2022-04-18T06:48:00Z",3
"2022-04-18T06:49:00Z",3
"2022-04-18T06:50:00Z",3
"2022-04-18T06:51:00Z",3
"2022-04-18T06:52:00Z",3
"2022-04-18T06:53:00Z",3
"2022-04-18T06:54:00Z",3
"2022-04-18T06:55:00Z",3
"2022-04-18T06:56:00Z",3
"2022-04-18T06:57:00Z",3
"2022-04-18T06:58:00Z",3
"2022-04-18T06:59:00Z",3
"2022-04-18T07:00:00Z",1
"2022-04-18T07:01:00Z",1
"2022-04-18T07:02:00Z",1
"2022-04-18T07:03:00Z",1
"2022-04-18T07:04:00Z",1
"2022-04-18T07:05:00Z",2
"2022-04-18T07:06:00Z",2
"2022-04-18T07:07:00Z",3
"2022-04-18T07:08:00Z",3
"2022-04-18T07:09:00Z",3
"2022-04-18T07:10:00Z",3
"2022-04-18T07:11:00Z",3
"2022-04-18T07:12:00Z",3
"2022-04-18T07:13:00Z",3
"2022-04-18T07:14:00Z",3
"2022-04-18T07:15:00Z",3
"2022-04-18T07:16:00Z",3
"2022-04-18T07:17:00Z",3
"2022-04-18T07:18:00Z",3
"2022-04-18T07:19:00Z",1
"2022-04-18T07:20:00Z",1
"2022-04-18T07:21:00Z",1
"2022-04-18T07:22:00Z",1
"2022-04-18T07:23:00Z",1
"2022-04-18T07:24:00Z",2
"2022-04-18T07:25:00Z",2
"2022-04-18T07:26:00Z",3
"2022-04-18T07:27:00Z",3
"2022-04-18T07:28:00Z",3
"2022-04-18T07:29:00Z",3
"2022-04-18T07:30:00Z",3
"2022-04-18T07:31:00Z",3
"2022-04-18T07:32:00Z",3
"2022-04-18T07:33:00Z",3
"2022-04-18T07:34:00Z",3
"2022-04-18T07:35:00Z",3
"2022-04-18T07:36:00Z",3
"2022-04-18T07:37:00Z",1
"2022-04-18T07:38:00Z",1
"2022-04-18T07:39:00Z",1
"2022-04-18T07:40:00Z",1
"2022-04-18T07:41:00Z",1
"2022-04-18T07:42:00Z",1
"2022-04-18T07:43:00Z",2
"2022-04-18T07:44:00Z",2
"2022-04-18T07:45:00Z",3
"2022-04-18T07:46:00Z",3
"2022-04-18T07:47:00Z",3
"2022-04-18T07:48:00Z",3
"2022-04-18T07:49:00Z",3
"2022-04-18T07:50:00Z",3
"2022-04-18T07:51:00Z",3
"2022-04-18T07:52:00Z",3
"2022-04-18T07:53:00Z",3
"2022-04-18T07:54:00Z",3
"2022-04-18T07:55:00Z",3
"2022-04-18T07:56:00Z",3
"2022-04-18T07:57:00Z",3
"2022-04-18T07:58:00Z",3
