"datetime","estimatedALBConsumedLCUs"
"2022-04-19T03:28:00Z",0.01343
"2022-04-19T03:29:00Z",0.01737
"2022-04-19T03:30:00Z",0.00816
"2022-04-19T03:31:00Z",0.0257
"2022-04-19T03:32:00Z",0.02513
"2022-04-19T03:33:00Z",0.03097
"2022-04-19T03:34:00Z",0.04715
"2022-04-19T03:35:00Z",0.01697
"2022-04-19T03:36:00Z",0.05443
"2022-04-19T03:37:00Z",0.04936
"2022-04-19T03:38:00Z",0.02748
"2022-04-19T03:39:00Z",0.05446
"2022-04-19T03:40:00Z",0.02993
"2022-04-19T03:41:00Z",0.04359
"2022-04-19T03:42:00Z",0.0496
"2022-04-19T03:43:00Z",0.01709
"2022-04-19T03:44:00Z",0.06204
"2022-04-19T03:45:00Z",0.04101
"2022-04-19T03:46:00Z",0.0371
"2022-04-19T03:47:00Z",0.06042
"2022-04-19T03:48:00Z",0.02389
"2022-04-19T03:49:00Z",0.06252
"2022-04-19T03:50:00Z",0.0596
"2022-04-19T03:51:00Z",0.02575
"2022-04-19T03:52:00Z",0.0583
"2022-04-19T03:53:00Z",0.03061
"2022-04-19T03:54:00Z",0.0452
"2022-04-19T03:55:00Z",0.06071
"2022-04-19T03:56:00Z",0.01255
"2022-04-19T03:57:00Z",0.01248
"2022-04-19T03:58:00Z",0.05906
"2022-04-19T03:59:00Z",0.0609
"2022-04-19T04:00:00Z",0.05737
"2022-04-19T04:01:00Z",0.05808
"2022-04-19T04:02:00Z",0.06322
"2022-04-19T04:03:00Z",0.03652
"2022-04-19T04:04:00Z",0.05711
"2022-04-19T04:05:00Z",0.06035
"2022-04-19T04:06:00Z",0.06267
"2022-04-19T04:07:00Z",0.06231
"2022-04-19T04:08:00Z",0.0607
"2022-04-19T04:09:00Z",0.03526
"2022-04-19T04:10:00Z",0.05112
"2022-04-19T04:11:00Z",0.06452
"2022-04-19T04:12:00Z",0.06465
"2022-04-19T04:13:00Z",0.06515
"2022-04-19T04:14:00Z",0.06506
"2022-04-19T04:15:00Z",0.04393
"2022-04-19T04:16:00Z",0.04437
"2022-04-19T04:17:00Z",0.06489
"2022-04-19T04:18:00Z",0.06412
"2022-04-19T04:19:00Z",0.0644
"2022-04-19T04:20:00Z",0.06296
"2022-04-19T04:21:00Z",0.05077
"2022-04-19T04:22:00Z",0.00087
"2022-04-19T04:23:00Z",0.00036
"2022-04-19T04:24:00Z",0.0051
"2022-04-19T04:25:00Z",0.01924
"2022-04-19T04:26:00Z",0.02546
"2022-04-19T04:27:00Z",0.03384
"2022-04-19T04:28:00Z",0.05044
"2022-04-19T04:29:00Z",0.04815
"2022-04-19T04:30:00Z",0.0483
"2022-04-19T04:31:00Z",0.05277
"2022-04-19T04:32:00Z",0.05434
"2022-04-19T04:33:00Z",0.0572
"2022-04-19T04:34:00Z",0.0574
"2022-04-19T04:35:00Z",0.05739
"2022-04-19T04:36:00Z",0.06058
"2022-04-19T04:37:00Z",0.05863
"2022-04-19T04:38:00Z",0.05708
"2022-04-19T04:39:00Z",0.06594
"2022-04-19T04:40:00Z",0.00046
"2022-04-19T04:41:00Z",0.00031
"2022-04-19T04:42:00Z",0.00039
"2022-04-19T04:43:00Z",0.00525
"2022-04-19T04:44:00Z",0.01876
"2022-04-19T04:45:00Z",0.02536
"2022-04-19T04:46:00Z",0.03399
"2022-04-19T04:47:00Z",0.04837
"2022-04-19T04:48:00Z",0.04812
"2022-04-19T04:49:00Z",0.05678
"2022-04-19T04:50:00Z",0.05725
"2022-04-19T04:51:00Z",0.05815
"2022-04-19T04:52:00Z",0.06117
"2022-04-19T04:53:00Z",0.06154
"2022-04-19T04:54:00Z",0.0618
"2022-04-19T04:55:00Z",0.0569
"2022-04-19T04:56:00Z",0.06081
"2022-04-19T04:57:00Z",0.0572
"2022-04-19T04:58:00Z",0.06047
"2022-04-19T04:59:00Z",0.00132
"2022-04-19T05:00:00Z",0.00032
"2022-04-19T05:01:00Z",0.0031
"2022-04-19T05:02:00Z",0.01619
"2022-04-19T05:03:00Z",0.0238
"2022-04-19T05:04:00Z",0.02562
"2022-04-19T05:05:00Z",0.04298
"2022-04-19T05:06:00Z",0.04869
"2022-04-19T05:07:00Z",0.04789
"2022-04-19T05:08:00Z",0.06015
"2022-04-19T05:09:00Z",0.06049
"2022-04-19T05:10:00Z",0.06132
"2022-04-19T05:11:00Z",0.05894
"2022-04-19T05:12:00Z",0.05618
"2022-04-19T05:13:00Z",0.06362
"2022-04-19T05:14:00Z",0.05738
"2022-04-19T05:15:00Z",0.05571
"2022-04-19T05:16:00Z",0.05649
"2022-04-19T05:17:00Z",0.00239
"2022-04-19T05:18:00Z",0.00034
