"datetime","backendConnectionErrors"
"2022-04-20T20:59:00Z",100
"2022-04-20T21:01:00Z",100
"2022-04-20T21:02:00Z",105
"2022-04-20T21:04:00Z",1
"2022-04-20T21:07:00Z",1
"2022-04-20T21:25:00Z",1
"2022-04-20T21:34:00Z",1
"2022-04-20T21:48:00Z",1
"2022-04-20T21:50:00Z",1
"2022-04-20T21:51:00Z",1
"2022-04-20T21:54:00Z",1
"2022-04-20T21:55:00Z",204
"2022-04-20T21:57:00Z",100
"2022-04-20T22:02:00Z",100
"2022-04-20T22:03:00Z",103
"2022-04-20T22:07:00Z",1
"2022-04-20T22:09:00Z",103
"2022-04-20T22:19:00Z",104
"2022-04-20T22:25:00Z",102
"2022-04-20T22:26:00Z",1
"2022-04-20T22:28:00Z",100
"2022-04-20T22:37:00Z",102
"2022-04-20T22:43:00Z",103
