"datetime","estimatedProcessedBytes"
"2022-04-22T00:43:00Z",1450
"2022-04-22T00:44:00Z",2778
"2022-04-22T00:45:00Z",2722
"2022-04-22T00:46:00Z",2692
"2022-04-22T00:47:00Z",2754
"2022-04-22T00:48:00Z",28155759
"2022-04-22T00:49:00Z",49684253
"2022-04-22T00:50:00Z",419221
"2022-04-22T00:51:00Z",40245146
"2022-04-22T00:52:00Z",19620961
"2022-04-22T00:53:00Z",19328220
"2022-04-22T00:54:00Z",39162366
"2022-04-22T00:55:00Z",400537
"2022-04-22T00:56:00Z",52531752
"2022-04-22T00:57:00Z",30198927
"2022-04-22T00:58:00Z",23736638
"2022-04-22T00:59:00Z",54894058
"2022-04-22T01:00:00Z",3253915
"2022-04-22T01:01:00Z",64840137
"2022-04-22T01:02:00Z",42037348
"2022-04-22T01:03:00Z",28349378
"2022-04-22T01:04:00Z",72382654
"2022-04-22T01:05:00Z",8404736
"2022-04-22T01:06:00Z",62187246
"2022-04-22T01:07:00Z",46696957
"2022-04-22T01:08:00Z",24479893
"2022-04-22T01:09:00Z",71806157
"2022-04-22T01:10:00Z",11654638
"2022-04-22T01:11:00Z",60125524
"2022-04-22T01:12:00Z",48177835
"2022-04-22T01:13:00Z",19245815
"2022-04-22T01:14:00Z",68175845
"2022-04-22T01:15:00Z",14309540
"2022-04-22T01:16:00Z",4038
"2022-04-22T01:17:00Z",52096539
"2022-04-22T01:18:00Z",69159782
"2022-04-22T01:19:00Z",69549535
"2022-04-22T01:20:00Z",67295348
"2022-04-22T01:21:00Z",71707607
"2022-04-22T01:22:00Z",22404053
"2022-04-22T01:23:00Z",46818071
"2022-04-22T01:24:00Z",69164234
"2022-04-22T01:25:00Z",70533178
"2022-04-22T01:26:00Z",68698558
"2022-04-22T01:27:00Z",70200151
"2022-04-22T01:28:00Z",22900506
"2022-04-22T01:29:00Z",45326817
"2022-04-22T01:30:00Z",68482070
"2022-04-22T01:31:00Z",70838533
"2022-04-22T01:32:00Z",71044364
"2022-04-22T01:33:00Z",69021927
"2022-04-22T01:34:00Z",25159707
"2022-04-22T01:35:00Z",43006602
"2022-04-22T01:36:00Z",70941482
"2022-04-22T01:37:00Z",70854228
"2022-04-22T01:38:00Z",70229381
"2022-04-22T01:39:00Z",71997275
"2022-04-22T01:40:00Z",27790105
"2022-04-22T01:41:00Z",8859
"2022-04-22T01:42:00Z",3004
"2022-04-22T01:43:00Z",223471
"2022-04-22T01:44:00Z",22610561
"2022-04-22T01:45:00Z",22124066
"2022-04-22T01:46:00Z",22346199
"2022-04-22T01:47:00Z",22324055
"2022-04-22T01:48:00Z",22809343
"2022-04-22T01:49:00Z",46203345
"2022-04-22T01:50:00Z",67223581
"2022-04-22T01:51:00Z",67942999
"2022-04-22T01:52:00Z",66433429
"2022-04-22T01:53:00Z",70308762
"2022-04-22T01:54:00Z",69200930
"2022-04-22T01:55:00Z",70003077
"2022-04-22T01:56:00Z",70542263
"2022-04-22T01:57:00Z",69844682
"2022-04-22T01:58:00Z",12545684
"2022-04-22T01:59:00Z",3154
"2022-04-22T02:00:00Z",2876
"2022-04-22T02:01:00Z",10952750
"2022-04-22T02:02:00Z",15368727
"2022-04-22T02:03:00Z",13904785
"2022-04-22T02:04:00Z",15159654
"2022-04-22T02:05:00Z",15026871
"2022-04-22T02:06:00Z",27134636
"2022-04-22T02:07:00Z",72947129
"2022-04-22T02:08:00Z",71678299
"2022-04-22T02:09:00Z",74089424
"2022-04-22T02:10:00Z",74573801
"2022-04-22T02:11:00Z",73618175
"2022-04-22T02:12:00Z",72448044
"2022-04-22T02:13:00Z",71669769
"2022-04-22T02:14:00Z",71416630
"2022-04-22T02:15:00Z",36830616
"2022-04-22T02:16:00Z",3242
"2022-04-22T02:17:00Z",2834
"2022-04-22T02:18:00Z",10058270
"2022-04-22T02:19:00Z",20459356
"2022-04-22T02:20:00Z",18284921
"2022-04-22T02:21:00Z",20905488
"2022-04-22T02:22:00Z",20804488
"2022-04-22T02:23:00Z",39751178
"2022-04-22T02:24:00Z",71342901
"2022-04-22T02:25:00Z",70366327
"2022-04-22T02:26:00Z",70098714
"2022-04-22T02:27:00Z",70033147
"2022-04-22T02:28:00Z",69008953
"2022-04-22T02:29:00Z",72355948
"2022-04-22T02:30:00Z",69628799
"2022-04-22T02:31:00Z",70319240
"2022-04-22T02:32:00Z",54906879
"2022-04-22T02:33:00Z",3962
"2022-04-22T02:34:00Z",2532
