"datetime","estimatedALBActiveConnectionCount"
"2022-04-22T19:57:00Z",3
"2022-04-22T19:58:00Z",3.5
"2022-04-22T19:59:00Z",3.5
"2022-04-22T20:00:00Z",4.5
"2022-04-22T20:01:00Z",8.5
"2022-04-22T20:02:00Z",13.5
"2022-04-22T20:03:00Z",8.5
"2022-04-22T20:04:00Z",14.5
"2022-04-22T20:05:00Z",11.5
"2022-04-22T20:06:00Z",12.5
"2022-04-22T20:07:00Z",16
"2022-04-22T20:08:00Z",9
"2022-04-22T20:09:00Z",17
"2022-04-22T20:10:00Z",13
"2022-04-22T20:11:00Z",13
"2022-04-22T20:12:00Z",18
"2022-04-22T20:13:00Z",9
"2022-04-22T20:14:00Z",19
"2022-04-22T20:15:00Z",13.5
"2022-04-22T20:16:00Z",8.5
"2022-04-22T20:17:00Z",8.5
"2022-04-22T20:18:00Z",19
"2022-04-22T20:19:00Z",19
"2022-04-22T20:20:00Z",19
"2022-04-22T20:21:00Z",19
"2022-04-22T20:22:00Z",19
"2022-04-22T20:23:00Z",9.5
"2022-04-22T20:24:00Z",19
"2022-04-22T20:25:00Z",19.5
"2022-04-22T20:26:00Z",19
"2022-04-22T20:27:00Z",19
"2022-04-22T20:28:00Z",18.5
"2022-04-22T20:29:00Z",8.5
"2022-04-22T20:30:00Z",18.5
"2022-04-22T20:31:00Z",19
"2022-04-22T20:32:00Z",19
"2022-04-22T20:33:00Z",19
"2022-04-22T20:34:00Z",19
"2022-04-22T20:35:00Z",9
"2022-04-22T20:36:00Z",19
"2022-04-22T20:37:00Z",19
"2022-04-22T20:38:00Z",19
"2022-04-22T20:39:00Z",19
"2022-04-22T20:40:00Z",19
"2022-04-22T20:41:00Z",5.5
"2022-04-22T20:42:00Z",4
"2022-04-22T20:43:00Z",4.5
"2022-04-22T20:44:00Z",14.5
"2022-04-22T20:45:00Z",14.5
"2022-04-22T20:46:00Z",14.5
"2022-04-22T20:47:00Z",14.5
"2022-04-22T20:48:00Z",15
"2022-04-22T20:49:00Z",14
"2022-04-22T20:50:00Z",14
"2022-04-22T20:51:00Z",22.5
"2022-04-22T20:52:00Z",12.5
"2022-04-22T20:53:00Z",17.5
"2022-04-22T20:54:00Z",17.5
"2022-04-22T20:55:00Z",17.5
"2022-04-22T20:56:00Z",17.5
"2022-04-22T20:57:00Z",16.5
"2022-04-22T20:58:00Z",14
"2022-04-22T20:59:00Z",6
"2022-04-22T21:00:00Z",4
"2022-04-22T21:01:00Z",9
"2022-04-22T21:02:00Z",26
"2022-04-22T21:03:00Z",10.5
"2022-04-22T21:04:00Z",18
"2022-04-22T21:05:00Z",19
"2022-04-22T21:06:00Z",19
"2022-04-22T21:07:00Z",18
"2022-04-22T21:08:00Z",18.5
"2022-04-22T21:09:00Z",18.5
"2022-04-22T21:10:00Z",18.5
"2022-04-22T21:11:00Z",18.5
"2022-04-22T21:12:00Z",18.5
"2022-04-22T21:13:00Z",18.5
"2022-04-22T21:14:00Z",18.5
"2022-04-22T21:15:00Z",18.5
"2022-04-22T21:16:00Z",6
"2022-04-22T21:17:00Z",4
"2022-04-22T21:18:00Z",4
"2022-04-22T21:19:00Z",14
"2022-04-22T21:20:00Z",14
"2022-04-22T21:21:00Z",14.5
"2022-04-22T21:22:00Z",14
"2022-04-22T21:23:00Z",14
"2022-04-22T21:24:00Z",21
"2022-04-22T21:25:00Z",23
"2022-04-22T21:26:00Z",18
"2022-04-22T21:27:00Z",18
"2022-04-22T21:28:00Z",18
"2022-04-22T21:29:00Z",18
"2022-04-22T21:30:00Z",18
"2022-04-22T21:31:00Z",18
"2022-04-22T21:32:00Z",17.5
"2022-04-22T21:33:00Z",8
"2022-04-22T21:34:00Z",8
"2022-04-22T21:35:00Z",8
