"datetime","estimatedProcessedBytes"
"2022-04-22T19:57:00Z",1742
"2022-04-22T19:58:00Z",3500
"2022-04-22T19:59:00Z",3468
"2022-04-22T20:00:00Z",3844
"2022-04-22T20:01:00Z",11395
"2022-04-22T20:02:00Z",25643171
"2022-04-22T20:03:00Z",13587957
"2022-04-22T20:04:00Z",17593076
"2022-04-22T20:05:00Z",31641224
"2022-04-22T20:06:00Z",2287607
"2022-04-22T20:07:00Z",37449490
"2022-04-22T20:08:00Z",20055940
"2022-04-22T20:09:00Z",18370075
"2022-04-22T20:10:00Z",37553468
"2022-04-22T20:11:00Z",3018905
"2022-04-22T20:12:00Z",35817214
"2022-04-22T20:13:00Z",20956548
"2022-04-22T20:14:00Z",16667982
"2022-04-22T20:15:00Z",39148168
"2022-04-22T20:16:00Z",3424553
"2022-04-22T20:17:00Z",5114
"2022-04-22T20:18:00Z",34724054
"2022-04-22T20:19:00Z",39400881
"2022-04-22T20:20:00Z",38869089
"2022-04-22T20:21:00Z",39436685
"2022-04-22T20:22:00Z",38155337
"2022-04-22T20:23:00Z",6786399
"2022-04-22T20:24:00Z",32300824
"2022-04-22T20:25:00Z",39282331
"2022-04-22T20:26:00Z",39521014
"2022-04-22T20:27:00Z",39808929
"2022-04-22T20:28:00Z",38110541
"2022-04-22T20:29:00Z",7317847
"2022-04-22T20:30:00Z",30448686
"2022-04-22T20:31:00Z",40192053
"2022-04-22T20:32:00Z",40025928
"2022-04-22T20:33:00Z",40102888
"2022-04-22T20:34:00Z",40049912
"2022-04-22T20:35:00Z",8244865
"2022-04-22T20:36:00Z",30131866
"2022-04-22T20:37:00Z",40332335
"2022-04-22T20:38:00Z",39917647
"2022-04-22T20:39:00Z",38406789
"2022-04-22T20:40:00Z",39466639
"2022-04-22T20:41:00Z",9322106
"2022-04-22T20:42:00Z",8506
"2022-04-22T20:43:00Z",3516
"2022-04-22T20:44:00Z",2476988
"2022-04-22T20:45:00Z",13319263
"2022-04-22T20:46:00Z",13139459
"2022-04-22T20:47:00Z",13292455
"2022-04-22T20:48:00Z",13482721
"2022-04-22T20:49:00Z",13398192
"2022-04-22T20:50:00Z",13411285
"2022-04-22T20:51:00Z",14542862
"2022-04-22T20:52:00Z",26682075
"2022-04-22T20:53:00Z",26999016
"2022-04-22T20:54:00Z",26747918
"2022-04-22T20:55:00Z",26864772
"2022-04-22T20:56:00Z",26420223
"2022-04-22T20:57:00Z",28291435
"2022-04-22T20:58:00Z",36986299
"2022-04-22T20:59:00Z",963724
"2022-04-22T21:00:00Z",7040
"2022-04-22T21:01:00Z",179118
"2022-04-22T21:02:00Z",13442331
"2022-04-22T21:03:00Z",14404385
"2022-04-22T21:04:00Z",25314279
"2022-04-22T21:05:00Z",27540353
"2022-04-22T21:06:00Z",26752580
"2022-04-22T21:07:00Z",27147059
"2022-04-22T21:08:00Z",27089657
"2022-04-22T21:09:00Z",39243672
"2022-04-22T21:10:00Z",39561390
"2022-04-22T21:11:00Z",39919719
"2022-04-22T21:12:00Z",39829651
"2022-04-22T21:13:00Z",38985946
"2022-04-22T21:14:00Z",39536287
"2022-04-22T21:15:00Z",39844280
"2022-04-22T21:16:00Z",7916584
"2022-04-22T21:17:00Z",3790
"2022-04-22T21:18:00Z",3622
"2022-04-22T21:19:00Z",9541271
"2022-04-22T21:20:00Z",13592977
"2022-04-22T21:21:00Z",13504157
"2022-04-22T21:22:00Z",13429978
"2022-04-22T21:23:00Z",13534155
"2022-04-22T21:24:00Z",13748666
"2022-04-22T21:25:00Z",21497873
"2022-04-22T21:26:00Z",26804041
"2022-04-22T21:27:00Z",27126161
"2022-04-22T21:28:00Z",26892225
"2022-04-22T21:29:00Z",26701575
"2022-04-22T21:30:00Z",26987701
"2022-04-22T21:31:00Z",32678371
"2022-04-22T21:32:00Z",39994944
"2022-04-22T21:33:00Z",20012883
"2022-04-22T21:34:00Z",5086
"2022-04-22T21:35:00Z",5250
