"datetime","backendConnectionErrors"
"2022-05-15T01:14:00Z",100
"2022-05-15T01:16:00Z",302
"2022-05-15T01:29:00Z",1
"2022-05-15T01:46:00Z",100
"2022-05-15T01:54:00Z",1
"2022-05-15T02:00:00Z",1
"2022-05-15T02:01:00Z",1
"2022-05-15T02:02:00Z",1
"2022-05-15T02:09:00Z",200
"2022-05-15T02:10:00Z",2
"2022-05-15T02:16:00Z",200
"2022-05-15T02:17:00Z",3
"2022-05-15T02:35:00Z",202
"2022-05-15T02:39:00Z",200
"2022-05-15T02:43:00Z",100
"2022-05-15T02:51:00Z",202
"2022-05-15T02:55:00Z",100
"2022-05-15T02:58:00Z",1
"2022-05-15T02:59:00Z",2
"2022-05-15T03:01:00Z",1
