"datetime","estimatedALBConsumedLCUs"
"2022-05-15T01:11:00Z",0.00016
"2022-05-15T01:12:00Z",0.00018
"2022-05-15T01:13:00Z",0.0002
"2022-05-15T01:14:00Z",0.00132
"2022-05-15T01:15:00Z",0.00249
"2022-05-15T01:16:00Z",0.00146
"2022-05-15T01:17:00Z",0.04356
"2022-05-15T01:18:00Z",0.02909
"2022-05-15T01:19:00Z",0.01372
"2022-05-15T01:20:00Z",0.02754
"2022-05-15T01:21:00Z",0.00195
"2022-05-15T01:22:00Z",0.02788
"2022-05-15T01:23:00Z",0.02139
"2022-05-15T01:24:00Z",0.01153
"2022-05-15T01:25:00Z",0.02937
"2022-05-15T01:26:00Z",0.00586
"2022-05-15T01:27:00Z",0.03488
"2022-05-15T01:28:00Z",0.03235
"2022-05-15T01:29:00Z",0.01097
"2022-05-15T01:30:00Z",0.04652
"2022-05-15T01:31:00Z",0.0113
"2022-05-15T01:32:00Z",0.03334
"2022-05-15T01:33:00Z",0.0356
"2022-05-15T01:34:00Z",0.00981
"2022-05-15T01:35:00Z",0.04512
"2022-05-15T01:36:00Z",0.01245
"2022-05-15T01:37:00Z",0.03146
"2022-05-15T01:38:00Z",0.03806
"2022-05-15T01:39:00Z",0.02474
"2022-05-15T01:40:00Z",0.04671
"2022-05-15T01:41:00Z",0.01716
"2022-05-15T01:42:00Z",0.02838
"2022-05-15T01:43:00Z",0.04138
"2022-05-15T01:44:00Z",0.0038
"2022-05-15T01:45:00Z",0.02449
"2022-05-15T01:46:00Z",0.04695
"2022-05-15T01:47:00Z",0.0457
"2022-05-15T01:48:00Z",0.04772
"2022-05-15T01:49:00Z",0.04673
"2022-05-15T01:50:00Z",0.04666
"2022-05-15T01:51:00Z",0.00156
"2022-05-15T01:52:00Z",0.04508
"2022-05-15T01:53:00Z",0.04897
"2022-05-15T01:54:00Z",0.04703
"2022-05-15T01:55:00Z",0.04832
"2022-05-15T01:56:00Z",0.04674
"2022-05-15T01:57:00Z",0.00207
"2022-05-15T01:58:00Z",0.04192
"2022-05-15T01:59:00Z",0.04739
"2022-05-15T02:00:00Z",0.04751
"2022-05-15T02:01:00Z",0.04519
"2022-05-15T02:02:00Z",0.04649
"2022-05-15T02:03:00Z",0.02444
"2022-05-15T02:04:00Z",0.04164
"2022-05-15T02:05:00Z",0.04673
"2022-05-15T02:06:00Z",0.04762
"2022-05-15T02:07:00Z",0.0477
"2022-05-15T02:08:00Z",0.04652
"2022-05-15T02:09:00Z",0.00482
"2022-05-15T02:10:00Z",0.00073
"2022-05-15T02:11:00Z",0.00379
"2022-05-15T02:12:00Z",0.00689
"2022-05-15T02:13:00Z",0.00912
"2022-05-15T02:14:00Z",0.00769
"2022-05-15T02:15:00Z",0.0099
"2022-05-15T02:16:00Z",0.00973
"2022-05-15T02:17:00Z",0.01877
"2022-05-15T02:18:00Z",0.03453
"2022-05-15T02:19:00Z",0.04639
"2022-05-15T02:20:00Z",0.04706
"2022-05-15T02:21:00Z",0.0442
"2022-05-15T02:22:00Z",0.04455
"2022-05-15T02:23:00Z",0.04559
"2022-05-15T02:24:00Z",0.04688
"2022-05-15T02:25:00Z",0.04635
"2022-05-15T02:26:00Z",0.045
"2022-05-15T02:27:00Z",0.02534
"2022-05-15T02:28:00Z",0.0003
"2022-05-15T02:29:00Z",0.00471
"2022-05-15T02:30:00Z",0.00999
"2022-05-15T02:31:00Z",0.01033
"2022-05-15T02:32:00Z",0.01013
"2022-05-15T02:33:00Z",0.01016
"2022-05-15T02:34:00Z",0.01187
"2022-05-15T02:35:00Z",0.02689
"2022-05-15T02:36:00Z",0.04831
"2022-05-15T02:37:00Z",0.04809
"2022-05-15T02:38:00Z",0.04651
"2022-05-15T02:39:00Z",0.04563
"2022-05-15T02:40:00Z",0.04563
"2022-05-15T02:41:00Z",0.04669
"2022-05-15T02:42:00Z",0.04758
"2022-05-15T02:43:00Z",0.04661
"2022-05-15T02:44:00Z",0.0363
"2022-05-15T02:45:00Z",0.00022
"2022-05-15T02:46:00Z",0.00052
"2022-05-15T02:47:00Z",0.0015
"2022-05-15T02:48:00Z",0.00731
"2022-05-15T02:49:00Z",0.00826
"2022-05-15T02:50:00Z",0.00749
"2022-05-15T02:51:00Z",0.01378
"2022-05-15T02:52:00Z",0.0452
"2022-05-15T02:53:00Z",0.04542
"2022-05-15T02:54:00Z",0.04456
"2022-05-15T02:55:00Z",0.04446
"2022-05-15T02:56:00Z",0.04448
"2022-05-15T02:57:00Z",0.04496
"2022-05-15T02:58:00Z",0.04319
"2022-05-15T02:59:00Z",0.04485
"2022-05-15T03:00:00Z",0.04387
"2022-05-15T03:01:00Z",0.02182
"2022-05-15T03:02:00Z",0.00523
