"datetime","estimatedALBActiveConnectionCount"
"2022-05-15T06:51:00Z",3
"2022-05-15T06:52:00Z",22
"2022-05-15T06:53:00Z",7
"2022-05-15T06:54:00Z",23
"2022-05-15T06:55:00Z",15
"2022-05-15T06:56:00Z",15
"2022-05-15T06:57:00Z",24
"2022-05-15T06:58:00Z",7
"2022-05-15T06:59:00Z",25
"2022-05-15T07:00:00Z",25
"2022-05-15T07:01:00Z",7.5
"2022-05-15T07:02:00Z",26.5
"2022-05-15T07:03:00Z",16.5
"2022-05-15T07:04:00Z",17.5
"2022-05-15T07:05:00Z",27.5
"2022-05-15T07:06:00Z",7
"2022-05-15T07:07:00Z",28
"2022-05-15T07:08:00Z",17
"2022-05-15T07:09:00Z",18
"2022-05-15T07:10:00Z",29
"2022-05-15T07:11:00Z",7
"2022-05-15T07:12:00Z",30
"2022-05-15T07:13:00Z",30
"2022-05-15T07:14:00Z",7.5
"2022-05-15T07:15:00Z",31.5
"2022-05-15T07:16:00Z",19.5
"2022-05-15T07:17:00Z",19.5
"2022-05-15T07:18:00Z",33
"2022-05-15T07:19:00Z",7.5
"2022-05-15T07:20:00Z",7.5
"2022-05-15T07:21:00Z",32
"2022-05-15T07:22:00Z",32
"2022-05-15T07:23:00Z",32
"2022-05-15T07:24:00Z",32
"2022-05-15T07:25:00Z",20.5
"2022-05-15T07:26:00Z",19.5
"2022-05-15T07:27:00Z",19
"2022-05-15T07:28:00Z",32
"2022-05-15T07:29:00Z",32
"2022-05-15T07:30:00Z",32
"2022-05-15T07:31:00Z",32
"2022-05-15T07:32:00Z",20
"2022-05-15T07:33:00Z",20.5
"2022-05-15T07:34:00Z",32.5
"2022-05-15T07:35:00Z",32.5
"2022-05-15T07:36:00Z",32.5
"2022-05-15T07:37:00Z",32.5
"2022-05-15T07:38:00Z",19.5
"2022-05-15T07:39:00Z",19.5
"2022-05-15T07:40:00Z",32.5
"2022-05-15T07:41:00Z",32.5
"2022-05-15T07:42:00Z",32
"2022-05-15T07:43:00Z",32
"2022-05-15T07:44:00Z",20
"2022-05-15T07:45:00Z",5
"2022-05-15T07:46:00Z",3
"2022-05-15T07:47:00Z",3
"2022-05-15T07:48:00Z",28
"2022-05-15T07:49:00Z",28.5
"2022-05-15T07:50:00Z",32
"2022-05-15T07:51:00Z",32
"2022-05-15T07:52:00Z",33
"2022-05-15T07:53:00Z",20.5
"2022-05-15T07:54:00Z",32.5
"2022-05-15T07:55:00Z",31.5
"2022-05-15T07:56:00Z",32.5
"2022-05-15T07:57:00Z",32.5
"2022-05-15T07:58:00Z",32.5
"2022-05-15T07:59:00Z",32.5
"2022-05-15T08:00:00Z",20.5
"2022-05-15T08:01:00Z",33
"2022-05-15T08:02:00Z",33
"2022-05-15T08:03:00Z",5.5
"2022-05-15T08:04:00Z",3
"2022-05-15T08:05:00Z",3
"2022-05-15T08:06:00Z",28
"2022-05-15T08:07:00Z",19
"2022-05-15T08:08:00Z",27
"2022-05-15T08:09:00Z",37.5
"2022-05-15T08:10:00Z",36.5
"2022-05-15T08:11:00Z",35
"2022-05-15T08:12:00Z",32.5
"2022-05-15T08:13:00Z",32.5
"2022-05-15T08:14:00Z",20.5
"2022-05-15T08:15:00Z",32
"2022-05-15T08:16:00Z",32
"2022-05-15T08:17:00Z",32
"2022-05-15T08:18:00Z",32
"2022-05-15T08:19:00Z",32
"2022-05-15T08:20:00Z",32
"2022-05-15T08:21:00Z",7
"2022-05-15T08:22:00Z",5
"2022-05-15T08:23:00Z",3.5
"2022-05-15T08:24:00Z",15.5
"2022-05-15T08:25:00Z",29.5
"2022-05-15T08:26:00Z",30
"2022-05-15T08:27:00Z",32.5
"2022-05-15T08:28:00Z",33.5
"2022-05-15T08:29:00Z",20
"2022-05-15T08:30:00Z",32
"2022-05-15T08:31:00Z",32
"2022-05-15T08:32:00Z",32
"2022-05-15T08:33:00Z",32
"2022-05-15T08:34:00Z",32.5
"2022-05-15T08:35:00Z",33
"2022-05-15T08:36:00Z",33
"2022-05-15T08:37:00Z",33
"2022-05-15T08:38:00Z",32.5
"2022-05-15T08:39:00Z",7.5
