"datetime","estimatedProcessedBytes"
"2022-05-15T06:51:00Z",1392
"2022-05-15T06:52:00Z",30889259
"2022-05-15T06:53:00Z",12137653
"2022-05-15T06:54:00Z",25494337
"2022-05-15T06:55:00Z",52318484
"2022-05-15T06:56:00Z",8004546
"2022-05-15T06:57:00Z",77951903
"2022-05-15T06:58:00Z",60328754
"2022-05-15T06:59:00Z",23377604
"2022-05-15T07:00:00Z",96383241
"2022-05-15T07:01:00Z",24544146
"2022-05-15T07:02:00Z",72200478
"2022-05-15T07:03:00Z",92950667
"2022-05-15T07:04:00Z",12280368
"2022-05-15T07:05:00Z",95170823
"2022-05-15T07:06:00Z",49883542
"2022-05-15T07:07:00Z",48481362
"2022-05-15T07:08:00Z",106792536
"2022-05-15T07:09:00Z",14515130
"2022-05-15T07:10:00Z",99198533
"2022-05-15T07:11:00Z",81006490
"2022-05-15T07:12:00Z",22355943
"2022-05-15T07:13:00Z",113121255
"2022-05-15T07:14:00Z",33078705
"2022-05-15T07:15:00Z",72307467
"2022-05-15T07:16:00Z",100996850
"2022-05-15T07:17:00Z",13922120
"2022-05-15T07:18:00Z",103746469
"2022-05-15T07:19:00Z",59119259
"2022-05-15T07:20:00Z",2462
"2022-05-15T07:21:00Z",40995138
"2022-05-15T07:22:00Z",113868676
"2022-05-15T07:23:00Z",113960367
"2022-05-15T07:24:00Z",105549601
"2022-05-15T07:25:00Z",115399881
"2022-05-15T07:26:00Z",104165423
"2022-05-15T07:27:00Z",17218594
"2022-05-15T07:28:00Z",116398419
"2022-05-15T07:29:00Z",122713403
"2022-05-15T07:30:00Z",118930006
"2022-05-15T07:31:00Z",121042074
"2022-05-15T07:32:00Z",107982751
"2022-05-15T07:33:00Z",16255119
"2022-05-15T07:34:00Z",110987314
"2022-05-15T07:35:00Z",122539474
"2022-05-15T07:36:00Z",122392202
"2022-05-15T07:37:00Z",123375905
"2022-05-15T07:38:00Z",112443306
"2022-05-15T07:39:00Z",15938851
"2022-05-15T07:40:00Z",101502501
"2022-05-15T07:41:00Z",121864692
"2022-05-15T07:42:00Z",122132175
"2022-05-15T07:43:00Z",122370257
"2022-05-15T07:44:00Z",119346213
"2022-05-15T07:45:00Z",19236093
"2022-05-15T07:46:00Z",1780
"2022-05-15T07:47:00Z",1632
"2022-05-15T07:48:00Z",13096130
"2022-05-15T07:49:00Z",40013861
"2022-05-15T07:50:00Z",58679023
"2022-05-15T07:51:00Z",79829378
"2022-05-15T07:52:00Z",95018553
"2022-05-15T07:53:00Z",97771338
"2022-05-15T07:54:00Z",109723633
"2022-05-15T07:55:00Z",108584135
"2022-05-15T07:56:00Z",113124056
"2022-05-15T07:57:00Z",114754852
"2022-05-15T07:58:00Z",118922948
"2022-05-15T07:59:00Z",118151107
"2022-05-15T08:00:00Z",122546413
"2022-05-15T08:01:00Z",123495189
"2022-05-15T08:02:00Z",107845435
"2022-05-15T08:03:00Z",32333121
"2022-05-15T08:04:00Z",2324
"2022-05-15T08:05:00Z",1630
"2022-05-15T08:06:00Z",7977952
"2022-05-15T08:07:00Z",37555592
"2022-05-15T08:08:00Z",52148952
"2022-05-15T08:09:00Z",53885448
"2022-05-15T08:10:00Z",56872003
"2022-05-15T08:11:00Z",90188183
"2022-05-15T08:12:00Z",94293445
"2022-05-15T08:13:00Z",88328493
"2022-05-15T08:14:00Z",93539290
"2022-05-15T08:15:00Z",120457921
"2022-05-15T08:16:00Z",114187834
"2022-05-15T08:17:00Z",115788746
"2022-05-15T08:18:00Z",107767275
"2022-05-15T08:19:00Z",114356583
"2022-05-15T08:20:00Z",119415449
"2022-05-15T08:21:00Z",56696643
"2022-05-15T08:22:00Z",2562
"2022-05-15T08:23:00Z",1684
"2022-05-15T08:24:00Z",4772845
"2022-05-15T08:25:00Z",34704411
"2022-05-15T08:26:00Z",49934371
"2022-05-15T08:27:00Z",64728548
"2022-05-15T08:28:00Z",89797338
"2022-05-15T08:29:00Z",95961423
"2022-05-15T08:30:00Z",110316880
"2022-05-15T08:31:00Z",111284098
"2022-05-15T08:32:00Z",112128482
"2022-05-15T08:33:00Z",113252873
"2022-05-15T08:34:00Z",114348806
"2022-05-15T08:35:00Z",116579470
"2022-05-15T08:36:00Z",112412703
"2022-05-15T08:37:00Z",110980764
"2022-05-15T08:38:00Z",113852857
"2022-05-15T08:39:00Z",80055327
