"datetime","estimatedALBActiveConnectionCount"
"2022-05-16T06:27:00Z",9
"2022-05-16T06:28:00Z",14
"2022-05-16T06:29:00Z",9
"2022-05-16T06:30:00Z",13
"2022-05-16T06:31:00Z",7
"2022-05-16T06:32:00Z",14
"2022-05-16T06:33:00Z",14.5
"2022-05-16T06:34:00Z",7.5
"2022-05-16T06:35:00Z",15.5
"2022-05-16T06:36:00Z",15.5
"2022-05-16T06:37:00Z",8
"2022-05-16T06:38:00Z",17
"2022-05-16T06:39:00Z",8
"2022-05-16T06:40:00Z",18
"2022-05-16T06:41:00Z",18
"2022-05-16T06:42:00Z",8
"2022-05-16T06:43:00Z",8
"2022-05-16T06:44:00Z",18
"2022-05-16T06:45:00Z",18
"2022-05-16T06:46:00Z",18
"2022-05-16T06:47:00Z",18
"2022-05-16T06:48:00Z",18
"2022-05-16T06:49:00Z",8
"2022-05-16T06:50:00Z",18
"2022-05-16T06:51:00Z",18
"2022-05-16T06:52:00Z",18
"2022-05-16T06:53:00Z",18
"2022-05-16T06:54:00Z",17.5
"2022-05-16T06:55:00Z",7
"2022-05-16T06:56:00Z",17
"2022-05-16T06:57:00Z",17
"2022-05-16T06:58:00Z",17
"2022-05-16T06:59:00Z",17
"2022-05-16T07:00:00Z",17
"2022-05-16T07:01:00Z",7
"2022-05-16T07:02:00Z",17.5
"2022-05-16T07:03:00Z",17.5
"2022-05-16T07:04:00Z",17.5
"2022-05-16T07:05:00Z",17.5
"2022-05-16T07:06:00Z",18
"2022-05-16T07:07:00Z",8
"2022-05-16T07:08:00Z",7
"2022-05-16T07:09:00Z",4
"2022-05-16T07:10:00Z",4
"2022-05-16T07:11:00Z",14
"2022-05-16T07:12:00Z",14
"2022-05-16T07:13:00Z",14
"2022-05-16T07:14:00Z",23
"2022-05-16T07:15:00Z",23
"2022-05-16T07:16:00Z",18
"2022-05-16T07:17:00Z",18
"2022-05-16T07:18:00Z",18
"2022-05-16T07:19:00Z",18
"2022-05-16T07:20:00Z",18
"2022-05-16T07:21:00Z",18
"2022-05-16T07:22:00Z",18
"2022-05-16T07:23:00Z",8
"2022-05-16T07:24:00Z",18
"2022-05-16T07:25:00Z",18
"2022-05-16T07:26:00Z",6.5
"2022-05-16T07:27:00Z",3.5
"2022-05-16T07:28:00Z",3.5
"2022-05-16T07:29:00Z",13
"2022-05-16T07:30:00Z",13
"2022-05-16T07:31:00Z",17
"2022-05-16T07:32:00Z",17
"2022-05-16T07:33:00Z",17
"2022-05-16T07:34:00Z",17
"2022-05-16T07:35:00Z",19.5
"2022-05-16T07:36:00Z",18
"2022-05-16T07:37:00Z",18
"2022-05-16T07:38:00Z",18
"2022-05-16T07:39:00Z",8
"2022-05-16T07:40:00Z",18
"2022-05-16T07:41:00Z",18
"2022-05-16T07:42:00Z",18
"2022-05-16T07:43:00Z",18
"2022-05-16T07:44:00Z",6
"2022-05-16T07:45:00Z",5
"2022-05-16T07:46:00Z",4
"2022-05-16T07:47:00Z",14
"2022-05-16T07:48:00Z",14
"2022-05-16T07:49:00Z",23
"2022-05-16T07:50:00Z",18
"2022-05-16T07:51:00Z",18
"2022-05-16T07:52:00Z",18
"2022-05-16T07:53:00Z",17.5
"2022-05-16T07:54:00Z",12.5
"2022-05-16T07:55:00Z",12.5
"2022-05-16T07:56:00Z",17.5
"2022-05-16T07:57:00Z",17.5
"2022-05-16T07:58:00Z",17.5
"2022-05-16T07:59:00Z",17.5
"2022-05-16T08:00:00Z",17.5
"2022-05-16T08:01:00Z",18
"2022-05-16T08:02:00Z",8
"2022-05-16T08:03:00Z",8
