"datetime","estimatedALBConsumedLCUs"
"2022-05-16T06:27:00Z",0.00244
"2022-05-16T06:28:00Z",0.00536
"2022-05-16T06:29:00Z",0.00848
"2022-05-16T06:30:00Z",0.00904
"2022-05-16T06:31:00Z",0.01012
"2022-05-16T06:32:00Z",0.00679
"2022-05-16T06:33:00Z",0.01503
"2022-05-16T06:34:00Z",0.00771
"2022-05-16T06:35:00Z",0.00978
"2022-05-16T06:36:00Z",0.02039
"2022-05-16T06:37:00Z",0.02196
"2022-05-16T06:38:00Z",0.01962
"2022-05-16T06:39:00Z",0.01767
"2022-05-16T06:40:00Z",0.01263
"2022-05-16T06:41:00Z",0.02324
"2022-05-16T06:42:00Z",0.01952
"2022-05-16T06:43:00Z",0.00437
"2022-05-16T06:44:00Z",0.00752
"2022-05-16T06:45:00Z",0.01699
"2022-05-16T06:46:00Z",0.01938
"2022-05-16T06:47:00Z",0.02179
"2022-05-16T06:48:00Z",0.0235
"2022-05-16T06:49:00Z",0.02254
"2022-05-16T06:50:00Z",0.01344
"2022-05-16T06:51:00Z",0.02703
"2022-05-16T06:52:00Z",0.027
"2022-05-16T06:53:00Z",0.02706
"2022-05-16T06:54:00Z",0.02702
"2022-05-16T06:55:00Z",0.01717
"2022-05-16T06:56:00Z",0.01109
"2022-05-16T06:57:00Z",0.017
"2022-05-16T06:58:00Z",0.02443
"2022-05-16T06:59:00Z",0.02445
"2022-05-16T07:00:00Z",0.02461
"2022-05-16T07:01:00Z",0.0242
"2022-05-16T07:02:00Z",0.01843
"2022-05-16T07:03:00Z",0.01389
"2022-05-16T07:04:00Z",0.02565
"2022-05-16T07:05:00Z",0.02591
"2022-05-16T07:06:00Z",0.02582
"2022-05-16T07:07:00Z",0.02578
"2022-05-16T07:08:00Z",0.0218
"2022-05-16T07:09:00Z",0.00044
"2022-05-16T07:10:00Z",0.00032
"2022-05-16T07:11:00Z",0.00402
"2022-05-16T07:12:00Z",0.00819
"2022-05-16T07:13:00Z",0.00839
"2022-05-16T07:14:00Z",0.00823
"2022-05-16T07:15:00Z",0.0108
"2022-05-16T07:16:00Z",0.01298
"2022-05-16T07:17:00Z",0.0163
"2022-05-16T07:18:00Z",0.01527
"2022-05-16T07:19:00Z",0.01599
"2022-05-16T07:20:00Z",0.01968
"2022-05-16T07:21:00Z",0.02315
"2022-05-16T07:22:00Z",0.01874
"2022-05-16T07:23:00Z",0.02505
"2022-05-16T07:24:00Z",0.02264
"2022-05-16T07:25:00Z",0.02115
"2022-05-16T07:26:00Z",0.02242
"2022-05-16T07:27:00Z",0.00164
"2022-05-16T07:28:00Z",0.00047
"2022-05-16T07:29:00Z",0.00284
"2022-05-16T07:30:00Z",0.00638
"2022-05-16T07:31:00Z",0.00733
"2022-05-16T07:32:00Z",0.00889
"2022-05-16T07:33:00Z",0.01224
"2022-05-16T07:34:00Z",0.01755
"2022-05-16T07:35:00Z",0.01503
"2022-05-16T07:36:00Z",0.0168
"2022-05-16T07:37:00Z",0.02391
"2022-05-16T07:38:00Z",0.01879
"2022-05-16T07:39:00Z",0.02126
"2022-05-16T07:40:00Z",0.0225
"2022-05-16T07:41:00Z",0.023
"2022-05-16T07:42:00Z",0.02426
"2022-05-16T07:43:00Z",0.02065
"2022-05-16T07:44:00Z",0.02138
"2022-05-16T07:45:00Z",0.00471
"2022-05-16T07:46:00Z",0.00032
"2022-05-16T07:47:00Z",0.00051
"2022-05-16T07:48:00Z",0.00271
"2022-05-16T07:49:00Z",0.00752
"2022-05-16T07:50:00Z",0.00943
"2022-05-16T07:51:00Z",0.01453
"2022-05-16T07:52:00Z",0.01432
"2022-05-16T07:53:00Z",0.01598
"2022-05-16T07:54:00Z",0.02167
"2022-05-16T07:55:00Z",0.02138
"2022-05-16T07:56:00Z",0.0213
"2022-05-16T07:57:00Z",0.02001
"2022-05-16T07:58:00Z",0.01551
"2022-05-16T07:59:00Z",0.02497
"2022-05-16T08:00:00Z",0.02301
"2022-05-16T08:01:00Z",0.01722
"2022-05-16T08:02:00Z",0.01825
"2022-05-16T08:03:00Z",0.00647
