"datetime","estimatedProcessedBytes"
"2022-05-16T06:27:00Z",4308111
"2022-05-16T06:28:00Z",13842886
"2022-05-16T06:29:00Z",2435786
"2022-05-16T06:30:00Z",15177457
"2022-05-16T06:31:00Z",16903009
"2022-05-16T06:32:00Z",2319316
"2022-05-16T06:33:00Z",22733251
"2022-05-16T06:34:00Z",8900976
"2022-05-16T06:35:00Z",20108679
"2022-05-16T06:36:00Z",42352285
"2022-05-16T06:37:00Z",502075
"2022-05-16T06:38:00Z",37281642
"2022-05-16T06:39:00Z",26352277
"2022-05-16T06:40:00Z",11298779
"2022-05-16T06:41:00Z",42757139
"2022-05-16T06:42:00Z",9706628
"2022-05-16T06:43:00Z",2306
"2022-05-16T06:44:00Z",19430100
"2022-05-16T06:45:00Z",36105238
"2022-05-16T06:46:00Z",41172045
"2022-05-16T06:47:00Z",41607593
"2022-05-16T06:48:00Z",39046369
"2022-05-16T06:49:00Z",22295442
"2022-05-16T06:50:00Z",15160134
"2022-05-16T06:51:00Z",44133985
"2022-05-16T06:52:00Z",44039721
"2022-05-16T06:53:00Z",44209528
"2022-05-16T06:54:00Z",44181843
"2022-05-16T06:55:00Z",28261059
"2022-05-16T06:56:00Z",9945824
"2022-05-16T06:57:00Z",41434262
"2022-05-16T06:58:00Z",41469625
"2022-05-16T06:59:00Z",41702690
"2022-05-16T07:00:00Z",40914212
"2022-05-16T07:01:00Z",31098691
"2022-05-16T07:02:00Z",5582102
"2022-05-16T07:03:00Z",39544003
"2022-05-16T07:04:00Z",39724796
"2022-05-16T07:05:00Z",39602939
"2022-05-16T07:06:00Z",39754632
"2022-05-16T07:07:00Z",33830696
"2022-05-16T07:08:00Z",9622
"2022-05-16T07:09:00Z",2174
"2022-05-16T07:10:00Z",1758
"2022-05-16T07:11:00Z",8790806
"2022-05-16T07:12:00Z",14382043
"2022-05-16T07:13:00Z",15332687
"2022-05-16T07:14:00Z",15577765
"2022-05-16T07:15:00Z",20953207
"2022-05-16T07:16:00Z",29283084
"2022-05-16T07:17:00Z",29375532
"2022-05-16T07:18:00Z",31259853
"2022-05-16T07:19:00Z",35202025
"2022-05-16T07:20:00Z",38956805
"2022-05-16T07:21:00Z",35824595
"2022-05-16T07:22:00Z",28392521
"2022-05-16T07:23:00Z",39897046
"2022-05-16T07:24:00Z",43787096
"2022-05-16T07:25:00Z",42624471
"2022-05-16T07:26:00Z",3069913
"2022-05-16T07:27:00Z",2124
"2022-05-16T07:28:00Z",1810
"2022-05-16T07:29:00Z",6453419
"2022-05-16T07:30:00Z",13713625
"2022-05-16T07:31:00Z",15436962
"2022-05-16T07:32:00Z",20246125
"2022-05-16T07:33:00Z",29785997
"2022-05-16T07:34:00Z",30016889
"2022-05-16T07:35:00Z",29310507
"2022-05-16T07:36:00Z",40706038
"2022-05-16T07:37:00Z",37115578
"2022-05-16T07:38:00Z",40393668
"2022-05-16T07:39:00Z",42461899
"2022-05-16T07:40:00Z",40655103
"2022-05-16T07:41:00Z",40638776
"2022-05-16T07:42:00Z",41262087
"2022-05-16T07:43:00Z",39404492
"2022-05-16T07:44:00Z",8402550
"2022-05-16T07:45:00Z",3818
"2022-05-16T07:46:00Z",2174
"2022-05-16T07:47:00Z",4996386
"2022-05-16T07:48:00Z",13977135
"2022-05-16T07:49:00Z",18733160
"2022-05-16T07:50:00Z",27117958
"2022-05-16T07:51:00Z",27892698
"2022-05-16T07:52:00Z",31030697
"2022-05-16T07:53:00Z",41383497
"2022-05-16T07:54:00Z",36938806
"2022-05-16T07:55:00Z",31339326
"2022-05-16T07:56:00Z",33888478
"2022-05-16T07:57:00Z",27609199
"2022-05-16T07:58:00Z",37055828
"2022-05-16T07:59:00Z",40809253
"2022-05-16T08:00:00Z",30962182
"2022-05-16T08:01:00Z",36200875
"2022-05-16T08:02:00Z",14054436
"2022-05-16T08:03:00Z",2378
