"datetime","estimatedALBActiveConnectionCount"
"2022-05-16T08:24:00Z",3.5
"2022-05-16T08:25:00Z",3.5
"2022-05-16T08:26:00Z",3.5
"2022-05-16T08:27:00Z",3.5
"2022-05-16T08:28:00Z",9
"2022-05-16T08:29:00Z",16.5
"2022-05-16T08:30:00Z",11.5
"2022-05-16T08:31:00Z",14.5
"2022-05-16T08:32:00Z",14.5
"2022-05-16T08:33:00Z",8.5
"2022-05-16T08:34:00Z",15.5
"2022-05-16T08:35:00Z",8.5
"2022-05-16T08:36:00Z",16.5
"2022-05-16T08:37:00Z",17.5
"2022-05-16T08:38:00Z",9
"2022-05-16T08:39:00Z",18
"2022-05-16T08:40:00Z",9
"2022-05-16T08:41:00Z",19
"2022-05-16T08:42:00Z",19
"2022-05-16T08:43:00Z",9
"2022-05-16T08:44:00Z",9
"2022-05-16T08:45:00Z",19
"2022-05-16T08:46:00Z",19
"2022-05-16T08:47:00Z",19
"2022-05-16T08:48:00Z",19
"2022-05-16T08:49:00Z",19
"2022-05-16T08:50:00Z",9
"2022-05-16T08:51:00Z",19
"2022-05-16T08:52:00Z",19
"2022-05-16T08:53:00Z",19
"2022-05-16T08:54:00Z",19
"2022-05-16T08:55:00Z",19
"2022-05-16T08:56:00Z",9
"2022-05-16T08:57:00Z",19
"2022-05-16T08:58:00Z",18.5
"2022-05-16T08:59:00Z",18.5
"2022-05-16T09:00:00Z",18.5
"2022-05-16T09:01:00Z",18.5
"2022-05-16T09:02:00Z",8.5
"2022-05-16T09:03:00Z",19
"2022-05-16T09:04:00Z",18.5
"2022-05-16T09:05:00Z",18.5
"2022-05-16T09:06:00Z",18.5
"2022-05-16T09:07:00Z",18.5
"2022-05-16T09:08:00Z",5
"2022-05-16T09:09:00Z",3
"2022-05-16T09:10:00Z",4
"2022-05-16T09:11:00Z",4
"2022-05-16T09:12:00Z",14
"2022-05-16T09:13:00Z",14
"2022-05-16T09:14:00Z",14
"2022-05-16T09:15:00Z",14
"2022-05-16T09:16:00Z",22.5
"2022-05-16T09:17:00Z",23
"2022-05-16T09:18:00Z",18
"2022-05-16T09:19:00Z",18
"2022-05-16T09:20:00Z",18
"2022-05-16T09:21:00Z",18
"2022-05-16T09:22:00Z",18
"2022-05-16T09:23:00Z",19
"2022-05-16T09:24:00Z",19
"2022-05-16T09:25:00Z",19
"2022-05-16T09:26:00Z",6
"2022-05-16T09:27:00Z",4
"2022-05-16T09:28:00Z",4
"2022-05-16T09:29:00Z",14
"2022-05-16T09:30:00Z",13.5
"2022-05-16T09:31:00Z",13.5
"2022-05-16T09:32:00Z",13.5
"2022-05-16T09:33:00Z",14
"2022-05-16T09:34:00Z",23
"2022-05-16T09:35:00Z",23
"2022-05-16T09:36:00Z",18
"2022-05-16T09:37:00Z",18
"2022-05-16T09:38:00Z",18.5
"2022-05-16T09:39:00Z",18
"2022-05-16T09:40:00Z",18.5
"2022-05-16T09:41:00Z",18.5
"2022-05-16T09:42:00Z",18.5
"2022-05-16T09:43:00Z",6
"2022-05-16T09:44:00Z",4
"2022-05-16T09:45:00Z",4
"2022-05-16T09:46:00Z",14.5
"2022-05-16T09:47:00Z",14
"2022-05-16T09:48:00Z",14
"2022-05-16T09:49:00Z",14.5
"2022-05-16T09:50:00Z",22.5
"2022-05-16T09:51:00Z",22.5
"2022-05-16T09:52:00Z",17.5
"2022-05-16T09:53:00Z",17.5
"2022-05-16T09:54:00Z",17.5
"2022-05-16T09:55:00Z",17.5
"2022-05-16T09:56:00Z",17.5
"2022-05-16T09:57:00Z",17.5
"2022-05-16T09:58:00Z",18
"2022-05-16T09:59:00Z",18
"2022-05-16T10:00:00Z",8
"2022-05-16T10:01:00Z",8.5
"2022-05-16T10:02:00Z",8
