"datetime","estimatedProcessedBytes"
"2022-05-16T08:24:00Z",1744
"2022-05-16T08:25:00Z",3522
"2022-05-16T08:26:00Z",3384
"2022-05-16T08:27:00Z",3506
"2022-05-16T08:28:00Z",10518
"2022-05-16T08:29:00Z",9336555
"2022-05-16T08:30:00Z",10446433
"2022-05-16T08:31:00Z",6274358
"2022-05-16T08:32:00Z",34811195
"2022-05-16T08:33:00Z",10747751
"2022-05-16T08:34:00Z",26538385
"2022-05-16T08:35:00Z",33501194
"2022-05-16T08:36:00Z",5365955
"2022-05-16T08:37:00Z",39669756
"2022-05-16T08:38:00Z",14144341
"2022-05-16T08:39:00Z",24062217
"2022-05-16T08:40:00Z",35242526
"2022-05-16T08:41:00Z",3690868
"2022-05-16T08:42:00Z",39785413
"2022-05-16T08:43:00Z",16024665
"2022-05-16T08:44:00Z",5022
"2022-05-16T08:45:00Z",21275263
"2022-05-16T08:46:00Z",39923770
"2022-05-16T08:47:00Z",39715886
"2022-05-16T08:48:00Z",39927018
"2022-05-16T08:49:00Z",40025104
"2022-05-16T08:50:00Z",20395785
"2022-05-16T08:51:00Z",19182800
"2022-05-16T08:52:00Z",40267456
"2022-05-16T08:53:00Z",40272082
"2022-05-16T08:54:00Z",40365913
"2022-05-16T08:55:00Z",39929757
"2022-05-16T08:56:00Z",20819273
"2022-05-16T08:57:00Z",17944260
"2022-05-16T08:58:00Z",40420464
"2022-05-16T08:59:00Z",40416890
"2022-05-16T09:00:00Z",38973886
"2022-05-16T09:01:00Z",40107428
"2022-05-16T09:02:00Z",21754132
"2022-05-16T09:03:00Z",17069912
"2022-05-16T09:04:00Z",40117812
"2022-05-16T09:05:00Z",40242041
"2022-05-16T09:06:00Z",39795035
"2022-05-16T09:07:00Z",40192593
"2022-05-16T09:08:00Z",22664128
"2022-05-16T09:09:00Z",7316
"2022-05-16T09:10:00Z",3456
"2022-05-16T09:11:00Z",3542
"2022-05-16T09:12:00Z",11677576
"2022-05-16T09:13:00Z",13739573
"2022-05-16T09:14:00Z",13749082
"2022-05-16T09:15:00Z",13701713
"2022-05-16T09:16:00Z",13815341
"2022-05-16T09:17:00Z",13812411
"2022-05-16T09:18:00Z",24004758
"2022-05-16T09:19:00Z",27461763
"2022-05-16T09:20:00Z",27457435
"2022-05-16T09:21:00Z",27577319
"2022-05-16T09:22:00Z",27533314
"2022-05-16T09:23:00Z",27505525
"2022-05-16T09:24:00Z",36041277
"2022-05-16T09:25:00Z",39914148
"2022-05-16T09:26:00Z",12537996
"2022-05-16T09:27:00Z",3746
"2022-05-16T09:28:00Z",3436
"2022-05-16T09:29:00Z",8605085
"2022-05-16T09:30:00Z",13286211
"2022-05-16T09:31:00Z",13499035
"2022-05-16T09:32:00Z",13522757
"2022-05-16T09:33:00Z",13484145
"2022-05-16T09:34:00Z",13438316
"2022-05-16T09:35:00Z",21075047
"2022-05-16T09:36:00Z",27344394
"2022-05-16T09:37:00Z",27284190
"2022-05-16T09:38:00Z",27316043
"2022-05-16T09:39:00Z",27176310
"2022-05-16T09:40:00Z",27156532
"2022-05-16T09:41:00Z",33439581
"2022-05-16T09:42:00Z",39947280
"2022-05-16T09:43:00Z",21393033
"2022-05-16T09:44:00Z",3446
"2022-05-16T09:45:00Z",3622
"2022-05-16T09:46:00Z",5628170
"2022-05-16T09:47:00Z",13936095
"2022-05-16T09:48:00Z",13835157
"2022-05-16T09:49:00Z",13833162
"2022-05-16T09:50:00Z",13705254
"2022-05-16T09:51:00Z",18618215
"2022-05-16T09:52:00Z",27712269
"2022-05-16T09:53:00Z",27761340
"2022-05-16T09:54:00Z",27663923
"2022-05-16T09:55:00Z",27499916
"2022-05-16T09:56:00Z",27624236
"2022-05-16T09:57:00Z",31476918
"2022-05-16T09:58:00Z",41126902
"2022-05-16T09:59:00Z",40997614
"2022-05-16T10:00:00Z",30547326
"2022-05-16T10:01:00Z",5208
"2022-05-16T10:02:00Z",2148
