"datetime","estimatedALBConsumedLCUs"
"2022-05-16T19:37:00Z",2e-05
"2022-05-16T19:38:00Z",0.0007
"2022-05-16T19:39:00Z",0.00021
"2022-05-16T19:40:00Z",0.00028
"2022-05-16T19:41:00Z",0.00021
"2022-05-16T19:42:00Z",0.3444
"2022-05-16T19:43:00Z",0.11691
"2022-05-16T19:44:00Z",0.05264
"2022-05-16T19:45:00Z",0.67402
"2022-05-16T19:46:00Z",0.41896
"2022-05-16T19:47:00Z",0.63882
"2022-05-16T19:48:00Z",0.48701
"2022-05-16T19:49:00Z",0.28829
"2022-05-16T19:50:00Z",0.68758
"2022-05-16T19:51:00Z",0.44375
"2022-05-16T19:52:00Z",0.60356
"2022-05-16T19:53:00Z",0.48665
"2022-05-16T19:54:00Z",0.25019
"2022-05-16T19:55:00Z",0.6831
"2022-05-16T19:56:00Z",0.1324
"2022-05-16T19:57:00Z",0.00052
"2022-05-16T19:58:00Z",0.62597
"2022-05-16T19:59:00Z",0.23713
"2022-05-16T20:00:00Z",0.7296
"2022-05-16T20:01:00Z",0.13635
"2022-05-16T20:02:00Z",0.59888
"2022-05-16T20:03:00Z",0.53423
"2022-05-16T20:04:00Z",0.20033
"2022-05-16T20:05:00Z",0.7631
"2022-05-16T20:06:00Z",0.16099
"2022-05-16T20:07:00Z",0.00039
"2022-05-16T20:08:00Z",0.00264
"2022-05-16T20:09:00Z",0.81629
"2022-05-16T20:10:00Z",0.58013
"2022-05-16T20:11:00Z",0.00119
"2022-05-16T20:12:00Z",0.2641
"2022-05-16T20:13:00Z",0.92086
"2022-05-16T20:14:00Z",0.92894
"2022-05-16T20:15:00Z",0.92904
"2022-05-16T20:16:00Z",0.92895
"2022-05-16T20:17:00Z",0.7104
"2022-05-16T20:18:00Z",0.20723
"2022-05-16T20:19:00Z",0.94645
"2022-05-16T20:20:00Z",0.94506
"2022-05-16T20:21:00Z",0.94485
"2022-05-16T20:22:00Z",0.94413
"2022-05-16T20:23:00Z",0.73176
"2022-05-16T20:24:00Z",0.17454
"2022-05-16T20:25:00Z",0.93768
"2022-05-16T20:26:00Z",0.93622
"2022-05-16T20:27:00Z",0.90462
"2022-05-16T20:28:00Z",0.93895
"2022-05-16T20:29:00Z",0.76251
"2022-05-16T20:30:00Z",0.15265
"2022-05-16T20:31:00Z",0.94797
"2022-05-16T20:32:00Z",0.92801
"2022-05-16T20:33:00Z",0.93892
"2022-05-16T20:34:00Z",0.94515
"2022-05-16T20:35:00Z",0.78956
"2022-05-16T20:36:00Z",0.0015
"2022-05-16T20:37:00Z",0.00077
"2022-05-16T20:38:00Z",0.00109
"2022-05-16T20:39:00Z",0.15104
"2022-05-16T20:40:00Z",0.26419
"2022-05-16T20:41:00Z",0.2656
"2022-05-16T20:42:00Z",0.26204
"2022-05-16T20:43:00Z",0.27086
"2022-05-16T20:44:00Z",0.28532
"2022-05-16T20:45:00Z",0.4211
"2022-05-16T20:46:00Z",0.65541
"2022-05-16T20:47:00Z",0.65235
"2022-05-16T20:48:00Z",0.65346
"2022-05-16T20:49:00Z",0.65344
"2022-05-16T20:50:00Z",0.65671
"2022-05-16T20:51:00Z",0.65267
"2022-05-16T20:52:00Z",0.80321
"2022-05-16T20:53:00Z",0.64519
"2022-05-16T20:54:00Z",0.00031
"2022-05-16T20:55:00Z",0.00114
"2022-05-16T20:56:00Z",0.10709
"2022-05-16T20:57:00Z",0.34531
"2022-05-16T20:58:00Z",0.34661
"2022-05-16T20:59:00Z",0.34553
"2022-05-16T21:00:00Z",0.34557
"2022-05-16T21:01:00Z",0.34289
"2022-05-16T21:02:00Z",0.38791
"2022-05-16T21:03:00Z",0.44056
"2022-05-16T21:04:00Z",0.6411
"2022-05-16T21:05:00Z",0.64301
"2022-05-16T21:06:00Z",0.64291
"2022-05-16T21:07:00Z",0.64258
"2022-05-16T21:08:00Z",0.64351
"2022-05-16T21:09:00Z",0.64786
"2022-05-16T21:10:00Z",0.6234
"2022-05-16T21:11:00Z",0.00034
"2022-05-16T21:12:00Z",0.0011
"2022-05-16T21:13:00Z",0.01217
"2022-05-16T21:14:00Z",0.28987
"2022-05-16T21:15:00Z",0.30109
"2022-05-16T21:16:00Z",0.28147
"2022-05-16T21:17:00Z",0.28951
"2022-05-16T21:18:00Z",0.28865
"2022-05-16T21:19:00Z",0.32065
"2022-05-16T21:20:00Z",0.61108
"2022-05-16T21:21:00Z",0.64242
"2022-05-16T21:22:00Z",0.65029
"2022-05-16T21:23:00Z",0.64871
"2022-05-16T21:24:00Z",0.6439
"2022-05-16T21:25:00Z",0.94975
"2022-05-16T21:26:00Z",1.02242
"2022-05-16T21:27:00Z",1.02242
"2022-05-16T21:28:00Z",0.06391
