"datetime","estimatedProcessedBytes"
"2022-05-16T19:37:00Z",1756
"2022-05-16T19:38:00Z",3484
"2022-05-16T19:39:00Z",3510
"2022-05-16T19:40:00Z",3584
"2022-05-16T19:41:00Z",1791134
"2022-05-16T19:42:00Z",460058250
"2022-05-16T19:43:00Z",169553608
"2022-05-16T19:44:00Z",5084
"2022-05-16T19:45:00Z",985083562
"2022-05-16T19:46:00Z",432744243
"2022-05-16T19:47:00Z",692946732
"2022-05-16T19:48:00Z",856368687
"2022-05-16T19:49:00Z",474230228
"2022-05-16T19:50:00Z",969569889
"2022-05-16T19:51:00Z",497150789
"2022-05-16T19:52:00Z",628509636
"2022-05-16T19:53:00Z",893415993
"2022-05-16T19:54:00Z",463732653
"2022-05-16T19:55:00Z",938455962
"2022-05-16T19:56:00Z",198692516
"2022-05-16T19:57:00Z",10346
"2022-05-16T19:58:00Z",842154347
"2022-05-16T19:59:00Z",330843254
"2022-05-16T20:00:00Z",1192186137
"2022-05-16T20:01:00Z",264589883
"2022-05-16T20:02:00Z",914613501
"2022-05-16T20:03:00Z",919200504
"2022-05-16T20:04:00Z",270986433
"2022-05-16T20:05:00Z",1227395993
"2022-05-16T20:06:00Z",312303268
"2022-05-16T20:07:00Z",15494
"2022-05-16T20:08:00Z",1239252437
"2022-05-16T20:09:00Z",889823745
"2022-05-16T20:10:00Z",15182
"2022-05-16T20:11:00Z",399485886
"2022-05-16T20:12:00Z",1393742351
"2022-05-16T20:13:00Z",1399740054
"2022-05-16T20:14:00Z",1400731436
"2022-05-16T20:15:00Z",1399220698
"2022-05-16T20:16:00Z",1073957588
"2022-05-16T20:17:00Z",310744385
"2022-05-16T20:18:00Z",1427332124
"2022-05-16T20:19:00Z",1428172526
"2022-05-16T20:20:00Z",1427972013
"2022-05-16T20:21:00Z",1426291124
"2022-05-16T20:22:00Z",1107518608
"2022-05-16T20:23:00Z",261513902
"2022-05-16T20:24:00Z",1420600215
"2022-05-16T20:25:00Z",1419641882
"2022-05-16T20:26:00Z",1387563707
"2022-05-16T20:27:00Z",1420399211
"2022-05-16T20:28:00Z",1152948386
"2022-05-16T20:29:00Z",228136354
"2022-05-16T20:30:00Z",1429188047
"2022-05-16T20:31:00Z",1408202920
"2022-05-16T20:32:00Z",1419485365
"2022-05-16T20:33:00Z",1427249304
"2022-05-16T20:34:00Z",1192577911
"2022-05-16T20:35:00Z",524
"2022-05-16T20:36:00Z",8962
"2022-05-16T20:37:00Z",3498
"2022-05-16T20:38:00Z",259873250
"2022-05-16T20:39:00Z",462547387
"2022-05-16T20:40:00Z",464170276
"2022-05-16T20:41:00Z",463496092
"2022-05-16T20:42:00Z",465875900
"2022-05-16T20:43:00Z",464758866
"2022-05-16T20:44:00Z",787945915
"2022-05-16T20:45:00Z",1139564151
"2022-05-16T20:46:00Z",1133033373
"2022-05-16T20:47:00Z",1133636953
"2022-05-16T20:48:00Z",1138140137
"2022-05-16T20:49:00Z",1135426012
"2022-05-16T20:50:00Z",1134213884
"2022-05-16T20:51:00Z",1285966190
"2022-05-16T20:52:00Z",946822386
"2022-05-16T20:53:00Z",3504
"2022-05-16T20:54:00Z",3534
"2022-05-16T20:55:00Z",161164685
"2022-05-16T20:56:00Z",525795021
"2022-05-16T20:57:00Z",526836370
"2022-05-16T20:58:00Z",523249492
"2022-05-16T20:59:00Z",523405422
"2022-05-16T21:00:00Z",523440514
"2022-05-16T21:01:00Z",522108050
"2022-05-16T21:02:00Z",658776308
"2022-05-16T21:03:00Z",1170701526
"2022-05-16T21:04:00Z",1154411541
"2022-05-16T21:05:00Z",1090700005
"2022-05-16T21:06:00Z",1090842706
"2022-05-16T21:07:00Z",1093446622
"2022-05-16T21:08:00Z",1060711739
"2022-05-16T21:09:00Z",1016001475
"2022-05-16T21:10:00Z",3938
"2022-05-16T21:11:00Z",3540
"2022-05-16T21:12:00Z",22030745
"2022-05-16T21:13:00Z",493986868
"2022-05-16T21:14:00Z",496397163
"2022-05-16T21:15:00Z",491944001
"2022-05-16T21:16:00Z",493835060
"2022-05-16T21:17:00Z",494298105
"2022-05-16T21:18:00Z",492551647
"2022-05-16T21:19:00Z",490350675
"2022-05-16T21:20:00Z",1110687173
"2022-05-16T21:21:00Z",1145128684
"2022-05-16T21:22:00Z",1152167582
"2022-05-16T21:23:00Z",1153115409
"2022-05-16T21:24:00Z",1154183211
"2022-05-16T21:25:00Z",1455867836
"2022-05-16T21:26:00Z",1527738679
"2022-05-16T21:27:00Z",207815641
"2022-05-16T21:28:00Z",1774
