"datetime","estimatedALBConsumedLCUs"
"2022-05-17T10:13:00Z",0.00028
"2022-05-17T10:14:00Z",0.00144
"2022-05-17T10:15:00Z",0.0014
"2022-05-17T10:16:00Z",0.00026
"2022-05-17T10:17:00Z",0.00164
"2022-05-17T10:18:00Z",0.00488
"2022-05-17T10:19:00Z",0.01908
"2022-05-17T10:20:00Z",0.00447
"2022-05-17T10:21:00Z",0.01658
"2022-05-17T10:22:00Z",0.01678
"2022-05-17T10:23:00Z",0.0048
"2022-05-17T10:24:00Z",0.02182
"2022-05-17T10:25:00Z",0.0075
"2022-05-17T10:26:00Z",0.01856
"2022-05-17T10:27:00Z",0.02089
"2022-05-17T10:28:00Z",0.00501
"2022-05-17T10:29:00Z",0.02659
"2022-05-17T10:30:00Z",0.01768
"2022-05-17T10:31:00Z",0.01768
"2022-05-17T10:32:00Z",0.02215
"2022-05-17T10:33:00Z",0.00304
"2022-05-17T10:34:00Z",0.00304
"2022-05-17T10:35:00Z",0.02654
"2022-05-17T10:36:00Z",0.02651
"2022-05-17T10:37:00Z",0.02661
"2022-05-17T10:38:00Z",0.02452
"2022-05-17T10:39:00Z",0.01354
"2022-05-17T10:40:00Z",0.02626
"2022-05-17T10:41:00Z",0.02673
"2022-05-17T10:42:00Z",0.02661
"2022-05-17T10:43:00Z",0.02674
"2022-05-17T10:44:00Z",0.02481
"2022-05-17T10:45:00Z",0.01356
"2022-05-17T10:46:00Z",0.02662
"2022-05-17T10:47:00Z",0.02673
"2022-05-17T10:48:00Z",0.02682
"2022-05-17T10:49:00Z",0.02684
"2022-05-17T10:50:00Z",0.02522
"2022-05-17T10:51:00Z",0.02522
"2022-05-17T10:52:00Z",0.00304
"2022-05-17T10:53:00Z",0.02608
"2022-05-17T10:54:00Z",0.02654
"2022-05-17T10:55:00Z",0.02649
"2022-05-17T10:56:00Z",0.02651
"2022-05-17T10:57:00Z",0.02578
"2022-05-17T10:58:00Z",0.00332
"2022-05-17T10:59:00Z",0.00099
"2022-05-17T11:00:00Z",0.00046
"2022-05-17T11:01:00Z",0.00156
"2022-05-17T11:02:00Z",0.00379
"2022-05-17T11:03:00Z",0.00371
"2022-05-17T11:04:00Z",0.00346
"2022-05-17T11:05:00Z",0.00369
"2022-05-17T11:06:00Z",0.00347
"2022-05-17T11:07:00Z",0.00582
"2022-05-17T11:08:00Z",0.00702
"2022-05-17T11:09:00Z",0.01391
"2022-05-17T11:10:00Z",0.01387
"2022-05-17T11:11:00Z",0.01391
"2022-05-17T11:12:00Z",0.01396
"2022-05-17T11:13:00Z",0.02605
"2022-05-17T11:14:00Z",0.0269
"2022-05-17T11:15:00Z",0.00492
"2022-05-17T11:16:00Z",0.00143
"2022-05-17T11:17:00Z",0.00143
"2022-05-17T11:18:00Z",0.0013
"2022-05-17T11:19:00Z",0.007
"2022-05-17T11:20:00Z",0.00712
"2022-05-17T11:21:00Z",0.00743
"2022-05-17T11:22:00Z",0.00745
"2022-05-17T11:23:00Z",0.00849
"2022-05-17T11:24:00Z",0.01299
"2022-05-17T11:25:00Z",0.01361
"2022-05-17T11:26:00Z",0.0137
"2022-05-17T11:27:00Z",0.01364
"2022-05-17T11:28:00Z",0.01373
"2022-05-17T11:29:00Z",0.01363
"2022-05-17T11:30:00Z",0.01482
"2022-05-17T11:31:00Z",0.02672
"2022-05-17T11:32:00Z",0.02504
"2022-05-17T11:33:00Z",0.0028
"2022-05-17T11:34:00Z",0.00041
"2022-05-17T11:35:00Z",0.0005
"2022-05-17T11:36:00Z",0.00691
"2022-05-17T11:37:00Z",0.00725
"2022-05-17T11:38:00Z",0.00699
"2022-05-17T11:39:00Z",0.00711
"2022-05-17T11:40:00Z",0.00726
"2022-05-17T11:41:00Z",0.01008
"2022-05-17T11:42:00Z",0.01364
"2022-05-17T11:43:00Z",0.01387
"2022-05-17T11:44:00Z",0.01383
"2022-05-17T11:45:00Z",0.01392
"2022-05-17T11:46:00Z",0.01385
"2022-05-17T11:47:00Z",0.01391
"2022-05-17T11:48:00Z",0.01938
"2022-05-17T11:49:00Z",0.02012
"2022-05-17T11:50:00Z",0.00229
