"datetime","estimatedALBConsumedLCUs"
"2022-05-18T07:01:00Z",0.00082
"2022-05-18T07:02:00Z",0.15359
"2022-05-18T07:03:00Z",0.16116
"2022-05-18T07:04:00Z",0.0683
"2022-05-18T07:05:00Z",0.19771
"2022-05-18T07:06:00Z",0.16077
"2022-05-18T07:07:00Z",0.11638
"2022-05-18T07:08:00Z",0.13735
"2022-05-18T07:09:00Z",0.04715
"2022-05-18T07:10:00Z",0.2598
"2022-05-18T07:11:00Z",0.42233
"2022-05-18T07:12:00Z",0.27127
"2022-05-18T07:13:00Z",0.59989
"2022-05-18T07:14:00Z",0.48806
"2022-05-18T07:15:00Z",0.20985
"2022-05-18T07:16:00Z",0.64614
"2022-05-18T07:17:00Z",0.46454
"2022-05-18T07:18:00Z",0.48015
"2022-05-18T07:19:00Z",0.50725
"2022-05-18T07:20:00Z",0.00041
"2022-05-18T07:21:00Z",0.70168
"2022-05-18T07:22:00Z",0.38779
"2022-05-18T07:23:00Z",0.23258
"2022-05-18T07:24:00Z",0.51311
"2022-05-18T07:25:00Z",0.6448
"2022-05-18T07:26:00Z",0.38812
"2022-05-18T07:27:00Z",0.59756
"2022-05-18T07:28:00Z",0.38011
"2022-05-18T07:29:00Z",0.49947
"2022-05-18T07:30:00Z",0.67781
"2022-05-18T07:31:00Z",0.12938
"2022-05-18T07:32:00Z",0.27986
"2022-05-18T07:33:00Z",0.45196
"2022-05-18T07:34:00Z",0.62015
"2022-05-18T07:35:00Z",0.60109
"2022-05-18T07:36:00Z",0.69954
"2022-05-18T07:37:00Z",0.61334
"2022-05-18T07:38:00Z",0.12214
"2022-05-18T07:39:00Z",0.78251
"2022-05-18T07:40:00Z",0.78542
"2022-05-18T07:41:00Z",0.78393
"2022-05-18T07:42:00Z",0.77352
"2022-05-18T07:43:00Z",0.6675
"2022-05-18T07:44:00Z",0.06206
"2022-05-18T07:45:00Z",0.79241
"2022-05-18T07:46:00Z",0.79586
"2022-05-18T07:47:00Z",0.79553
"2022-05-18T07:48:00Z",0.7856
"2022-05-18T07:49:00Z",0.7667
"2022-05-18T07:50:00Z",0.00936
"2022-05-18T07:51:00Z",0.61308
"2022-05-18T07:52:00Z",0.66605
"2022-05-18T07:53:00Z",0.66615
"2022-05-18T07:54:00Z",0.66522
"2022-05-18T07:55:00Z",0.66665
"2022-05-18T07:56:00Z",0.04504
"2022-05-18T07:57:00Z",0.00039
"2022-05-18T07:58:00Z",0.00112
"2022-05-18T07:59:00Z",0.10828
"2022-05-18T08:00:00Z",0.28202
"2022-05-18T08:01:00Z",0.34755
"2022-05-18T08:02:00Z",0.34281
"2022-05-18T08:03:00Z",0.37213
"2022-05-18T08:04:00Z",0.49816
"2022-05-18T08:05:00Z",0.51573
"2022-05-18T08:06:00Z",0.50284
"2022-05-18T08:07:00Z",0.66409
"2022-05-18T08:08:00Z",0.74168
"2022-05-18T08:09:00Z",0.71992
"2022-05-18T08:10:00Z",0.70977
"2022-05-18T08:11:00Z",0.67118
"2022-05-18T08:12:00Z",0.69185
"2022-05-18T08:13:00Z",0.66236
"2022-05-18T08:14:00Z",0.17281
"2022-05-18T08:15:00Z",0.00038
"2022-05-18T08:16:00Z",0.00042
"2022-05-18T08:17:00Z",0.00107
"2022-05-18T08:18:00Z",0.12556
"2022-05-18T08:19:00Z",0.31898
"2022-05-18T08:20:00Z",0.35905
"2022-05-18T08:21:00Z",0.3609
"2022-05-18T08:22:00Z",0.43029
"2022-05-18T08:23:00Z",0.51432
"2022-05-18T08:24:00Z",0.529
"2022-05-18T08:25:00Z",0.5099
"2022-05-18T08:26:00Z",0.70377
"2022-05-18T08:27:00Z",0.75841
"2022-05-18T08:28:00Z",0.68012
"2022-05-18T08:29:00Z",0.71524
"2022-05-18T08:30:00Z",0.69318
"2022-05-18T08:31:00Z",0.70991
"2022-05-18T08:32:00Z",0.69888
"2022-05-18T08:33:00Z",0.21376
"2022-05-18T08:34:00Z",0.00042
"2022-05-18T08:35:00Z",0.05866
"2022-05-18T08:36:00Z",0.17056
"2022-05-18T08:37:00Z",0.31077
"2022-05-18T08:38:00Z",0.36552
"2022-05-18T08:39:00Z",0.4804
"2022-05-18T08:40:00Z",0.54651
"2022-05-18T08:41:00Z",0.56301
"2022-05-18T08:42:00Z",0.57664
"2022-05-18T08:43:00Z",0.64132
"2022-05-18T08:44:00Z",0.65766
"2022-05-18T08:45:00Z",0.62177
"2022-05-18T08:46:00Z",0.62168
"2022-05-18T08:47:00Z",0.62079
"2022-05-18T08:48:00Z",0.60609
"2022-05-18T08:49:00Z",0.63875
"2022-05-18T08:50:00Z",0.64229
"2022-05-18T08:51:00Z",0.30224
