"datetime","backendConnectionErrors"
"2022-05-18T20:38:00Z",100
"2022-05-18T20:39:00Z",201
"2022-05-18T20:40:00Z",101
"2022-05-18T20:46:00Z",1
"2022-05-18T21:17:00Z",103
"2022-05-18T21:18:00Z",7
"2022-05-18T21:20:00Z",1
"2022-05-18T21:27:00Z",1
"2022-05-18T21:32:00Z",100
"2022-05-18T21:33:00Z",101
"2022-05-18T21:34:00Z",101
"2022-05-18T21:35:00Z",1
"2022-05-18T21:40:00Z",101
"2022-05-18T21:41:00Z",101
"2022-05-18T21:53:00Z",100
"2022-05-18T21:57:00Z",100
"2022-05-18T21:58:00Z",101
"2022-05-18T22:02:00Z",104
"2022-05-18T22:08:00Z",100
"2022-05-18T22:12:00Z",103
"2022-05-18T22:15:00Z",205
"2022-05-18T22:16:00Z",1
"2022-05-18T22:25:00Z",100
