"datetime","estimatedALBConsumedLCUs"
"2022-05-18T20:35:00Z",0.00019
"2022-05-18T20:36:00Z",0.00022
"2022-05-18T20:37:00Z",0.00128
"2022-05-18T20:38:00Z",0.00022
"2022-05-18T20:39:00Z",0.0026
"2022-05-18T20:40:00Z",0.00756
"2022-05-18T20:41:00Z",0.02691
"2022-05-18T20:42:00Z",0.00563
"2022-05-18T20:43:00Z",0.01971
"2022-05-18T20:44:00Z",0.01964
"2022-05-18T20:45:00Z",0.00964
"2022-05-18T20:46:00Z",0.03167
"2022-05-18T20:47:00Z",0.00672
"2022-05-18T20:48:00Z",0.0238
"2022-05-18T20:49:00Z",0.02237
"2022-05-18T20:50:00Z",0.00733
"2022-05-18T20:51:00Z",0.03133
"2022-05-18T20:52:00Z",0.00886
"2022-05-18T20:53:00Z",0.03191
"2022-05-18T20:54:00Z",0.03815
"2022-05-18T20:55:00Z",0.00761
"2022-05-18T20:56:00Z",0.04632
"2022-05-18T20:57:00Z",0.01536
"2022-05-18T20:58:00Z",0.03012
"2022-05-18T20:59:00Z",0.04194
"2022-05-18T21:00:00Z",0.02374
"2022-05-18T21:01:00Z",0.04574
"2022-05-18T21:02:00Z",0.01838
"2022-05-18T21:03:00Z",0.02783
"2022-05-18T21:04:00Z",0.04257
"2022-05-18T21:05:00Z",0.02152
"2022-05-18T21:06:00Z",0.04712
"2022-05-18T21:07:00Z",0.02031
"2022-05-18T21:08:00Z",0.0005
"2022-05-18T21:09:00Z",0.02283
"2022-05-18T21:10:00Z",0.04638
"2022-05-18T21:11:00Z",0.04814
"2022-05-18T21:12:00Z",0.04861
"2022-05-18T21:13:00Z",0.04891
"2022-05-18T21:14:00Z",0.02542
"2022-05-18T21:15:00Z",0.01947
"2022-05-18T21:16:00Z",0.04839
"2022-05-18T21:17:00Z",0.04814
"2022-05-18T21:18:00Z",0.04598
"2022-05-18T21:19:00Z",0.04802
"2022-05-18T21:20:00Z",0.02882
"2022-05-18T21:21:00Z",0.01997
"2022-05-18T21:22:00Z",0.04801
"2022-05-18T21:23:00Z",0.04849
"2022-05-18T21:24:00Z",0.04947
"2022-05-18T21:25:00Z",0.04978
"2022-05-18T21:26:00Z",0.02904
"2022-05-18T21:27:00Z",0.01677
"2022-05-18T21:28:00Z",0.04687
"2022-05-18T21:29:00Z",0.04862
"2022-05-18T21:30:00Z",0.04761
"2022-05-18T21:31:00Z",0.0478
"2022-05-18T21:32:00Z",0.03112
"2022-05-18T21:33:00Z",0.00199
"2022-05-18T21:34:00Z",0.00133
"2022-05-18T21:35:00Z",0.00142
"2022-05-18T21:36:00Z",0.00621
"2022-05-18T21:37:00Z",0.00978
"2022-05-18T21:38:00Z",0.00766
"2022-05-18T21:39:00Z",0.00827
"2022-05-18T21:40:00Z",0.0106
"2022-05-18T21:41:00Z",0.0186
"2022-05-18T21:42:00Z",0.03831
"2022-05-18T21:43:00Z",0.04783
"2022-05-18T21:44:00Z",0.04809
"2022-05-18T21:45:00Z",0.04818
"2022-05-18T21:46:00Z",0.04968
"2022-05-18T21:47:00Z",0.0503
"2022-05-18T21:48:00Z",0.04889
"2022-05-18T21:49:00Z",0.04759
"2022-05-18T21:50:00Z",0.0267
"2022-05-18T21:51:00Z",0.00029
"2022-05-18T21:52:00Z",0.00161
"2022-05-18T21:53:00Z",0.00371
"2022-05-18T21:54:00Z",0.00826
"2022-05-18T21:55:00Z",0.01012
"2022-05-18T21:56:00Z",0.00891
"2022-05-18T21:57:00Z",0.00938
"2022-05-18T21:58:00Z",0.02111
"2022-05-18T21:59:00Z",0.05007
"2022-05-18T22:00:00Z",0.04976
"2022-05-18T22:01:00Z",0.0469
"2022-05-18T22:02:00Z",0.04801
"2022-05-18T22:03:00Z",0.04787
"2022-05-18T22:04:00Z",0.04817
"2022-05-18T22:05:00Z",0.04715
"2022-05-18T22:06:00Z",0.04631
"2022-05-18T22:07:00Z",0.04234
"2022-05-18T22:08:00Z",0.00024
"2022-05-18T22:09:00Z",0.00052
"2022-05-18T22:10:00Z",0.00131
"2022-05-18T22:11:00Z",0.00843
"2022-05-18T22:12:00Z",0.00804
"2022-05-18T22:13:00Z",0.00812
"2022-05-18T22:14:00Z",0.00785
"2022-05-18T22:15:00Z",0.00853
"2022-05-18T22:16:00Z",0.01133
"2022-05-18T22:17:00Z",0.04598
"2022-05-18T22:18:00Z",0.04786
"2022-05-18T22:19:00Z",0.04691
"2022-05-18T22:20:00Z",0.04665
"2022-05-18T22:21:00Z",0.04666
"2022-05-18T22:22:00Z",0.04777
"2022-05-18T22:23:00Z",0.04751
"2022-05-18T22:24:00Z",0.04905
"2022-05-18T22:25:00Z",0.00877
