"datetime","estimatedProcessedBytes"
"2022-05-18T20:35:00Z",2770
"2022-05-18T20:36:00Z",2768
"2022-05-18T20:37:00Z",6194
"2022-05-18T20:38:00Z",2972
"2022-05-18T20:39:00Z",12026342
"2022-05-18T20:40:00Z",38401416
"2022-05-18T20:41:00Z",7260746
"2022-05-18T20:42:00Z",33199289
"2022-05-18T20:43:00Z",30665431
"2022-05-18T20:44:00Z",15481717
"2022-05-18T20:45:00Z",57794599
"2022-05-18T20:46:00Z",12499117
"2022-05-18T20:47:00Z",41979798
"2022-05-18T20:48:00Z",44164873
"2022-05-18T20:49:00Z",11189718
"2022-05-18T20:50:00Z",57704279
"2022-05-18T20:51:00Z",16727581
"2022-05-18T20:52:00Z",48499082
"2022-05-18T20:53:00Z",61582003
"2022-05-18T20:54:00Z",10007754
"2022-05-18T20:55:00Z",72699078
"2022-05-18T20:56:00Z",25564339
"2022-05-18T20:57:00Z",43894311
"2022-05-18T20:58:00Z",64265960
"2022-05-18T20:59:00Z",6542610
"2022-05-18T21:00:00Z",69480389
"2022-05-18T21:01:00Z",28984042
"2022-05-18T21:02:00Z",39952304
"2022-05-18T21:03:00Z",64699433
"2022-05-18T21:04:00Z",2790917
"2022-05-18T21:05:00Z",68638764
"2022-05-18T21:06:00Z",31310001
"2022-05-18T21:07:00Z",3966
"2022-05-18T21:08:00Z",32652792
"2022-05-18T21:09:00Z",68342075
"2022-05-18T21:10:00Z",70550046
"2022-05-18T21:11:00Z",71399401
"2022-05-18T21:12:00Z",70576246
"2022-05-18T21:13:00Z",37598825
"2022-05-18T21:14:00Z",27933887
"2022-05-18T21:15:00Z",70446653
"2022-05-18T21:16:00Z",70128138
"2022-05-18T21:17:00Z",68851900
"2022-05-18T21:18:00Z",69508242
"2022-05-18T21:19:00Z",42759923
"2022-05-18T21:20:00Z",27488886
"2022-05-18T21:21:00Z",71002056
"2022-05-18T21:22:00Z",71924159
"2022-05-18T21:23:00Z",71964876
"2022-05-18T21:24:00Z",72539306
"2022-05-18T21:25:00Z",44916855
"2022-05-18T21:26:00Z",23309640
"2022-05-18T21:27:00Z",70371470
"2022-05-18T21:28:00Z",71907507
"2022-05-18T21:29:00Z",70100959
"2022-05-18T21:30:00Z",70539936
"2022-05-18T21:31:00Z",48147543
"2022-05-18T21:32:00Z",1034
"2022-05-18T21:33:00Z",9310
"2022-05-18T21:34:00Z",6296
"2022-05-18T21:35:00Z",12206010
"2022-05-18T21:36:00Z",16694100
"2022-05-18T21:37:00Z",15146363
"2022-05-18T21:38:00Z",16191248
"2022-05-18T21:39:00Z",16727029
"2022-05-18T21:40:00Z",32482537
"2022-05-18T21:41:00Z",59270066
"2022-05-18T21:42:00Z",67759924
"2022-05-18T21:43:00Z",67885600
"2022-05-18T21:44:00Z",68837354
"2022-05-18T21:45:00Z",71013545
"2022-05-18T21:46:00Z",71437171
"2022-05-18T21:47:00Z",69595025
"2022-05-18T21:48:00Z",68798307
"2022-05-18T21:49:00Z",37258303
"2022-05-18T21:50:00Z",3134
"2022-05-18T21:51:00Z",3050
"2022-05-18T21:52:00Z",6325377
"2022-05-18T21:53:00Z",15374382
"2022-05-18T21:54:00Z",17390083
"2022-05-18T21:55:00Z",15387882
"2022-05-18T21:56:00Z",16872944
"2022-05-18T21:57:00Z",33861857
"2022-05-18T21:58:00Z",74822596
"2022-05-18T21:59:00Z",74774459
"2022-05-18T22:00:00Z",71783835
"2022-05-18T22:01:00Z",72416966
"2022-05-18T22:02:00Z",72558511
"2022-05-18T22:03:00Z",72352919
"2022-05-18T22:04:00Z",70139652
"2022-05-18T22:05:00Z",70549766
"2022-05-18T22:06:00Z",62647782
"2022-05-18T22:07:00Z",6957
"2022-05-18T22:08:00Z",3518
"2022-05-18T22:09:00Z",1539877
"2022-05-18T22:10:00Z",15809142
"2022-05-18T22:11:00Z",14671832
"2022-05-18T22:12:00Z",16135808
"2022-05-18T22:13:00Z",15015266
"2022-05-18T22:14:00Z",16380810
"2022-05-18T22:15:00Z",16156475
"2022-05-18T22:16:00Z",67049107
"2022-05-18T22:17:00Z",70219810
"2022-05-18T22:18:00Z",68787129
"2022-05-18T22:19:00Z",70196597
"2022-05-18T22:20:00Z",69358971
"2022-05-18T22:21:00Z",68402966
"2022-05-18T22:22:00Z",70028252
"2022-05-18T22:23:00Z",70729660
"2022-05-18T22:24:00Z",11305224
"2022-05-18T22:25:00Z",7444
