"datetime","estimatedProcessedBytes"
"2022-05-18T22:51:00Z",49462336
"2022-05-18T22:52:00Z",8742091
"2022-05-18T22:53:00Z",68182333
"2022-05-18T22:54:00Z",77075631
"2022-05-18T22:55:00Z",13157857
"2022-05-18T22:56:00Z",151889071
"2022-05-18T22:57:00Z",62081936
"2022-05-18T22:58:00Z",87806178
"2022-05-18T22:59:00Z",189736818
"2022-05-18T23:00:00Z",6377372
"2022-05-18T23:01:00Z",151691734
"2022-05-18T23:02:00Z",110575255
"2022-05-18T23:03:00Z",48579324
"2022-05-18T23:04:00Z",193072493
"2022-05-18T23:05:00Z",46011078
"2022-05-18T23:06:00Z",129907651
"2022-05-18T23:07:00Z",171075891
"2022-05-18T23:08:00Z",9381967
"2022-05-18T23:09:00Z",200629104
"2022-05-18T23:10:00Z",91226564
"2022-05-18T23:11:00Z",96096055
"2022-05-18T23:12:00Z",218850827
"2022-05-18T23:13:00Z",12911919
"2022-05-18T23:14:00Z",198232381
"2022-05-18T23:15:00Z",152174056
"2022-05-18T23:16:00Z",50015543
"2022-05-18T23:17:00Z",222728909
"2022-05-18T23:18:00Z",61164447
"2022-05-18T23:19:00Z",4394
"2022-05-18T23:20:00Z",141563658
"2022-05-18T23:21:00Z",225369511
"2022-05-18T23:22:00Z",223300081
"2022-05-18T23:23:00Z",214865623
"2022-05-18T23:24:00Z",209977967
"2022-05-18T23:25:00Z",129753677
"2022-05-18T23:26:00Z",74481702
"2022-05-18T23:27:00Z",244889793
"2022-05-18T23:28:00Z",245918774
"2022-05-18T23:29:00Z",237830617
"2022-05-18T23:30:00Z",236337737
"2022-05-18T23:31:00Z",163718476
"2022-05-18T23:32:00Z",49495659
"2022-05-18T23:33:00Z",244779751
"2022-05-18T23:34:00Z",248179852
"2022-05-18T23:35:00Z",239939949
"2022-05-18T23:36:00Z",247765714
"2022-05-18T23:37:00Z",194688236
"2022-05-18T23:38:00Z",19869194
"2022-05-18T23:39:00Z",216305917
"2022-05-18T23:40:00Z",220451640
"2022-05-18T23:41:00Z",216628877
"2022-05-18T23:42:00Z",222750783
"2022-05-18T23:43:00Z",198981944
"2022-05-18T23:44:00Z",11966
"2022-05-18T23:45:00Z",2330
"2022-05-18T23:46:00Z",1862
"2022-05-18T23:47:00Z",28455042
"2022-05-18T23:48:00Z",51557075
"2022-05-18T23:49:00Z",56972556
"2022-05-18T23:50:00Z",56486829
"2022-05-18T23:51:00Z",78087438
"2022-05-18T23:52:00Z",111090933
"2022-05-18T23:53:00Z",112061190
"2022-05-18T23:54:00Z",117910636
"2022-05-18T23:55:00Z",145838168
"2022-05-18T23:56:00Z",158903771
"2022-05-18T23:57:00Z",195591416
"2022-05-18T23:58:00Z",215050152
"2022-05-18T23:59:00Z",216440895
"2022-05-19T00:00:00Z",214516526
"2022-05-19T00:01:00Z",219619842
"2022-05-19T00:02:00Z",208545257
"2022-05-19T00:03:00Z",207984540
"2022-05-19T00:04:00Z",199894678
"2022-05-19T00:05:00Z",209170878
"2022-05-19T00:06:00Z",203505332
"2022-05-19T00:07:00Z",206063243
"2022-05-19T00:08:00Z",216127708
"2022-05-19T00:09:00Z",214322206
"2022-05-19T00:10:00Z",210296784
"2022-05-19T00:11:00Z",218196542
"2022-05-19T00:12:00Z",209287901
"2022-05-19T00:13:00Z",137921474
"2022-05-19T00:14:00Z",13914
"2022-05-19T00:15:00Z",2408
"2022-05-19T00:16:00Z",1784
"2022-05-19T00:17:00Z",24216916
"2022-05-19T00:18:00Z",50854054
"2022-05-19T00:19:00Z",55659429
"2022-05-19T00:20:00Z",93212584
"2022-05-19T00:21:00Z",111848375
"2022-05-19T00:22:00Z",109904531
"2022-05-19T00:23:00Z",121685473
"2022-05-19T00:24:00Z",163094475
"2022-05-19T00:25:00Z",189599199
"2022-05-19T00:26:00Z",179019206
"2022-05-19T00:27:00Z",188424668
"2022-05-19T00:28:00Z",219542170
"2022-05-19T00:29:00Z",217944908
"2022-05-19T00:30:00Z",211019504
"2022-05-19T00:31:00Z",210620785
"2022-05-19T00:32:00Z",201162694
"2022-05-19T00:33:00Z",201302293
"2022-05-19T00:34:00Z",214580617
"2022-05-19T00:35:00Z",195916598
