"datetime","estimatedALBActiveConnectionCount"
"2022-05-19T07:18:00Z",4
"2022-05-19T07:19:00Z",4
"2022-05-19T07:20:00Z",4
"2022-05-19T07:21:00Z",4
"2022-05-19T07:22:00Z",15
"2022-05-19T07:23:00Z",24.5
"2022-05-19T07:24:00Z",15.5
"2022-05-19T07:25:00Z",16.5
"2022-05-19T07:26:00Z",17
"2022-05-19T07:27:00Z",18
"2022-05-19T07:28:00Z",26
"2022-05-19T07:29:00Z",17
"2022-05-19T07:30:00Z",19
"2022-05-19T07:31:00Z",18
"2022-05-19T07:32:00Z",18
"2022-05-19T07:33:00Z",28
"2022-05-19T07:34:00Z",19
"2022-05-19T07:35:00Z",19
"2022-05-19T07:36:00Z",19
"2022-05-19T07:37:00Z",20
"2022-05-19T07:38:00Z",30.5
"2022-05-19T07:39:00Z",19.5
"2022-05-19T07:40:00Z",20
"2022-05-19T07:41:00Z",20
"2022-05-19T07:42:00Z",21
"2022-05-19T07:43:00Z",32
"2022-05-19T07:44:00Z",20
"2022-05-19T07:45:00Z",21
"2022-05-19T07:46:00Z",21
"2022-05-19T07:47:00Z",9
"2022-05-19T07:48:00Z",34.5
"2022-05-19T07:49:00Z",21.5
"2022-05-19T07:50:00Z",9.5
"2022-05-19T07:51:00Z",21.5
"2022-05-19T07:52:00Z",35.5
"2022-05-19T07:53:00Z",33.5
"2022-05-19T07:54:00Z",34
"2022-05-19T07:55:00Z",35
"2022-05-19T07:56:00Z",21
"2022-05-19T07:57:00Z",21
"2022-05-19T07:58:00Z",34
"2022-05-19T07:59:00Z",34
"2022-05-19T08:00:00Z",34
"2022-05-19T08:01:00Z",34
"2022-05-19T08:02:00Z",22
"2022-05-19T08:03:00Z",21
"2022-05-19T08:04:00Z",34
"2022-05-19T08:05:00Z",33.5
"2022-05-19T08:06:00Z",33.5
"2022-05-19T08:07:00Z",33.5
"2022-05-19T08:08:00Z",21.5
"2022-05-19T08:09:00Z",20.5
"2022-05-19T08:10:00Z",33.5
"2022-05-19T08:11:00Z",33.5
"2022-05-19T08:12:00Z",33.5
"2022-05-19T08:13:00Z",33.5
"2022-05-19T08:14:00Z",22
"2022-05-19T08:15:00Z",5.5
"2022-05-19T08:16:00Z",4.5
"2022-05-19T08:17:00Z",5
"2022-05-19T08:18:00Z",17
"2022-05-19T08:19:00Z",31
"2022-05-19T08:20:00Z",29
"2022-05-19T08:21:00Z",31
"2022-05-19T08:22:00Z",44
"2022-05-19T08:23:00Z",52
"2022-05-19T08:24:00Z",27
"2022-05-19T08:25:00Z",34.5
"2022-05-19T08:26:00Z",35
"2022-05-19T08:27:00Z",33.5
"2022-05-19T08:28:00Z",34
"2022-05-19T08:29:00Z",35.5
"2022-05-19T08:30:00Z",33.5
"2022-05-19T08:31:00Z",35.5
"2022-05-19T08:32:00Z",21
"2022-05-19T08:33:00Z",6.5
"2022-05-19T08:34:00Z",4.5
"2022-05-19T08:35:00Z",16
"2022-05-19T08:36:00Z",29
"2022-05-19T08:37:00Z",30
"2022-05-19T08:38:00Z",29
"2022-05-19T08:39:00Z",29
"2022-05-19T08:40:00Z",31
"2022-05-19T08:41:00Z",53
"2022-05-19T08:42:00Z",40
"2022-05-19T08:43:00Z",33.5
"2022-05-19T08:44:00Z",32.5
"2022-05-19T08:45:00Z",33.5
"2022-05-19T08:46:00Z",33.5
"2022-05-19T08:47:00Z",34
"2022-05-19T08:48:00Z",34
"2022-05-19T08:49:00Z",22
"2022-05-19T08:50:00Z",6
"2022-05-19T08:51:00Z",4.5
"2022-05-19T08:52:00Z",18
"2022-05-19T08:53:00Z",30
"2022-05-19T08:54:00Z",30
"2022-05-19T08:55:00Z",23.5
"2022-05-19T08:56:00Z",31.5
"2022-05-19T08:57:00Z",29
"2022-05-19T08:58:00Z",31.5
"2022-05-19T08:59:00Z",37.5
"2022-05-19T09:00:00Z",41
"2022-05-19T09:01:00Z",33.5
"2022-05-19T09:02:00Z",21.5
"2022-05-19T09:03:00Z",34
"2022-05-19T09:04:00Z",34
"2022-05-19T09:05:00Z",34.5
"2022-05-19T09:06:00Z",34.5
"2022-05-19T09:07:00Z",9.5
"2022-05-19T09:08:00Z",9.5
"2022-05-19T09:09:00Z",9
