"datetime","estimatedALBConsumedLCUs"
"2022-05-20T10:40:00Z",0.00029
"2022-05-20T10:41:00Z",0.00048
"2022-05-20T10:42:00Z",0.00515
"2022-05-20T10:43:00Z",0.01535
"2022-05-20T10:44:00Z",0.02514
"2022-05-20T10:45:00Z",0.02869
"2022-05-20T10:46:00Z",0.03258
"2022-05-20T10:47:00Z",0.05077
"2022-05-20T10:48:00Z",0.07089
"2022-05-20T10:49:00Z",0.03269
"2022-05-20T10:50:00Z",0.05437
"2022-05-20T10:51:00Z",0.06689
"2022-05-20T10:52:00Z",0.03955
"2022-05-20T10:53:00Z",0.05009
"2022-05-20T10:54:00Z",0.04781
"2022-05-20T10:55:00Z",0.0657
"2022-05-20T10:56:00Z",0.04731
"2022-05-20T10:57:00Z",0.03494
"2022-05-20T10:58:00Z",0.063
"2022-05-20T10:59:00Z",0.05365
"2022-05-20T11:00:00Z",0.047
"2022-05-20T11:01:00Z",0.05665
"2022-05-20T11:02:00Z",0.04064
"2022-05-20T11:03:00Z",0.05369
"2022-05-20T11:04:00Z",0.06621
"2022-05-20T11:05:00Z",0.01595
"2022-05-20T11:06:00Z",0.0426
"2022-05-20T11:07:00Z",0.05628
"2022-05-20T11:08:00Z",0.00124
"2022-05-20T11:09:00Z",0.07204
"2022-05-20T11:10:00Z",0.03601
"2022-05-20T11:11:00Z",0.01779
"2022-05-20T11:12:00Z",0.04843
"2022-05-20T11:13:00Z",0.06594
"2022-05-20T11:14:00Z",0.06032
"2022-05-20T11:15:00Z",0.05247
"2022-05-20T11:16:00Z",0.06257
"2022-05-20T11:17:00Z",0.06121
"2022-05-20T11:18:00Z",0.05006
"2022-05-20T11:19:00Z",0.0716
"2022-05-20T11:20:00Z",0.0721
"2022-05-20T11:21:00Z",0.07158
"2022-05-20T11:22:00Z",0.07094
"2022-05-20T11:23:00Z",0.07123
"2022-05-20T11:24:00Z",0.05269
"2022-05-20T11:25:00Z",0.05748
"2022-05-20T11:26:00Z",0.06331
"2022-05-20T11:27:00Z",0.0636
"2022-05-20T11:28:00Z",0.06263
"2022-05-20T11:29:00Z",0.06267
"2022-05-20T11:30:00Z",0.00696
"2022-05-20T11:31:00Z",0.05454
"2022-05-20T11:32:00Z",0.07336
"2022-05-20T11:33:00Z",0.07424
"2022-05-20T11:34:00Z",0.07423
"2022-05-20T11:35:00Z",0.04906
"2022-05-20T11:36:00Z",0.01082
"2022-05-20T11:37:00Z",0.00033
"2022-05-20T11:38:00Z",0.00574
"2022-05-20T11:39:00Z",0.02434
"2022-05-20T11:40:00Z",0.02416
"2022-05-20T11:41:00Z",0.0326
"2022-05-20T11:42:00Z",0.04386
"2022-05-20T11:43:00Z",0.03507
"2022-05-20T11:44:00Z",0.03944
"2022-05-20T11:45:00Z",0.06573
"2022-05-20T11:46:00Z",0.06501
"2022-05-20T11:47:00Z",0.06621
"2022-05-20T11:48:00Z",0.06127
"2022-05-20T11:49:00Z",0.06148
"2022-05-20T11:50:00Z",0.05498
"2022-05-20T11:51:00Z",0.06141
"2022-05-20T11:52:00Z",0.06656
"2022-05-20T11:53:00Z",0.04863
"2022-05-20T11:54:00Z",0.02927
"2022-05-20T11:55:00Z",0.00038
"2022-05-20T11:56:00Z",0.00036
"2022-05-20T11:57:00Z",0.00908
"2022-05-20T11:58:00Z",0.02376
"2022-05-20T11:59:00Z",0.02364
"2022-05-20T12:00:00Z",0.02623
"2022-05-20T12:01:00Z",0.03257
"2022-05-20T12:02:00Z",0.04424
"2022-05-20T12:03:00Z",0.04142
"2022-05-20T12:04:00Z",0.05295
"2022-05-20T12:05:00Z",0.05295
"2022-05-20T12:06:00Z",0.04429
"2022-05-20T12:07:00Z",0.05837
"2022-05-20T12:08:00Z",0.0605
"2022-05-20T12:09:00Z",0.05192
"2022-05-20T12:10:00Z",0.05021
"2022-05-20T12:11:00Z",0.05424
"2022-05-20T12:12:00Z",0.05341
"2022-05-20T12:13:00Z",0.02709
"2022-05-20T12:14:00Z",0.00033
"2022-05-20T12:15:00Z",0.00096
"2022-05-20T12:16:00Z",0.01308
"2022-05-20T12:17:00Z",0.01388
"2022-05-20T12:18:00Z",0.01392
"2022-05-20T12:19:00Z",0.03448
"2022-05-20T12:20:00Z",0.03339
"2022-05-20T12:21:00Z",0.05056
"2022-05-20T12:22:00Z",0.05003
"2022-05-20T12:23:00Z",0.05214
"2022-05-20T12:24:00Z",0.04448
"2022-05-20T12:25:00Z",0.05142
"2022-05-20T12:26:00Z",0.04996
"2022-05-20T12:27:00Z",0.04722
"2022-05-20T12:28:00Z",0.04894
"2022-05-20T12:29:00Z",0.0522
"2022-05-20T12:30:00Z",0.04301
"2022-05-20T12:31:00Z",0.03243
"2022-05-20T12:32:00Z",0.0004
