"datetime","estimatedALBActiveConnectionCount"
"2022-05-21T00:18:00Z",7
"2022-05-21T00:19:00Z",23.5
"2022-05-21T00:20:00Z",23.5
"2022-05-21T00:21:00Z",7.5
"2022-05-21T00:22:00Z",24.5
"2022-05-21T00:23:00Z",7.5
"2022-05-21T00:24:00Z",25.5
"2022-05-21T00:25:00Z",25.5
"2022-05-21T00:26:00Z",7.5
"2022-05-21T00:27:00Z",26.5
"2022-05-21T00:28:00Z",16.5
"2022-05-21T00:29:00Z",7.5
"2022-05-21T00:30:00Z",27.5
"2022-05-21T00:31:00Z",7.5
"2022-05-21T00:32:00Z",28.5
"2022-05-21T00:33:00Z",28.5
"2022-05-21T00:34:00Z",7.5
"2022-05-21T00:35:00Z",29.5
"2022-05-21T00:36:00Z",8
"2022-05-21T00:37:00Z",31
"2022-05-21T00:38:00Z",31
"2022-05-21T00:39:00Z",8
"2022-05-21T00:40:00Z",32
"2022-05-21T00:41:00Z",20
"2022-05-21T00:42:00Z",8
"2022-05-21T00:43:00Z",33
"2022-05-21T00:44:00Z",8
"2022-05-21T00:45:00Z",8
"2022-05-21T00:46:00Z",33
"2022-05-21T00:47:00Z",32.5
"2022-05-21T00:48:00Z",32
"2022-05-21T00:49:00Z",32.5
"2022-05-21T00:50:00Z",19.5
"2022-05-21T00:51:00Z",20.5
"2022-05-21T00:52:00Z",20.5
"2022-05-21T00:53:00Z",32.5
"2022-05-21T00:54:00Z",32.5
"2022-05-21T00:55:00Z",32.5
"2022-05-21T00:56:00Z",32.5
"2022-05-21T00:57:00Z",20
"2022-05-21T00:58:00Z",7.5
"2022-05-21T00:59:00Z",32.5
"2022-05-21T01:00:00Z",32.5
"2022-05-21T01:01:00Z",32.5
"2022-05-21T01:02:00Z",32.5
"2022-05-21T01:03:00Z",32.5
"2022-05-21T01:04:00Z",7.5
"2022-05-21T01:05:00Z",33
"2022-05-21T01:06:00Z",33
"2022-05-21T01:07:00Z",33
"2022-05-21T01:08:00Z",33
"2022-05-21T01:09:00Z",33
"2022-05-21T01:10:00Z",8
"2022-05-21T01:11:00Z",6
"2022-05-21T01:12:00Z",4
"2022-05-21T01:13:00Z",4
"2022-05-21T01:14:00Z",28.5
"2022-05-21T01:15:00Z",28.5
"2022-05-21T01:16:00Z",33.5
"2022-05-21T01:17:00Z",33.5
"2022-05-21T01:18:00Z",32.5
"2022-05-21T01:19:00Z",32.5
"2022-05-21T01:20:00Z",32.5
"2022-05-21T01:21:00Z",32
"2022-05-21T01:22:00Z",20
"2022-05-21T01:23:00Z",31
"2022-05-21T01:24:00Z",20
"2022-05-21T01:25:00Z",32
"2022-05-21T01:26:00Z",32
"2022-05-21T01:27:00Z",32
"2022-05-21T01:28:00Z",32
"2022-05-21T01:29:00Z",7
"2022-05-21T01:30:00Z",3
"2022-05-21T01:31:00Z",3
"2022-05-21T01:32:00Z",3
"2022-05-21T01:33:00Z",28
"2022-05-21T01:34:00Z",28
"2022-05-21T01:35:00Z",32
"2022-05-21T01:36:00Z",32
"2022-05-21T01:37:00Z",32
"2022-05-21T01:38:00Z",32
"2022-05-21T01:39:00Z",32.5
"2022-05-21T01:40:00Z",32.5
"2022-05-21T01:41:00Z",20.5
"2022-05-21T01:42:00Z",31.5
"2022-05-21T01:43:00Z",21
"2022-05-21T01:44:00Z",32.5
"2022-05-21T01:45:00Z",32.5
"2022-05-21T01:46:00Z",32.5
"2022-05-21T01:47:00Z",32.5
"2022-05-21T01:48:00Z",5.5
"2022-05-21T01:49:00Z",4
"2022-05-21T01:50:00Z",3.5
"2022-05-21T01:51:00Z",28.5
"2022-05-21T01:52:00Z",28.5
"2022-05-21T01:53:00Z",29
"2022-05-21T01:54:00Z",28.5
"2022-05-21T01:55:00Z",32.5
"2022-05-21T01:56:00Z",19.5
"2022-05-21T01:57:00Z",34
"2022-05-21T01:58:00Z",19
"2022-05-21T01:59:00Z",32
"2022-05-21T02:00:00Z",32
"2022-05-21T02:01:00Z",32
"2022-05-21T02:02:00Z",32
"2022-05-21T02:03:00Z",32
"2022-05-21T02:04:00Z",32
"2022-05-21T02:05:00Z",32
"2022-05-21T02:06:00Z",7
"2022-05-21T02:07:00Z",7
"2022-05-21T02:08:00Z",7
