"datetime","estimatedProcessedBytes"
"2022-05-22T00:59:00Z",1840
"2022-05-22T01:00:00Z",1774
"2022-05-22T01:01:00Z",21994247
"2022-05-22T01:02:00Z",20161904
"2022-05-22T01:03:00Z",11142129
"2022-05-22T01:04:00Z",65141586
"2022-05-22T01:05:00Z",21206065
"2022-05-22T01:06:00Z",63641501
"2022-05-22T01:07:00Z",113710677
"2022-05-22T01:08:00Z",2408
"2022-05-22T01:09:00Z",109349489
"2022-05-22T01:10:00Z",64615453
"2022-05-22T01:11:00Z",35679929
"2022-05-22T01:12:00Z",110129822
"2022-05-22T01:13:00Z",18779435
"2022-05-22T01:14:00Z",85665858
"2022-05-22T01:15:00Z",91260253
"2022-05-22T01:16:00Z",14075700
"2022-05-22T01:17:00Z",117193884
"2022-05-22T01:18:00Z",44649360
"2022-05-22T01:19:00Z",58702788
"2022-05-22T01:20:00Z",113444347
"2022-05-22T01:21:00Z",2306
"2022-05-22T01:22:00Z",109555985
"2022-05-22T01:23:00Z",71045869
"2022-05-22T01:24:00Z",35150126
"2022-05-22T01:25:00Z",116568155
"2022-05-22T01:26:00Z",22548006
"2022-05-22T01:27:00Z",81244545
"2022-05-22T01:28:00Z",92784345
"2022-05-22T01:29:00Z",2304
"2022-05-22T01:30:00Z",6138594
"2022-05-22T01:31:00Z",111812643
"2022-05-22T01:32:00Z",115887008
"2022-05-22T01:33:00Z",111225553
"2022-05-22T01:34:00Z",111694437
"2022-05-22T01:35:00Z",112183073
"2022-05-22T01:36:00Z",18619269
"2022-05-22T01:37:00Z",92391912
"2022-05-22T01:38:00Z",118444359
"2022-05-22T01:39:00Z",118247271
"2022-05-22T01:40:00Z",117539881
"2022-05-22T01:41:00Z",118445099
"2022-05-22T01:42:00Z",24979930
"2022-05-22T01:43:00Z",79627996
"2022-05-22T01:44:00Z",118945437
"2022-05-22T01:45:00Z",118068384
"2022-05-22T01:46:00Z",119012019
"2022-05-22T01:47:00Z",118804110
"2022-05-22T01:48:00Z",37847895
"2022-05-22T01:49:00Z",66947238
"2022-05-22T01:50:00Z",118779621
"2022-05-22T01:51:00Z",120367569
"2022-05-22T01:52:00Z",119674735
"2022-05-22T01:53:00Z",120219844
"2022-05-22T01:54:00Z",50800741
"2022-05-22T01:55:00Z",2654
"2022-05-22T01:56:00Z",1736
"2022-05-22T01:57:00Z",1726
"2022-05-22T01:58:00Z",10891006
"2022-05-22T01:59:00Z",45795129
"2022-05-22T02:00:00Z",45526782
"2022-05-22T02:01:00Z",45996905
"2022-05-22T02:02:00Z",46034804
"2022-05-22T02:03:00Z",93748252
"2022-05-22T02:04:00Z",92741835
"2022-05-22T02:05:00Z",90673341
"2022-05-22T02:06:00Z",111290562
"2022-05-22T02:07:00Z",114086490
"2022-05-22T02:08:00Z",115044551
"2022-05-22T02:09:00Z",114211743
"2022-05-22T02:10:00Z",114135597
"2022-05-22T02:11:00Z",114980522
"2022-05-22T02:12:00Z",114268464
"2022-05-22T02:13:00Z",57525712
"2022-05-22T02:14:00Z",2776
"2022-05-22T02:15:00Z",1934
"2022-05-22T02:16:00Z",1780
"2022-05-22T02:17:00Z",21646067
"2022-05-22T02:18:00Z",26806285
"2022-05-22T02:19:00Z",27041521
"2022-05-22T02:20:00Z",42130915
"2022-05-22T02:21:00Z",51287547
"2022-05-22T02:22:00Z",51673079
"2022-05-22T02:23:00Z",63210884
"2022-05-22T02:24:00Z",78260068
"2022-05-22T02:25:00Z",77621980
"2022-05-22T02:26:00Z",74258474
"2022-05-22T02:27:00Z",77544266
"2022-05-22T02:28:00Z",77262105
"2022-05-22T02:29:00Z",77832788
"2022-05-22T02:30:00Z",77412995
"2022-05-22T02:31:00Z",79273459
"2022-05-22T02:32:00Z",2380
"2022-05-22T02:33:00Z",2236
"2022-05-22T02:34:00Z",1706
"2022-05-22T02:35:00Z",1706
"2022-05-22T02:36:00Z",19012162
"2022-05-22T02:37:00Z",26859413
"2022-05-22T02:38:00Z",26749759
"2022-05-22T02:39:00Z",50058440
"2022-05-22T02:40:00Z",70760039
"2022-05-22T02:41:00Z",71794440
"2022-05-22T02:42:00Z",86788193
"2022-05-22T02:43:00Z",117550423
"2022-05-22T02:44:00Z",116421604
"2022-05-22T02:45:00Z",116772222
"2022-05-22T02:46:00Z",114277182
"2022-05-22T02:47:00Z",116175012
"2022-05-22T02:48:00Z",117453958
"2022-05-22T02:49:00Z",120818542
"2022-05-22T02:50:00Z",120039104
"2022-05-22T02:51:00Z",3438742
"2022-05-22T02:52:00Z",2378
