"datetime","estimatedProcessedBytes"
"2022-05-23T02:10:00Z",44
"2022-05-23T02:11:00Z",1828
"2022-05-23T02:12:00Z",101658818
"2022-05-23T02:13:00Z",477745364
"2022-05-23T02:14:00Z",446140834
"2022-05-23T02:15:00Z",2470
"2022-05-23T02:16:00Z",735575281
"2022-05-23T02:17:00Z",686154339
"2022-05-23T02:18:00Z",7336078
"2022-05-23T02:19:00Z",694172190
"2022-05-23T02:20:00Z",727247150
"2022-05-23T02:21:00Z",153767836
"2022-05-23T02:22:00Z",495306486
"2022-05-23T02:23:00Z",737922306
"2022-05-23T02:24:00Z",350753141
"2022-05-23T02:25:00Z",4786
"2022-05-23T02:26:00Z",743946331
"2022-05-23T02:27:00Z",574780558
"2022-05-23T02:28:00Z",76804924
"2022-05-23T02:29:00Z",747595993
"2022-05-23T02:30:00Z",730238277
"2022-05-23T02:31:00Z",41320601
"2022-05-23T02:32:00Z",599575672
"2022-05-23T02:33:00Z",731072003
"2022-05-23T02:34:00Z",254307254
"2022-05-23T02:35:00Z",400517864
"2022-05-23T02:36:00Z",746743655
"2022-05-23T02:37:00Z",463253678
"2022-05-23T02:38:00Z",190334857
"2022-05-23T02:39:00Z",747822142
"2022-05-23T02:40:00Z",671871320
"2022-05-23T02:41:00Z",3426695
"2022-05-23T02:42:00Z",714112326
"2022-05-23T02:43:00Z",744502990
"2022-05-23T02:44:00Z",132834701
"2022-05-23T02:45:00Z",515978009
"2022-05-23T02:46:00Z",741037612
"2022-05-23T02:47:00Z",343952484
"2022-05-23T02:48:00Z",4832
"2022-05-23T02:49:00Z",283044801
"2022-05-23T02:50:00Z",695374404
"2022-05-23T02:51:00Z",694994504
"2022-05-23T02:52:00Z",703581019
"2022-05-23T02:53:00Z",687258558
"2022-05-23T02:54:00Z",630749864
"2022-05-23T02:55:00Z",62347314
"2022-05-23T02:56:00Z",749190855
"2022-05-23T02:57:00Z",745394431
"2022-05-23T02:58:00Z",734486199
"2022-05-23T02:59:00Z",726283940
"2022-05-23T03:00:00Z",678768568
"2022-05-23T03:01:00Z",3370
"2022-05-23T03:02:00Z",726438033
"2022-05-23T03:03:00Z",744678761
"2022-05-23T03:04:00Z",740124042
"2022-05-23T03:05:00Z",734854805
"2022-05-23T03:06:00Z",728085179
"2022-05-23T03:07:00Z",21422122
"2022-05-23T03:08:00Z",634388521
"2022-05-23T03:09:00Z",741443848
"2022-05-23T03:10:00Z",740798548
"2022-05-23T03:11:00Z",676533910
"2022-05-23T03:12:00Z",749788253
"2022-05-23T03:13:00Z",107016830
"2022-05-23T03:14:00Z",3344
"2022-05-23T03:15:00Z",3790
"2022-05-23T03:16:00Z",131201004
"2022-05-23T03:17:00Z",276348675
"2022-05-23T03:18:00Z",414726669
"2022-05-23T03:19:00Z",496571882
"2022-05-23T03:20:00Z",531854931
"2022-05-23T03:21:00Z",698542102
"2022-05-23T03:22:00Z",706494056
"2022-05-23T03:23:00Z",695864778
"2022-05-23T03:24:00Z",710215378
"2022-05-23T03:25:00Z",726019932
"2022-05-23T03:26:00Z",696193589
"2022-05-23T03:27:00Z",694427466
"2022-05-23T03:28:00Z",690078219
"2022-05-23T03:29:00Z",702043340
"2022-05-23T03:30:00Z",695246526
"2022-05-23T03:31:00Z",230544368
"2022-05-23T03:32:00Z",5038
"2022-05-23T03:33:00Z",3416
"2022-05-23T03:34:00Z",3432
"2022-05-23T03:35:00Z",29268772
"2022-05-23T03:36:00Z",264086735
"2022-05-23T03:37:00Z",263877105
"2022-05-23T03:38:00Z",415939780
"2022-05-23T03:39:00Z",491117085
"2022-05-23T03:40:00Z",573033648
"2022-05-23T03:41:00Z",687364015
"2022-05-23T03:42:00Z",682515816
"2022-05-23T03:43:00Z",695374747
"2022-05-23T03:44:00Z",699049048
"2022-05-23T03:45:00Z",697116204
"2022-05-23T03:46:00Z",704942485
"2022-05-23T03:47:00Z",678827547
"2022-05-23T03:48:00Z",681850067
"2022-05-23T03:49:00Z",680460598
"2022-05-23T03:50:00Z",479696617
"2022-05-23T03:51:00Z",2918
"2022-05-23T03:52:00Z",1706
"2022-05-23T03:53:00Z",1706
"2022-05-23T03:54:00Z",16549809
"2022-05-23T03:55:00Z",263481467
"2022-05-23T03:56:00Z",274197850
"2022-05-23T03:57:00Z",432326782
"2022-05-23T03:58:00Z",477451909
"2022-05-23T03:59:00Z",487540255
"2022-05-23T04:00:00Z",625204826
"2022-05-23T04:01:00Z",691056493
"2022-05-23T04:02:00Z",676871050
"2022-05-23T04:03:00Z",677444214
"2022-05-23T04:04:00Z",668284601
"2022-05-23T04:05:00Z",687812816
"2022-05-23T04:06:00Z",656755557
"2022-05-23T04:07:00Z",682309248
"2022-05-23T04:08:00Z",684269435
"2022-05-23T04:09:00Z",512897210
"2022-05-23T04:10:00Z",2378
"2022-05-23T04:11:00Z",2550
