"datetime","estimatedALBActiveConnectionCount"
"2022-05-23T04:39:00Z",3
"2022-05-23T04:40:00Z",3
"2022-05-23T04:41:00Z",66.5
"2022-05-23T04:42:00Z",67
"2022-05-23T04:43:00Z",7
"2022-05-23T04:44:00Z",7.5
"2022-05-23T04:45:00Z",37.75
"2022-05-23T04:46:00Z",22.5
"2022-05-23T04:47:00Z",22.5
"2022-05-23T04:48:00Z",38.25
"2022-05-23T04:49:00Z",22.75
"2022-05-23T04:50:00Z",22.75
"2022-05-23T04:51:00Z",38.25
"2022-05-23T04:52:00Z",23.25
"2022-05-23T04:53:00Z",22.25
"2022-05-23T04:54:00Z",39.25
"2022-05-23T04:55:00Z",39
"2022-05-23T04:56:00Z",8.75
"2022-05-23T04:57:00Z",19
"2022-05-23T04:58:00Z",28.5
"2022-05-23T04:59:00Z",7.166666666666667
"2022-05-23T05:00:00Z",28.833333333333332
"2022-05-23T05:01:00Z",29.166666666666668
"2022-05-23T05:02:00Z",18.166666666666668
"2022-05-23T05:03:00Z",18.166666666666668
"2022-05-23T05:04:00Z",29.666666666666668
"2022-05-23T05:05:00Z",29.5
"2022-05-23T05:06:00Z",7.333333333333333
"2022-05-23T05:07:00Z",42.25
"2022-05-23T05:08:00Z",42.75
"2022-05-23T05:09:00Z",9.25
"2022-05-23T05:10:00Z",41.5
"2022-05-23T05:11:00Z",41.5
"2022-05-23T05:12:00Z",7.5
"2022-05-23T05:13:00Z",25
"2022-05-23T05:14:00Z",42.5
"2022-05-23T05:15:00Z",25.25
"2022-05-23T05:16:00Z",7.75
"2022-05-23T05:17:00Z",7.75
"2022-05-23T05:18:00Z",42.25
"2022-05-23T05:19:00Z",42.25
"2022-05-23T05:20:00Z",54.666666666666664
"2022-05-23T05:21:00Z",81
"2022-05-23T05:22:00Z",78.5
"2022-05-23T05:23:00Z",8
"2022-05-23T05:24:00Z",77
"2022-05-23T05:25:00Z",77
"2022-05-23T05:26:00Z",77.5
"2022-05-23T05:27:00Z",77
"2022-05-23T05:28:00Z",76.5
"2022-05-23T05:29:00Z",7.5
"2022-05-23T05:30:00Z",77.5
"2022-05-23T05:31:00Z",77.5
"2022-05-23T05:32:00Z",77.5
"2022-05-23T05:33:00Z",76.5
"2022-05-23T05:34:00Z",76
"2022-05-23T05:35:00Z",7
"2022-05-23T05:36:00Z",77
"2022-05-23T05:37:00Z",77.5
"2022-05-23T05:38:00Z",77.5
"2022-05-23T05:39:00Z",76.5
"2022-05-23T05:40:00Z",77.5
"2022-05-23T05:41:00Z",7.5
"2022-05-23T05:42:00Z",6
"2022-05-23T05:43:00Z",3.5
"2022-05-23T05:44:00Z",3.5
"2022-05-23T05:45:00Z",38.5
"2022-05-23T05:46:00Z",73.5
"2022-05-23T05:47:00Z",57.5
"2022-05-23T05:48:00Z",94
"2022-05-23T05:49:00Z",77.5
"2022-05-23T05:50:00Z",77.5
"2022-05-23T05:51:00Z",76.5
"2022-05-23T05:52:00Z",77.5
"2022-05-23T05:53:00Z",77.5
"2022-05-23T05:54:00Z",77.5
"2022-05-23T05:55:00Z",78
"2022-05-23T05:56:00Z",78
"2022-05-23T05:57:00Z",77
"2022-05-23T05:58:00Z",78
"2022-05-23T05:59:00Z",78
"2022-05-23T06:00:00Z",7.5
"2022-05-23T06:01:00Z",3.5
"2022-05-23T06:02:00Z",3.5
"2022-05-23T06:03:00Z",3.5
"2022-05-23T06:04:00Z",73.5
"2022-05-23T06:05:00Z",73
"2022-05-23T06:06:00Z",107.5
"2022-05-23T06:07:00Z",77.5
"2022-05-23T06:08:00Z",78
"2022-05-23T06:09:00Z",76.5
"2022-05-23T06:10:00Z",77.5
"2022-05-23T06:11:00Z",77.5
"2022-05-23T06:12:00Z",77.5
"2022-05-23T06:13:00Z",77
"2022-05-23T06:14:00Z",77.5
"2022-05-23T06:15:00Z",77.5
"2022-05-23T06:16:00Z",77.5
"2022-05-23T06:17:00Z",42.5
"2022-05-23T06:18:00Z",42.5
"2022-05-23T06:19:00Z",5.5
"2022-05-23T06:20:00Z",3.5
"2022-05-23T06:21:00Z",3.5
"2022-05-23T06:22:00Z",73.5
"2022-05-23T06:23:00Z",73.5
"2022-05-23T06:24:00Z",93
"2022-05-23T06:25:00Z",94.5
"2022-05-23T06:26:00Z",77
"2022-05-23T06:27:00Z",77.5
"2022-05-23T06:28:00Z",77.5
"2022-05-23T06:29:00Z",77.5
"2022-05-23T06:30:00Z",77.5
"2022-05-23T06:31:00Z",78
"2022-05-23T06:32:00Z",43
"2022-05-23T06:33:00Z",78
"2022-05-23T06:34:00Z",77
"2022-05-23T06:35:00Z",78.5
"2022-05-23T06:36:00Z",43
"2022-05-23T06:37:00Z",8
"2022-05-23T06:38:00Z",7.5
