"datetime","estimatedALBConsumedLCUs"
"2022-05-23T04:39:00Z",0.00061
"2022-05-23T04:40:00Z",0.00022
"2022-05-23T04:41:00Z",0.10529
"2022-05-23T04:42:00Z",0.2054
"2022-05-23T04:43:00Z",0.02215
"2022-05-23T04:44:00Z",0.00049
"2022-05-23T04:45:00Z",0.29596
"2022-05-23T04:46:00Z",0.40983
"2022-05-23T04:47:00Z",0.41356
"2022-05-23T04:48:00Z",0.20623
"2022-05-23T04:49:00Z",0.3282
"2022-05-23T04:50:00Z",0.40533
"2022-05-23T04:51:00Z",0.15252
"2022-05-23T04:52:00Z",0.32029
"2022-05-23T04:53:00Z",0.41179
"2022-05-23T04:54:00Z",0.26445
"2022-05-23T04:55:00Z",0.32581
"2022-05-23T04:56:00Z",0.40509
"2022-05-23T04:57:00Z",0.21972
"2022-05-23T04:58:00Z",0.23529
"2022-05-23T04:59:00Z",0.40089
"2022-05-23T05:00:00Z",0.28635
"2022-05-23T05:01:00Z",0.19031
"2022-05-23T05:02:00Z",0.34154
"2022-05-23T05:03:00Z",0.3267
"2022-05-23T05:04:00Z",0.38895
"2022-05-23T05:05:00Z",0.39384
"2022-05-23T05:06:00Z",0.33163
"2022-05-23T05:07:00Z",0.30252
"2022-05-23T05:08:00Z",0.39144
"2022-05-23T05:09:00Z",0.3235
"2022-05-23T05:10:00Z",0.23647
"2022-05-23T05:11:00Z",0.39683
"2022-05-23T05:12:00Z",0.33199
"2022-05-23T05:13:00Z",0.33435
"2022-05-23T05:14:00Z",0.39529
"2022-05-23T05:15:00Z",0.37152
"2022-05-23T05:16:00Z",0.32201
"2022-05-23T05:17:00Z",0.08732
"2022-05-23T05:18:00Z",0.35341
"2022-05-23T05:19:00Z",0.3698
"2022-05-23T05:20:00Z",0.38039
"2022-05-23T05:21:00Z",0.37856
"2022-05-23T05:22:00Z",0.37955
"2022-05-23T05:23:00Z",0.31389
"2022-05-23T05:24:00Z",0.24346
"2022-05-23T05:25:00Z",0.39803
"2022-05-23T05:26:00Z",0.39665
"2022-05-23T05:27:00Z",0.39424
"2022-05-23T05:28:00Z",0.39467
"2022-05-23T05:29:00Z",0.32581
"2022-05-23T05:30:00Z",0.23016
"2022-05-23T05:31:00Z",0.40055
"2022-05-23T05:32:00Z",0.39556
"2022-05-23T05:33:00Z",0.39567
"2022-05-23T05:34:00Z",0.39832
"2022-05-23T05:35:00Z",0.33179
"2022-05-23T05:36:00Z",0.2676
"2022-05-23T05:37:00Z",0.39703
"2022-05-23T05:38:00Z",0.40039
"2022-05-23T05:39:00Z",0.40125
"2022-05-23T05:40:00Z",0.40232
"2022-05-23T05:41:00Z",0.33119
"2022-05-23T05:42:00Z",0.30365
"2022-05-23T05:43:00Z",0.00048
"2022-05-23T05:44:00Z",0.0003
"2022-05-23T05:45:00Z",0.00807
"2022-05-23T05:46:00Z",0.14737
"2022-05-23T05:47:00Z",0.17214
"2022-05-23T05:48:00Z",0.25598
"2022-05-23T05:49:00Z",0.25864
"2022-05-23T05:50:00Z",0.32766
"2022-05-23T05:51:00Z",0.34476
"2022-05-23T05:52:00Z",0.34751
"2022-05-23T05:53:00Z",0.35812
"2022-05-23T05:54:00Z",0.3504
"2022-05-23T05:55:00Z",0.35045
"2022-05-23T05:56:00Z",0.34985
"2022-05-23T05:57:00Z",0.35247
"2022-05-23T05:58:00Z",0.3464
"2022-05-23T05:59:00Z",0.35013
"2022-05-23T06:00:00Z",0.33431
"2022-05-23T06:01:00Z",0.32392
"2022-05-23T06:02:00Z",0.00032
"2022-05-23T06:03:00Z",0.0003
"2022-05-23T06:04:00Z",0.13758
"2022-05-23T06:05:00Z",0.13674
"2022-05-23T06:06:00Z",0.2133
"2022-05-23T06:07:00Z",0.26216
"2022-05-23T06:08:00Z",0.28663
"2022-05-23T06:09:00Z",0.37192
"2022-05-23T06:10:00Z",0.37499
"2022-05-23T06:11:00Z",0.37819
"2022-05-23T06:12:00Z",0.37953
"2022-05-23T06:13:00Z",0.37963
"2022-05-23T06:14:00Z",0.37372
"2022-05-23T06:15:00Z",0.36846
"2022-05-23T06:16:00Z",0.38297
"2022-05-23T06:17:00Z",0.38547
"2022-05-23T06:18:00Z",0.33006
"2022-05-23T06:19:00Z",0.31796
"2022-05-23T06:20:00Z",0.01536
"2022-05-23T06:21:00Z",0.00037
"2022-05-23T06:22:00Z",0.12599
"2022-05-23T06:23:00Z",0.14029
"2022-05-23T06:24:00Z",0.15536
"2022-05-23T06:25:00Z",0.26105
"2022-05-23T06:26:00Z",0.26026
"2022-05-23T06:27:00Z",0.30063
"2022-05-23T06:28:00Z",0.38096
"2022-05-23T06:29:00Z",0.37929
"2022-05-23T06:30:00Z",0.38257
"2022-05-23T06:31:00Z",0.38079
"2022-05-23T06:32:00Z",0.37957
"2022-05-23T06:33:00Z",0.37586
"2022-05-23T06:34:00Z",0.38221
"2022-05-23T06:35:00Z",0.382
"2022-05-23T06:36:00Z",0.36472
"2022-05-23T06:37:00Z",0.31131
"2022-05-23T06:38:00Z",0.07099
