"datetime","groupInServiceCapacity"
"2022-05-23T23:06:00Z",1
"2022-05-23T23:07:00Z",1
"2022-05-23T23:08:00Z",1
"2022-05-23T23:09:00Z",1
"2022-05-23T23:10:00Z",1
"2022-05-23T23:11:00Z",3
"2022-05-23T23:12:00Z",3
"2022-05-23T23:13:00Z",3
"2022-05-23T23:14:00Z",3
"2022-05-23T23:15:00Z",3
"2022-05-23T23:16:00Z",3
"2022-05-23T23:17:00Z",3
"2022-05-23T23:18:00Z",3
"2022-05-23T23:19:00Z",3
"2022-05-23T23:20:00Z",3
"2022-05-23T23:21:00Z",3
"2022-05-23T23:22:00Z",3
"2022-05-23T23:23:00Z",3
"2022-05-23T23:24:00Z",3
"2022-05-23T23:25:00Z",3
"2022-05-23T23:26:00Z",3
"2022-05-23T23:27:00Z",3
"2022-05-23T23:28:00Z",3
"2022-05-23T23:29:00Z",3
"2022-05-23T23:30:00Z",3
"2022-05-23T23:31:00Z",3
"2022-05-23T23:32:00Z",3
"2022-05-23T23:33:00Z",3
"2022-05-23T23:34:00Z",3
"2022-05-23T23:35:00Z",3
"2022-05-23T23:36:00Z",3
"2022-05-23T23:37:00Z",3
"2022-05-23T23:38:00Z",3
"2022-05-23T23:39:00Z",3
"2022-05-23T23:40:00Z",3
"2022-05-23T23:41:00Z",3
"2022-05-23T23:42:00Z",3
"2022-05-23T23:43:00Z",3
"2022-05-23T23:44:00Z",3
"2022-05-23T23:45:00Z",3
"2022-05-23T23:46:00Z",3
"2022-05-23T23:47:00Z",3
"2022-05-23T23:48:00Z",3
"2022-05-23T23:49:00Z",3
"2022-05-23T23:50:00Z",3
"2022-05-23T23:51:00Z",3
"2022-05-23T23:52:00Z",3
"2022-05-23T23:53:00Z",3
"2022-05-23T23:54:00Z",3
"2022-05-23T23:55:00Z",3
"2022-05-23T23:56:00Z",3
"2022-05-23T23:57:00Z",3
"2022-05-23T23:58:00Z",3
"2022-05-23T23:59:00Z",3
"2022-05-24T00:00:00Z",3
"2022-05-24T00:01:00Z",3
"2022-05-24T00:02:00Z",3
"2022-05-24T00:03:00Z",3
"2022-05-24T00:04:00Z",3
"2022-05-24T00:05:00Z",3
"2022-05-24T00:06:00Z",3
"2022-05-24T00:07:00Z",3
"2022-05-24T00:08:00Z",3
"2022-05-24T00:09:00Z",3
"2022-05-24T00:10:00Z",3
"2022-05-24T00:11:00Z",3
"2022-05-24T00:12:00Z",3
"2022-05-24T00:13:00Z",1
"2022-05-24T00:15:00Z",1
"2022-05-24T00:16:00Z",1
"2022-05-24T00:17:00Z",1
"2022-05-24T00:18:00Z",2
"2022-05-24T00:19:00Z",2
"2022-05-24T00:20:00Z",2
"2022-05-24T00:21:00Z",3
"2022-05-24T00:22:00Z",3
"2022-05-24T00:23:00Z",3
"2022-05-24T00:24:00Z",3
"2022-05-24T00:25:00Z",3
"2022-05-24T00:26:00Z",3
"2022-05-24T00:27:00Z",3
"2022-05-24T00:28:00Z",3
"2022-05-24T00:29:00Z",3
"2022-05-24T00:30:00Z",3
"2022-05-24T00:31:00Z",3
"2022-05-24T00:32:00Z",1
"2022-05-24T00:33:00Z",1
"2022-05-24T00:34:00Z",1
"2022-05-24T00:35:00Z",1
"2022-05-24T00:36:00Z",1
"2022-05-24T00:37:00Z",2
"2022-05-24T00:38:00Z",2
"2022-05-24T00:39:00Z",3
"2022-05-24T00:40:00Z",3
"2022-05-24T00:41:00Z",3
"2022-05-24T00:42:00Z",3
"2022-05-24T00:43:00Z",3
"2022-05-24T00:44:00Z",3
"2022-05-24T00:45:00Z",3
"2022-05-24T00:46:00Z",3
"2022-05-24T00:47:00Z",3
"2022-05-24T00:48:00Z",3
"2022-05-24T00:49:00Z",3
"2022-05-24T00:50:00Z",3
"2022-05-24T00:51:00Z",2
"2022-05-24T00:52:00Z",1
"2022-05-24T00:53:00Z",1
"2022-05-24T00:54:00Z",1
"2022-05-24T00:55:00Z",1
"2022-05-24T00:56:00Z",2
"2022-05-24T00:57:00Z",2
"2022-05-24T00:58:00Z",2
"2022-05-24T00:59:00Z",2
"2022-05-24T01:00:00Z",3
"2022-05-24T01:01:00Z",3
"2022-05-24T01:02:00Z",3
"2022-05-24T01:03:00Z",3
"2022-05-24T01:04:00Z",3
"2022-05-24T01:05:00Z",3
"2022-05-24T01:06:00Z",3
"2022-05-24T01:07:00Z",3
"2022-05-24T01:08:00Z",3
"2022-05-24T01:09:00Z",3
"2022-05-24T01:10:00Z",3
"2022-05-24T01:11:00Z",3
