"datetime","estimatedALBConsumedLCUs"
"2022-05-26T08:45:00Z",0.0003
"2022-05-26T08:46:00Z",0.1398
"2022-05-26T08:47:00Z",0.1657
"2022-05-26T08:48:00Z",0.13482
"2022-05-26T08:49:00Z",0.06443
"2022-05-26T08:50:00Z",0.00084
"2022-05-26T08:51:00Z",0.57154
"2022-05-26T08:52:00Z",0.67308
"2022-05-26T08:53:00Z",0.21325
"2022-05-26T08:54:00Z",0.31622
"2022-05-26T08:55:00Z",0.37888
"2022-05-26T08:56:00Z",0.22445
"2022-05-26T08:57:00Z",0.21932
"2022-05-26T08:58:00Z",0.37617
"2022-05-26T08:59:00Z",0.18849
"2022-05-26T09:00:00Z",0.17912
"2022-05-26T09:01:00Z",0.37712
"2022-05-26T09:02:00Z",0.35739
"2022-05-26T09:03:00Z",0.17566
"2022-05-26T09:04:00Z",0.36888
"2022-05-26T09:05:00Z",0.38435
"2022-05-26T09:06:00Z",0.12443
"2022-05-26T09:07:00Z",0.26073
"2022-05-26T09:08:00Z",0.38157
"2022-05-26T09:09:00Z",0.214
"2022-05-26T09:10:00Z",0.18242
"2022-05-26T09:11:00Z",0.38414
"2022-05-26T09:12:00Z",0.31917
"2022-05-26T09:13:00Z",0.18299
"2022-05-26T09:14:00Z",0.38559
"2022-05-26T09:15:00Z",0.3819
"2022-05-26T09:16:00Z",0.15633
"2022-05-26T09:17:00Z",0.32777
"2022-05-26T09:18:00Z",0.38859
"2022-05-26T09:19:00Z",0.16011
"2022-05-26T09:20:00Z",0.22097
"2022-05-26T09:21:00Z",0.38479
"2022-05-26T09:22:00Z",0.2534
"2022-05-26T09:23:00Z",0.04977
"2022-05-26T09:24:00Z",0.17319
"2022-05-26T09:25:00Z",0.36362
"2022-05-26T09:26:00Z",0.36374
"2022-05-26T09:27:00Z",0.35606
"2022-05-26T09:28:00Z",0.36047
"2022-05-26T09:29:00Z",0.36973
"2022-05-26T09:30:00Z",0.17806
"2022-05-26T09:31:00Z",0.37415
"2022-05-26T09:32:00Z",0.38382
"2022-05-26T09:33:00Z",0.38636
"2022-05-26T09:34:00Z",0.38374
"2022-05-26T09:35:00Z",0.38213
"2022-05-26T09:36:00Z",0.16143
"2022-05-26T09:37:00Z",0.33904
"2022-05-26T09:38:00Z",0.38442
"2022-05-26T09:39:00Z",0.38854
"2022-05-26T09:40:00Z",0.38563
"2022-05-26T09:41:00Z",0.3875
"2022-05-26T09:42:00Z",0.14482
"2022-05-26T09:43:00Z",0.30408
"2022-05-26T09:44:00Z",0.38464
"2022-05-26T09:45:00Z",0.38744
"2022-05-26T09:46:00Z",0.38553
"2022-05-26T09:47:00Z",0.38326
"2022-05-26T09:48:00Z",0.1249
"2022-05-26T09:49:00Z",0.00086
"2022-05-26T09:50:00Z",0.0003
"2022-05-26T09:51:00Z",0.02772
"2022-05-26T09:52:00Z",0.06584
"2022-05-26T09:53:00Z",0.12722
"2022-05-26T09:54:00Z",0.18364
"2022-05-26T09:55:00Z",0.26062
"2022-05-26T09:56:00Z",0.31021
"2022-05-26T09:57:00Z",0.35923
"2022-05-26T09:58:00Z",0.36019
"2022-05-26T09:59:00Z",0.3597
"2022-05-26T10:00:00Z",0.36965
"2022-05-26T10:01:00Z",0.36598
"2022-05-26T10:02:00Z",0.35612
"2022-05-26T10:03:00Z",0.36057
"2022-05-26T10:04:00Z",0.36152
"2022-05-26T10:05:00Z",0.35451
"2022-05-26T10:06:00Z",0.3517
"2022-05-26T10:07:00Z",0.11006
"2022-05-26T10:08:00Z",0.0009
"2022-05-26T10:09:00Z",0.01584
"2022-05-26T10:10:00Z",0.13943
"2022-05-26T10:11:00Z",0.14439
"2022-05-26T10:12:00Z",0.23285
"2022-05-26T10:13:00Z",0.2527
"2022-05-26T10:14:00Z",0.31249
"2022-05-26T10:15:00Z",0.36046
"2022-05-26T10:16:00Z",0.34945
"2022-05-26T10:17:00Z",0.35379
"2022-05-26T10:18:00Z",0.35429
"2022-05-26T10:19:00Z",0.35057
"2022-05-26T10:20:00Z",0.35373
"2022-05-26T10:21:00Z",0.35298
"2022-05-26T10:22:00Z",0.34966
"2022-05-26T10:23:00Z",0.34966
"2022-05-26T10:24:00Z",0.35579
"2022-05-26T10:25:00Z",0.18983
"2022-05-26T10:26:00Z",0.0004
"2022-05-26T10:27:00Z",0.00518
"2022-05-26T10:28:00Z",0.13509
"2022-05-26T10:29:00Z",0.13653
"2022-05-26T10:30:00Z",0.20221
"2022-05-26T10:31:00Z",0.24492
"2022-05-26T10:32:00Z",0.27095
"2022-05-26T10:33:00Z",0.32461
"2022-05-26T10:34:00Z",0.35496
"2022-05-26T10:35:00Z",0.35294
"2022-05-26T10:36:00Z",0.35738
"2022-05-26T10:37:00Z",0.3572
"2022-05-26T10:38:00Z",0.36255
"2022-05-26T10:39:00Z",0.36141
"2022-05-26T10:40:00Z",0.35812
"2022-05-26T10:41:00Z",0.35732
"2022-05-26T10:42:00Z",0.35892
"2022-05-26T10:43:00Z",0.24797
"2022-05-26T10:44:00Z",0.00039
