"datetime","estimatedProcessedBytes"
"2022-05-26T21:06:00Z",44
"2022-05-26T21:07:00Z",2520
"2022-05-26T21:08:00Z",257402606
"2022-05-26T21:09:00Z",576868759
"2022-05-26T21:10:00Z",1434
"2022-05-26T21:11:00Z",2452
"2022-05-26T21:12:00Z",668374483
"2022-05-26T21:13:00Z",679380560
"2022-05-26T21:14:00Z",12640498
"2022-05-26T21:15:00Z",675617309
"2022-05-26T21:16:00Z",717705847
"2022-05-26T21:17:00Z",142230460
"2022-05-26T21:18:00Z",485622134
"2022-05-26T21:19:00Z",725141041
"2022-05-26T21:20:00Z",333389285
"2022-05-26T21:21:00Z",4756
"2022-05-26T21:22:00Z",631166339
"2022-05-26T21:23:00Z",437289617
"2022-05-26T21:24:00Z",147381958
"2022-05-26T21:25:00Z",720000255
"2022-05-26T21:26:00Z",690775303
"2022-05-26T21:27:00Z",102249
"2022-05-26T21:28:00Z",652759464
"2022-05-26T21:29:00Z",722512188
"2022-05-26T21:30:00Z",168473010
"2022-05-26T21:31:00Z",452257148
"2022-05-26T21:32:00Z",727098303
"2022-05-26T21:33:00Z",396968650
"2022-05-26T21:34:00Z",240560887
"2022-05-26T21:35:00Z",713961240
"2022-05-26T21:36:00Z",579061153
"2022-05-26T21:37:00Z",39286628
"2022-05-26T21:38:00Z",734949894
"2022-05-26T21:39:00Z",721276460
"2022-05-26T21:40:00Z",77632055
"2022-05-26T21:41:00Z",551657316
"2022-05-26T21:42:00Z",720776513
"2022-05-26T21:43:00Z",290227665
"2022-05-26T21:44:00Z",4608
"2022-05-26T21:45:00Z",314967118
"2022-05-26T21:46:00Z",678793298
"2022-05-26T21:47:00Z",681733306
"2022-05-26T21:48:00Z",671363154
"2022-05-26T21:49:00Z",677080984
"2022-05-26T21:50:00Z",580889953
"2022-05-26T21:51:00Z",86472352
"2022-05-26T21:52:00Z",721557317
"2022-05-26T21:53:00Z",721504994
"2022-05-26T21:54:00Z",726487226
"2022-05-26T21:55:00Z",724888824
"2022-05-26T21:56:00Z",631389588
"2022-05-26T21:57:00Z",15733150
"2022-05-26T21:58:00Z",709015786
"2022-05-26T21:59:00Z",728494868
"2022-05-26T22:00:00Z",692761589
"2022-05-26T22:01:00Z",723250065
"2022-05-26T22:02:00Z",710728081
"2022-05-26T22:03:00Z",12428828
"2022-05-26T22:04:00Z",639300846
"2022-05-26T22:05:00Z",714047070
"2022-05-26T22:06:00Z",722288655
"2022-05-26T22:07:00Z",714634648
"2022-05-26T22:08:00Z",726482312
"2022-05-26T22:09:00Z",83086108
"2022-05-26T22:10:00Z",3402
"2022-05-26T22:11:00Z",1780
"2022-05-26T22:12:00Z",1634
"2022-05-26T22:13:00Z",240860391
"2022-05-26T22:14:00Z",261020758
"2022-05-26T22:15:00Z",311927127
"2022-05-26T22:16:00Z",479118655
"2022-05-26T22:17:00Z",453327756
"2022-05-26T22:18:00Z",663142621
"2022-05-26T22:19:00Z",675675881
"2022-05-26T22:20:00Z",681441143
"2022-05-26T22:21:00Z",679684449
"2022-05-26T22:22:00Z",675431508
"2022-05-26T22:23:00Z",675994367
"2022-05-26T22:24:00Z",666384442
"2022-05-26T22:25:00Z",666766756
"2022-05-26T22:26:00Z",653955762
"2022-05-26T22:27:00Z",685389889
"2022-05-26T22:28:00Z",2564
"2022-05-26T22:29:00Z",1706
"2022-05-26T22:30:00Z",1726
"2022-05-26T22:31:00Z",4096234
"2022-05-26T22:32:00Z",273467474
"2022-05-26T22:33:00Z",264731455
"2022-05-26T22:34:00Z",435204531
"2022-05-26T22:35:00Z",495255405
"2022-05-26T22:36:00Z",587236585
"2022-05-26T22:37:00Z",695979510
"2022-05-26T22:38:00Z",681919579
"2022-05-26T22:39:00Z",687478963
"2022-05-26T22:40:00Z",689903258
"2022-05-26T22:41:00Z",683888766
"2022-05-26T22:42:00Z",680818448
"2022-05-26T22:43:00Z",686889621
"2022-05-26T22:44:00Z",694019360
"2022-05-26T22:45:00Z",683569574
"2022-05-26T22:46:00Z",577491999
"2022-05-26T22:47:00Z",3158
"2022-05-26T22:48:00Z",1780
"2022-05-26T22:49:00Z",1632
"2022-05-26T22:50:00Z",213936352
"2022-05-26T22:51:00Z",268050071
"2022-05-26T22:52:00Z",457832380
"2022-05-26T22:53:00Z",482934473
"2022-05-26T22:54:00Z",652257428
"2022-05-26T22:55:00Z",669160448
"2022-05-26T22:56:00Z",673099716
"2022-05-26T22:57:00Z",678834191
"2022-05-26T22:58:00Z",669330782
"2022-05-26T22:59:00Z",664849153
"2022-05-26T23:00:00Z",637806871
"2022-05-26T23:01:00Z",655700369
"2022-05-26T23:02:00Z",676337738
"2022-05-26T23:03:00Z",682543087
"2022-05-26T23:04:00Z",690237207
"2022-05-26T23:05:00Z",27742240
"2022-05-26T23:06:00Z",2452
