"datetime","estimatedALBConsumedLCUs"
"2022-05-26T23:56:00Z",0.00454
"2022-05-26T23:57:00Z",0.00689
"2022-05-26T23:58:00Z",0.00095
"2022-05-26T23:59:00Z",0.01004
"2022-05-27T00:00:00Z",0.00559
"2022-05-27T00:01:00Z",0.01082
"2022-05-27T00:02:00Z",0.02233
"2022-05-27T00:03:00Z",0.0019
"2022-05-27T00:04:00Z",0.01388
"2022-05-27T00:05:00Z",0.01452
"2022-05-27T00:06:00Z",0.00504
"2022-05-27T00:07:00Z",0.02067
"2022-05-27T00:08:00Z",0.00663
"2022-05-27T00:09:00Z",0.01356
"2022-05-27T00:10:00Z",0.01854
"2022-05-27T00:11:00Z",0.00041
"2022-05-27T00:12:00Z",0.00039
"2022-05-27T00:13:00Z",0.01964
"2022-05-27T00:14:00Z",0.0171
"2022-05-27T00:15:00Z",0.01925
"2022-05-27T00:16:00Z",0.02032
"2022-05-27T00:17:00Z",0.02136
"2022-05-27T00:18:00Z",0.00552
"2022-05-27T00:19:00Z",0.01498
"2022-05-27T00:20:00Z",0.02186
"2022-05-27T00:21:00Z",0.02242
"2022-05-27T00:22:00Z",0.02238
"2022-05-27T00:23:00Z",0.02225
"2022-05-27T00:24:00Z",0.00883
"2022-05-27T00:25:00Z",0.0103
"2022-05-27T00:26:00Z",0.02377
"2022-05-27T00:27:00Z",0.02411
"2022-05-27T00:28:00Z",0.02366
"2022-05-27T00:29:00Z",0.02406
"2022-05-27T00:30:00Z",0.01328
"2022-05-27T00:31:00Z",0.00943
"2022-05-27T00:32:00Z",0.02045
"2022-05-27T00:33:00Z",0.0202
"2022-05-27T00:34:00Z",0.01971
"2022-05-27T00:35:00Z",0.02028
"2022-05-27T00:36:00Z",0.01106
"2022-05-27T00:37:00Z",0.0005
"2022-05-27T00:38:00Z",0.00026
"2022-05-27T00:39:00Z",0.00027
"2022-05-27T00:40:00Z",0.00276
"2022-05-27T00:41:00Z",0.00697
"2022-05-27T00:42:00Z",0.00761
"2022-05-27T00:43:00Z",0.00782
"2022-05-27T00:44:00Z",0.00867
"2022-05-27T00:45:00Z",0.01158
"2022-05-27T00:46:00Z",0.0149
"2022-05-27T00:47:00Z",0.01672
"2022-05-27T00:48:00Z",0.01455
"2022-05-27T00:49:00Z",0.02078
"2022-05-27T00:50:00Z",0.02408
"2022-05-27T00:51:00Z",0.02148
"2022-05-27T00:52:00Z",0.01754
"2022-05-27T00:53:00Z",0.02059
"2022-05-27T00:54:00Z",0.01776
"2022-05-27T00:55:00Z",0.0026
"2022-05-27T00:56:00Z",0.00061
"2022-05-27T00:57:00Z",0.00043
"2022-05-27T00:58:00Z",0.00046
"2022-05-27T00:59:00Z",0.0071
"2022-05-27T01:00:00Z",0.00787
"2022-05-27T01:01:00Z",0.00803
"2022-05-27T01:02:00Z",0.00815
"2022-05-27T01:03:00Z",0.00863
"2022-05-27T01:04:00Z",0.01297
"2022-05-27T01:05:00Z",0.01533
"2022-05-27T01:06:00Z",0.01835
"2022-05-27T01:07:00Z",0.01764
"2022-05-27T01:08:00Z",0.02159
"2022-05-27T01:09:00Z",0.01994
"2022-05-27T01:10:00Z",0.02229
"2022-05-27T01:11:00Z",0.02247
"2022-05-27T01:12:00Z",0.02144
"2022-05-27T01:13:00Z",0.02193
"2022-05-27T01:14:00Z",0.02193
"2022-05-27T01:15:00Z",0.00047
"2022-05-27T01:16:00Z",0.00036
"2022-05-27T01:17:00Z",0.00032
"2022-05-27T01:18:00Z",0.006
"2022-05-27T01:19:00Z",0.00731
"2022-05-27T01:20:00Z",0.00709
"2022-05-27T01:21:00Z",0.00858
"2022-05-27T01:22:00Z",0.01145
"2022-05-27T01:23:00Z",0.01345
"2022-05-27T01:24:00Z",0.01541
"2022-05-27T01:25:00Z",0.01758
"2022-05-27T01:26:00Z",0.01757
"2022-05-27T01:27:00Z",0.01966
"2022-05-27T01:28:00Z",0.02115
"2022-05-27T01:29:00Z",0.02137
"2022-05-27T01:30:00Z",0.01198
"2022-05-27T01:31:00Z",0.02295
"2022-05-27T01:32:00Z",0.01967
"2022-05-27T01:33:00Z",0.01833
"2022-05-27T01:34:00Z",0.00147
