"datetime","estimatedALBActiveConnectionCount"
"2022-05-27T22:28:00Z",4
"2022-05-27T22:29:00Z",4
"2022-05-27T22:30:00Z",4
"2022-05-27T22:31:00Z",4
"2022-05-27T22:32:00Z",6
"2022-05-27T22:33:00Z",24
"2022-05-27T22:34:00Z",8.5
"2022-05-27T22:35:00Z",16.5
"2022-05-27T22:36:00Z",24.5
"2022-05-27T22:37:00Z",8.5
"2022-05-27T22:38:00Z",25.5
"2022-05-27T22:39:00Z",17
"2022-05-27T22:40:00Z",17.5
"2022-05-27T22:41:00Z",26.5
"2022-05-27T22:42:00Z",10
"2022-05-27T22:43:00Z",27.5
"2022-05-27T22:44:00Z",17.5
"2022-05-27T22:45:00Z",18.5
"2022-05-27T22:46:00Z",28.5
"2022-05-27T22:47:00Z",8.5
"2022-05-27T22:48:00Z",29.5
"2022-05-27T22:49:00Z",19.5
"2022-05-27T22:50:00Z",19.5
"2022-05-27T22:51:00Z",30.5
"2022-05-27T22:52:00Z",9
"2022-05-27T22:53:00Z",21
"2022-05-27T22:54:00Z",20
"2022-05-27T22:55:00Z",21
"2022-05-27T22:56:00Z",33.5
"2022-05-27T22:57:00Z",21.5
"2022-05-27T22:58:00Z",21.5
"2022-05-27T22:59:00Z",22
"2022-05-27T23:00:00Z",9
"2022-05-27T23:01:00Z",21
"2022-05-27T23:02:00Z",33.5
"2022-05-27T23:03:00Z",33.5
"2022-05-27T23:04:00Z",34.5
"2022-05-27T23:05:00Z",33.5
"2022-05-27T23:06:00Z",20.5
"2022-05-27T23:07:00Z",8.5
"2022-05-27T23:08:00Z",33.5
"2022-05-27T23:09:00Z",33.5
"2022-05-27T23:10:00Z",33.5
"2022-05-27T23:11:00Z",33.5
"2022-05-27T23:12:00Z",33.5
"2022-05-27T23:13:00Z",8.5
"2022-05-27T23:14:00Z",33.5
"2022-05-27T23:15:00Z",33.5
"2022-05-27T23:16:00Z",33.5
"2022-05-27T23:17:00Z",33.5
"2022-05-27T23:18:00Z",33.5
"2022-05-27T23:19:00Z",8.5
"2022-05-27T23:20:00Z",33.5
"2022-05-27T23:21:00Z",33.5
"2022-05-27T23:22:00Z",33.5
"2022-05-27T23:23:00Z",33.5
"2022-05-27T23:24:00Z",33.5
"2022-05-27T23:25:00Z",7.5
"2022-05-27T23:26:00Z",4.5
"2022-05-27T23:27:00Z",5
"2022-05-27T23:28:00Z",17
"2022-05-27T23:29:00Z",32
"2022-05-27T23:30:00Z",29
"2022-05-27T23:31:00Z",29.5
"2022-05-27T23:32:00Z",30.5
"2022-05-27T23:33:00Z",28.5
"2022-05-27T23:34:00Z",31.5
"2022-05-27T23:35:00Z",52
"2022-05-27T23:36:00Z",39
"2022-05-27T23:37:00Z",33
"2022-05-27T23:38:00Z",32
"2022-05-27T23:39:00Z",21
"2022-05-27T23:40:00Z",33.5
"2022-05-27T23:41:00Z",33.5
"2022-05-27T23:42:00Z",33.5
"2022-05-27T23:43:00Z",6.5
"2022-05-27T23:44:00Z",4.5
"2022-05-27T23:45:00Z",4
"2022-05-27T23:46:00Z",29
"2022-05-27T23:47:00Z",43.5
"2022-05-27T23:48:00Z",46
"2022-05-27T23:49:00Z",46
"2022-05-27T23:50:00Z",33
"2022-05-27T23:51:00Z",33
"2022-05-27T23:52:00Z",33.5
"2022-05-27T23:53:00Z",34
"2022-05-27T23:54:00Z",33.5
"2022-05-27T23:55:00Z",34
"2022-05-27T23:56:00Z",33.5
"2022-05-27T23:57:00Z",20.5
"2022-05-27T23:58:00Z",35
"2022-05-27T23:59:00Z",34
"2022-05-28T00:00:00Z",20.5
"2022-05-28T00:01:00Z",6
"2022-05-28T00:02:00Z",4.5
"2022-05-28T00:03:00Z",17.5
"2022-05-28T00:04:00Z",28.5
"2022-05-28T00:05:00Z",29
"2022-05-28T00:06:00Z",30
"2022-05-28T00:07:00Z",29
"2022-05-28T00:08:00Z",30.5
"2022-05-28T00:09:00Z",53
"2022-05-28T00:10:00Z",40.5
"2022-05-28T00:11:00Z",33
"2022-05-28T00:12:00Z",33
"2022-05-28T00:13:00Z",33
"2022-05-28T00:14:00Z",33
"2022-05-28T00:15:00Z",34.5
"2022-05-28T00:16:00Z",32.5
"2022-05-28T00:17:00Z",21.5
"2022-05-28T00:18:00Z",8.5
"2022-05-28T00:19:00Z",8.5
