"datetime","estimatedALBConsumedLCUs"
"2022-05-28T01:05:00Z",0.00014
"2022-05-28T01:06:00Z",0.00016
"2022-05-28T01:07:00Z",0.00019
"2022-05-28T01:08:00Z",0.00023
"2022-05-28T01:09:00Z",0.00139
"2022-05-28T01:10:00Z",0.0418
"2022-05-28T01:11:00Z",0.02926
"2022-05-28T01:12:00Z",0.00719
"2022-05-28T01:13:00Z",0.02524
"2022-05-28T01:14:00Z",0.00562
"2022-05-28T01:15:00Z",0.01921
"2022-05-28T01:16:00Z",0.01898
"2022-05-28T01:17:00Z",0.0099
"2022-05-28T01:18:00Z",0.0317
"2022-05-28T01:19:00Z",0.00676
"2022-05-28T01:20:00Z",0.02295
"2022-05-28T01:21:00Z",0.02048
"2022-05-28T01:22:00Z",0.01168
"2022-05-28T01:23:00Z",0.04524
"2022-05-28T01:24:00Z",0.01059
"2022-05-28T01:25:00Z",0.03314
"2022-05-28T01:26:00Z",0.03376
"2022-05-28T01:27:00Z",0.01047
"2022-05-28T01:28:00Z",0.04599
"2022-05-28T01:29:00Z",0.01194
"2022-05-28T01:30:00Z",0.03052
"2022-05-28T01:31:00Z",0.03612
"2022-05-28T01:32:00Z",0.00836
"2022-05-28T01:33:00Z",0.04749
"2022-05-28T01:34:00Z",0.01468
"2022-05-28T01:35:00Z",0.03064
"2022-05-28T01:36:00Z",0.03958
"2022-05-28T01:37:00Z",0.00024
"2022-05-28T01:38:00Z",0.00482
"2022-05-28T01:39:00Z",0.04552
"2022-05-28T01:40:00Z",0.04529
"2022-05-28T01:41:00Z",0.04521
"2022-05-28T01:42:00Z",0.04629
"2022-05-28T01:43:00Z",0.0446
"2022-05-28T01:44:00Z",0.00177
"2022-05-28T01:45:00Z",0.04643
"2022-05-28T01:46:00Z",0.0464
"2022-05-28T01:47:00Z",0.04615
"2022-05-28T01:48:00Z",0.04562
"2022-05-28T01:49:00Z",0.04371
"2022-05-28T01:50:00Z",0.00098
"2022-05-28T01:51:00Z",0.04472
"2022-05-28T01:52:00Z",0.0452
"2022-05-28T01:53:00Z",0.04507
"2022-05-28T01:54:00Z",0.0447
"2022-05-28T01:55:00Z",0.04323
"2022-05-28T01:56:00Z",0.00157
"2022-05-28T01:57:00Z",0.04462
"2022-05-28T01:58:00Z",0.04646
"2022-05-28T01:59:00Z",0.04552
"2022-05-28T02:00:00Z",0.04344
"2022-05-28T02:01:00Z",0.04539
"2022-05-28T02:02:00Z",0.00226
"2022-05-28T02:03:00Z",0.00136
"2022-05-28T02:04:00Z",0.00023
"2022-05-28T02:05:00Z",0.00466
"2022-05-28T02:06:00Z",0.00918
"2022-05-28T02:07:00Z",0.01297
"2022-05-28T02:08:00Z",0.0122
"2022-05-28T02:09:00Z",0.01192
"2022-05-28T02:10:00Z",0.01203
"2022-05-28T02:11:00Z",0.01203
"2022-05-28T02:12:00Z",0.01635
"2022-05-28T02:13:00Z",0.02457
"2022-05-28T02:14:00Z",0.02476
"2022-05-28T02:15:00Z",0.02399
"2022-05-28T02:16:00Z",0.02454
"2022-05-28T02:17:00Z",0.02442
"2022-05-28T02:18:00Z",0.02396
"2022-05-28T02:19:00Z",0.04707
"2022-05-28T02:20:00Z",0.00237
"2022-05-28T02:21:00Z",0.00176
"2022-05-28T02:22:00Z",0.00022
"2022-05-28T02:23:00Z",0.00709
"2022-05-28T02:24:00Z",0.008
"2022-05-28T02:25:00Z",0.00796
"2022-05-28T02:26:00Z",0.0087
"2022-05-28T02:27:00Z",0.00782
"2022-05-28T02:28:00Z",0.01027
"2022-05-28T02:29:00Z",0.02172
"2022-05-28T02:30:00Z",0.02154
"2022-05-28T02:31:00Z",0.02276
"2022-05-28T02:32:00Z",0.02394
"2022-05-28T02:33:00Z",0.0237
"2022-05-28T02:34:00Z",0.02222
"2022-05-28T02:35:00Z",0.04141
"2022-05-28T02:36:00Z",0.04729
"2022-05-28T02:37:00Z",0.01196
"2022-05-28T02:38:00Z",0.00027
"2022-05-28T02:39:00Z",0.00027
"2022-05-28T02:40:00Z",0.00598
"2022-05-28T02:41:00Z",0.00875
"2022-05-28T02:42:00Z",0.00875
"2022-05-28T02:43:00Z",0.0087
"2022-05-28T02:44:00Z",0.00884
"2022-05-28T02:45:00Z",0.01155
"2022-05-28T02:46:00Z",0.01706
"2022-05-28T02:47:00Z",0.02262
"2022-05-28T02:48:00Z",0.02241
"2022-05-28T02:49:00Z",0.02157
"2022-05-28T02:50:00Z",0.02191
"2022-05-28T02:51:00Z",0.03358
"2022-05-28T02:52:00Z",0.04427
"2022-05-28T02:53:00Z",0.04316
"2022-05-28T02:54:00Z",0.02282
"2022-05-28T02:55:00Z",0.00021
