"datetime","estimatedALBActiveConnectionCount"
"2022-05-29T02:22:00Z",3
"2022-05-29T02:23:00Z",3
"2022-05-29T02:24:00Z",3
"2022-05-29T02:25:00Z",22
"2022-05-29T02:26:00Z",22
"2022-05-29T02:27:00Z",7
"2022-05-29T02:28:00Z",23
"2022-05-29T02:29:00Z",7
"2022-05-29T02:30:00Z",24
"2022-05-29T02:31:00Z",24
"2022-05-29T02:32:00Z",7.5
"2022-05-29T02:33:00Z",25.5
"2022-05-29T02:34:00Z",7.5
"2022-05-29T02:35:00Z",26.5
"2022-05-29T02:36:00Z",26.5
"2022-05-29T02:37:00Z",7.5
"2022-05-29T02:38:00Z",27.5
"2022-05-29T02:39:00Z",27.5
"2022-05-29T02:40:00Z",7.5
"2022-05-29T02:41:00Z",28.5
"2022-05-29T02:42:00Z",7.5
"2022-05-29T02:43:00Z",30
"2022-05-29T02:44:00Z",30
"2022-05-29T02:45:00Z",8
"2022-05-29T02:46:00Z",31
"2022-05-29T02:47:00Z",8
"2022-05-29T02:48:00Z",20
"2022-05-29T02:49:00Z",32
"2022-05-29T02:50:00Z",8
"2022-05-29T02:51:00Z",33
"2022-05-29T02:52:00Z",33
"2022-05-29T02:53:00Z",8
"2022-05-29T02:54:00Z",8
"2022-05-29T02:55:00Z",32.5
"2022-05-29T02:56:00Z",32.5
"2022-05-29T02:57:00Z",32.5
"2022-05-29T02:58:00Z",32
"2022-05-29T02:59:00Z",32
"2022-05-29T03:00:00Z",7
"2022-05-29T03:01:00Z",32
"2022-05-29T03:02:00Z",32
"2022-05-29T03:03:00Z",32
"2022-05-29T03:04:00Z",32
"2022-05-29T03:05:00Z",32
"2022-05-29T03:06:00Z",7
"2022-05-29T03:07:00Z",32.5
"2022-05-29T03:08:00Z",32.5
"2022-05-29T03:09:00Z",32.5
"2022-05-29T03:10:00Z",32.5
"2022-05-29T03:11:00Z",32.5
"2022-05-29T03:12:00Z",7.5
"2022-05-29T03:13:00Z",32.5
"2022-05-29T03:14:00Z",32.5
"2022-05-29T03:15:00Z",32.5
"2022-05-29T03:16:00Z",33
"2022-05-29T03:17:00Z",33
"2022-05-29T03:18:00Z",8
"2022-05-29T03:19:00Z",6
"2022-05-29T03:20:00Z",4
"2022-05-29T03:21:00Z",4
"2022-05-29T03:22:00Z",29
"2022-05-29T03:23:00Z",29
"2022-05-29T03:24:00Z",46.5
"2022-05-29T03:25:00Z",32.5
"2022-05-29T03:26:00Z",19.5
"2022-05-29T03:27:00Z",20.5
"2022-05-29T03:28:00Z",32.5
"2022-05-29T03:29:00Z",32.5
"2022-05-29T03:30:00Z",32.5
"2022-05-29T03:31:00Z",33.5
"2022-05-29T03:32:00Z",32.5
"2022-05-29T03:33:00Z",32.5
"2022-05-29T03:34:00Z",32
"2022-05-29T03:35:00Z",32
"2022-05-29T03:36:00Z",32.5
"2022-05-29T03:37:00Z",7
"2022-05-29T03:38:00Z",5
"2022-05-29T03:39:00Z",3
"2022-05-29T03:40:00Z",3.5
"2022-05-29T03:41:00Z",28.5
"2022-05-29T03:42:00Z",28.5
"2022-05-29T03:43:00Z",35
"2022-05-29T03:44:00Z",33
"2022-05-29T03:45:00Z",21.5
"2022-05-29T03:46:00Z",20
"2022-05-29T03:47:00Z",33
"2022-05-29T03:48:00Z",33
"2022-05-29T03:49:00Z",33
"2022-05-29T03:50:00Z",33
"2022-05-29T03:51:00Z",33
"2022-05-29T03:52:00Z",33
"2022-05-29T03:53:00Z",33
"2022-05-29T03:54:00Z",33
"2022-05-29T03:55:00Z",33
"2022-05-29T03:56:00Z",8
"2022-05-29T03:57:00Z",5.5
"2022-05-29T03:58:00Z",3.5
"2022-05-29T03:59:00Z",3.5
"2022-05-29T04:00:00Z",28.5
"2022-05-29T04:01:00Z",28.5
"2022-05-29T04:02:00Z",40.5
"2022-05-29T04:03:00Z",7.5
"2022-05-29T04:04:00Z",32.5
"2022-05-29T04:05:00Z",32.5
"2022-05-29T04:06:00Z",32.5
"2022-05-29T04:07:00Z",32.5
"2022-05-29T04:08:00Z",32.5
"2022-05-29T04:09:00Z",32.5
"2022-05-29T04:10:00Z",32.5
"2022-05-29T04:11:00Z",32.5
"2022-05-29T04:12:00Z",32
"2022-05-29T04:13:00Z",32
"2022-05-29T04:14:00Z",32
"2022-05-29T04:15:00Z",7
"2022-05-29T04:16:00Z",7
"2022-05-29T04:17:00Z",7.5
