"datetime","estimatedALBConsumedLCUs"
"2022-05-29T04:42:00Z",0.00032
"2022-05-29T04:43:00Z",0.01322
"2022-05-29T04:44:00Z",0.01466
"2022-05-29T04:45:00Z",0.00731
"2022-05-29T04:46:00Z",0.033
"2022-05-29T04:47:00Z",0.01287
"2022-05-29T04:48:00Z",0.0261
"2022-05-29T04:49:00Z",0.05217
"2022-05-29T04:50:00Z",0.00083
"2022-05-29T04:51:00Z",0.04239
"2022-05-29T04:52:00Z",0.02907
"2022-05-29T04:53:00Z",0.01507
"2022-05-29T04:54:00Z",0.05164
"2022-05-29T04:55:00Z",0.012
"2022-05-29T04:56:00Z",0.03518
"2022-05-29T04:57:00Z",0.04422
"2022-05-29T04:58:00Z",0.00733
"2022-05-29T04:59:00Z",0.0491
"2022-05-29T05:00:00Z",0.02186
"2022-05-29T05:01:00Z",0.0244
"2022-05-29T05:02:00Z",0.05421
"2022-05-29T05:03:00Z",0.00254
"2022-05-29T05:04:00Z",0.04924
"2022-05-29T05:05:00Z",0.03838
"2022-05-29T05:06:00Z",0.01413
"2022-05-29T05:07:00Z",0.05533
"2022-05-29T05:08:00Z",0.01506
"2022-05-29T05:09:00Z",0.03466
"2022-05-29T05:10:00Z",0.04788
"2022-05-29T05:11:00Z",0.00036
"2022-05-29T05:12:00Z",0.00483
"2022-05-29T05:13:00Z",0.05028
"2022-05-29T05:14:00Z",0.0475
"2022-05-29T05:15:00Z",0.04864
"2022-05-29T05:16:00Z",0.05236
"2022-05-29T05:17:00Z",0.05064
"2022-05-29T05:18:00Z",0.01227
"2022-05-29T05:19:00Z",0.04078
"2022-05-29T05:20:00Z",0.05789
"2022-05-29T05:21:00Z",0.05777
"2022-05-29T05:22:00Z",0.05636
"2022-05-29T05:23:00Z",0.05681
"2022-05-29T05:24:00Z",0.01636
"2022-05-29T05:25:00Z",0.0323
"2022-05-29T05:26:00Z",0.05234
"2022-05-29T05:27:00Z",0.05302
"2022-05-29T05:28:00Z",0.0529
"2022-05-29T05:29:00Z",0.05217
"2022-05-29T05:30:00Z",0.02049
"2022-05-29T05:31:00Z",0.02751
"2022-05-29T05:32:00Z",0.05492
"2022-05-29T05:33:00Z",0.05503
"2022-05-29T05:34:00Z",0.05484
"2022-05-29T05:35:00Z",0.05479
"2022-05-29T05:36:00Z",0.0275
"2022-05-29T05:37:00Z",0.00047
"2022-05-29T05:38:00Z",0.00032
"2022-05-29T05:39:00Z",0.00069
"2022-05-29T05:40:00Z",0.01216
"2022-05-29T05:41:00Z",0.01768
"2022-05-29T05:42:00Z",0.01832
"2022-05-29T05:43:00Z",0.0268
"2022-05-29T05:44:00Z",0.03605
"2022-05-29T05:45:00Z",0.03614
"2022-05-29T05:46:00Z",0.04001
"2022-05-29T05:47:00Z",0.04919
"2022-05-29T05:48:00Z",0.05415
"2022-05-29T05:49:00Z",0.04833
"2022-05-29T05:50:00Z",0.05464
"2022-05-29T05:51:00Z",0.05283
"2022-05-29T05:52:00Z",0.05123
"2022-05-29T05:53:00Z",0.05456
"2022-05-29T05:54:00Z",0.05592
"2022-05-29T05:55:00Z",0.01136
"2022-05-29T05:56:00Z",0.00053
"2022-05-29T05:57:00Z",0.00031
"2022-05-29T05:58:00Z",0.0003
"2022-05-29T05:59:00Z",0.01071
"2022-05-29T06:00:00Z",0.01862
"2022-05-29T06:01:00Z",0.02541
"2022-05-29T06:02:00Z",0.03613
"2022-05-29T06:03:00Z",0.03689
"2022-05-29T06:04:00Z",0.03696
"2022-05-29T06:05:00Z",0.04553
"2022-05-29T06:06:00Z",0.05087
"2022-05-29T06:07:00Z",0.05431
"2022-05-29T06:08:00Z",0.05294
"2022-05-29T06:09:00Z",0.05266
"2022-05-29T06:10:00Z",0.05216
"2022-05-29T06:11:00Z",0.05287
"2022-05-29T06:12:00Z",0.05223
"2022-05-29T06:13:00Z",0.05268
"2022-05-29T06:14:00Z",0.01562
"2022-05-29T06:15:00Z",0.00039
"2022-05-29T06:16:00Z",0.00032
"2022-05-29T06:17:00Z",0.0004
"2022-05-29T06:18:00Z",0.00905
"2022-05-29T06:19:00Z",0.01904
"2022-05-29T06:20:00Z",0.02041
"2022-05-29T06:21:00Z",0.0282
"2022-05-29T06:22:00Z",0.03392
"2022-05-29T06:23:00Z",0.03478
"2022-05-29T06:24:00Z",0.03491
"2022-05-29T06:25:00Z",0.05295
"2022-05-29T06:26:00Z",0.05898
"2022-05-29T06:27:00Z",0.05409
"2022-05-29T06:28:00Z",0.05118
"2022-05-29T06:29:00Z",0.05254
"2022-05-29T06:30:00Z",0.0518
"2022-05-29T06:31:00Z",0.05407
"2022-05-29T06:32:00Z",0.05443
"2022-05-29T06:33:00Z",0.01764
"2022-05-29T06:34:00Z",0.0005
