"datetime","estimatedProcessedBytes"
"2022-05-29T04:42:00Z",1840
"2022-05-29T04:43:00Z",26302463
"2022-05-29T04:44:00Z",25101841
"2022-05-29T04:45:00Z",10562433
"2022-05-29T04:46:00Z",64516575
"2022-05-29T04:47:00Z",21088966
"2022-05-29T04:48:00Z",48221525
"2022-05-29T04:49:00Z",83718859
"2022-05-29T04:50:00Z",892764
"2022-05-29T04:51:00Z",79634272
"2022-05-29T04:52:00Z",47237902
"2022-05-29T04:53:00Z",28714379
"2022-05-29T04:54:00Z",88469245
"2022-05-29T04:55:00Z",15518382
"2022-05-29T04:56:00Z",66543615
"2022-05-29T04:57:00Z",72428529
"2022-05-29T04:58:00Z",10099738
"2022-05-29T04:59:00Z",88812455
"2022-05-29T05:00:00Z",34164281
"2022-05-29T05:01:00Z",47851180
"2022-05-29T05:02:00Z",92387616
"2022-05-29T05:03:00Z",2543559
"2022-05-29T05:04:00Z",87298581
"2022-05-29T05:05:00Z",58472822
"2022-05-29T05:06:00Z",26692236
"2022-05-29T05:07:00Z",93777540
"2022-05-29T05:08:00Z",20265588
"2022-05-29T05:09:00Z",66967035
"2022-05-29T05:10:00Z",78516666
"2022-05-29T05:11:00Z",2378
"2022-05-29T05:12:00Z",4834120
"2022-05-29T05:13:00Z",92184874
"2022-05-29T05:14:00Z",88757423
"2022-05-29T05:15:00Z",86831340
"2022-05-29T05:16:00Z",91742781
"2022-05-29T05:17:00Z",90765264
"2022-05-29T05:18:00Z",16314173
"2022-05-29T05:19:00Z",74139788
"2022-05-29T05:20:00Z",97096302
"2022-05-29T05:21:00Z",97429599
"2022-05-29T05:22:00Z",97906528
"2022-05-29T05:23:00Z",97400565
"2022-05-29T05:24:00Z",22651854
"2022-05-29T05:25:00Z",62096524
"2022-05-29T05:26:00Z",92397716
"2022-05-29T05:27:00Z",92471308
"2022-05-29T05:28:00Z",92852694
"2022-05-29T05:29:00Z",91696155
"2022-05-29T05:30:00Z",30753157
"2022-05-29T05:31:00Z",54731490
"2022-05-29T05:32:00Z",97223897
"2022-05-29T05:33:00Z",96458929
"2022-05-29T05:34:00Z",97249037
"2022-05-29T05:35:00Z",96757280
"2022-05-29T05:36:00Z",42640607
"2022-05-29T05:37:00Z",2654
"2022-05-29T05:38:00Z",1706
"2022-05-29T05:39:00Z",1706
"2022-05-29T05:40:00Z",22123137
"2022-05-29T05:41:00Z",35323271
"2022-05-29T05:42:00Z",34768746
"2022-05-29T05:43:00Z",49713308
"2022-05-29T05:44:00Z",67780441
"2022-05-29T05:45:00Z",67270955
"2022-05-29T05:46:00Z",73021616
"2022-05-29T05:47:00Z",87128600
"2022-05-29T05:48:00Z",91234178
"2022-05-29T05:49:00Z",84466571
"2022-05-29T05:50:00Z",91439973
"2022-05-29T05:51:00Z",92905574
"2022-05-29T05:52:00Z",84396765
"2022-05-29T05:53:00Z",92803460
"2022-05-29T05:54:00Z",92194824
"2022-05-29T05:55:00Z",13728276
"2022-05-29T05:56:00Z",2082
"2022-05-29T05:57:00Z",1780
"2022-05-29T05:58:00Z",1632
"2022-05-29T05:59:00Z",19048860
"2022-05-29T06:00:00Z",35591325
"2022-05-29T06:01:00Z",48724038
"2022-05-29T06:02:00Z",66962156
"2022-05-29T06:03:00Z",66916407
"2022-05-29T06:04:00Z",69920297
"2022-05-29T06:05:00Z",83406968
"2022-05-29T06:06:00Z",89191628
"2022-05-29T06:07:00Z",92851688
"2022-05-29T06:08:00Z",88151146
"2022-05-29T06:09:00Z",91377466
"2022-05-29T06:10:00Z",91938276
"2022-05-29T06:11:00Z",90706183
"2022-05-29T06:12:00Z",87474197
"2022-05-29T06:13:00Z",89764784
"2022-05-29T06:14:00Z",21333362
"2022-05-29T06:15:00Z",2372
"2022-05-29T06:16:00Z",1706
"2022-05-29T06:17:00Z",1706
"2022-05-29T06:18:00Z",16657901
"2022-05-29T06:19:00Z",35988183
"2022-05-29T06:20:00Z",36620727
"2022-05-29T06:21:00Z",43621601
"2022-05-29T06:22:00Z",66053819
"2022-05-29T06:23:00Z",63599363
"2022-05-29T06:24:00Z",63112867
"2022-05-29T06:25:00Z",91620067
"2022-05-29T06:26:00Z",94976062
"2022-05-29T06:27:00Z",92066703
"2022-05-29T06:28:00Z",92138814
"2022-05-29T06:29:00Z",92624521
"2022-05-29T06:30:00Z",90875690
"2022-05-29T06:31:00Z",92146214
"2022-05-29T06:32:00Z",93657880
"2022-05-29T06:33:00Z",25415834
"2022-05-29T06:34:00Z",2378
