"datetime","groupInServiceCapacity"
"2022-05-29T04:37:00Z",1
"2022-05-29T04:38:00Z",1
"2022-05-29T04:39:00Z",1
"2022-05-29T04:40:00Z",1
"2022-05-29T04:41:00Z",2
"2022-05-29T04:42:00Z",3
"2022-05-29T04:43:00Z",3
"2022-05-29T04:44:00Z",3
"2022-05-29T04:45:00Z",3
"2022-05-29T04:46:00Z",3
"2022-05-29T04:47:00Z",3
"2022-05-29T04:48:00Z",3
"2022-05-29T04:49:00Z",3
"2022-05-29T04:50:00Z",3
"2022-05-29T04:51:00Z",3
"2022-05-29T04:52:00Z",3
"2022-05-29T04:53:00Z",3
"2022-05-29T04:54:00Z",3
"2022-05-29T04:55:00Z",3
"2022-05-29T04:56:00Z",3
"2022-05-29T04:57:00Z",3
"2022-05-29T04:58:00Z",3
"2022-05-29T04:59:00Z",3
"2022-05-29T05:00:00Z",3
"2022-05-29T05:01:00Z",3
"2022-05-29T05:02:00Z",3
"2022-05-29T05:03:00Z",3
"2022-05-29T05:04:00Z",3
"2022-05-29T05:05:00Z",3
"2022-05-29T05:06:00Z",3
"2022-05-29T05:07:00Z",3
"2022-05-29T05:08:00Z",3
"2022-05-29T05:09:00Z",3
"2022-05-29T05:10:00Z",3
"2022-05-29T05:11:00Z",3
"2022-05-29T05:12:00Z",3
"2022-05-29T05:13:00Z",3
"2022-05-29T05:14:00Z",3
"2022-05-29T05:15:00Z",3
"2022-05-29T05:16:00Z",3
"2022-05-29T05:17:00Z",3
"2022-05-29T05:18:00Z",3
"2022-05-29T05:19:00Z",3
"2022-05-29T05:20:00Z",3
"2022-05-29T05:21:00Z",3
"2022-05-29T05:22:00Z",3
"2022-05-29T05:23:00Z",3
"2022-05-29T05:24:00Z",3
"2022-05-29T05:25:00Z",3
"2022-05-29T05:26:00Z",3
"2022-05-29T05:27:00Z",3
"2022-05-29T05:28:00Z",3
"2022-05-29T05:29:00Z",3
"2022-05-29T05:30:00Z",3
"2022-05-29T05:31:00Z",3
"2022-05-29T05:32:00Z",3
"2022-05-29T05:33:00Z",3
"2022-05-29T05:34:00Z",3
"2022-05-29T05:35:00Z",3
"2022-05-29T05:36:00Z",1
"2022-05-29T05:37:00Z",1
"2022-05-29T05:38:00Z",1
"2022-05-29T05:39:00Z",1
"2022-05-29T05:40:00Z",1
"2022-05-29T05:41:00Z",2
"2022-05-29T05:42:00Z",2
"2022-05-29T05:43:00Z",2
"2022-05-29T05:44:00Z",3
"2022-05-29T05:45:00Z",3
"2022-05-29T05:46:00Z",3
"2022-05-29T05:47:00Z",3
"2022-05-29T05:48:00Z",3
"2022-05-29T05:49:00Z",3
"2022-05-29T05:50:00Z",3
"2022-05-29T05:51:00Z",3
"2022-05-29T05:52:00Z",3
"2022-05-29T05:53:00Z",3
"2022-05-29T05:54:00Z",3
"2022-05-29T05:55:00Z",1
"2022-05-29T05:56:00Z",1
"2022-05-29T05:57:00Z",1
"2022-05-29T05:58:00Z",1
"2022-05-29T05:59:00Z",1
"2022-05-29T06:00:00Z",2
"2022-05-29T06:01:00Z",2
"2022-05-29T06:02:00Z",3
"2022-05-29T06:03:00Z",3
"2022-05-29T06:04:00Z",3
"2022-05-29T06:05:00Z",3
"2022-05-29T06:06:00Z",3
"2022-05-29T06:07:00Z",3
"2022-05-29T06:08:00Z",3
"2022-05-29T06:09:00Z",3
"2022-05-29T06:10:00Z",3
"2022-05-29T06:11:00Z",3
"2022-05-29T06:12:00Z",3
"2022-05-29T06:13:00Z",3
"2022-05-29T06:14:00Z",1
"2022-05-29T06:15:00Z",1
"2022-05-29T06:16:00Z",1
"2022-05-29T06:17:00Z",1
"2022-05-29T06:18:00Z",1
"2022-05-29T06:19:00Z",2
"2022-05-29T06:20:00Z",2
"2022-05-29T06:21:00Z",2
"2022-05-29T06:22:00Z",3
"2022-05-29T06:23:00Z",3
"2022-05-29T06:24:00Z",3
"2022-05-29T06:25:00Z",3
"2022-05-29T06:26:00Z",3
"2022-05-29T06:27:00Z",3
"2022-05-29T06:28:00Z",3
"2022-05-29T06:29:00Z",3
"2022-05-29T06:30:00Z",3
"2022-05-29T06:31:00Z",3
"2022-05-29T06:32:00Z",3
"2022-05-29T06:33:00Z",3
"2022-05-29T06:34:00Z",3
"2022-05-29T06:35:00Z",3
