"datetime","estimatedALBConsumedLCUs"
"2022-05-29T10:06:00Z",0.00521
"2022-05-29T10:07:00Z",0.00521
"2022-05-29T10:08:00Z",0.0161
"2022-05-29T10:09:00Z",0.03284
"2022-05-29T10:10:00Z",0.03269
"2022-05-29T10:11:00Z",0.02524
"2022-05-29T10:12:00Z",0.05454
"2022-05-29T10:13:00Z",0.02515
"2022-05-29T10:14:00Z",0.06973
"2022-05-29T10:15:00Z",0.06156
"2022-05-29T10:16:00Z",0.06627
"2022-05-29T10:17:00Z",0.08146
"2022-05-29T10:18:00Z",0.04766
"2022-05-29T10:19:00Z",0.0587
"2022-05-29T10:20:00Z",0.07773
"2022-05-29T10:21:00Z",0.03986
"2022-05-29T10:22:00Z",0.0667
"2022-05-29T10:23:00Z",0.05833
"2022-05-29T10:24:00Z",0.0685
"2022-05-29T10:25:00Z",0.07264
"2022-05-29T10:26:00Z",0.0296
"2022-05-29T10:27:00Z",0.08584
"2022-05-29T10:28:00Z",0.08201
"2022-05-29T10:29:00Z",0.05396
"2022-05-29T10:30:00Z",0.06583
"2022-05-29T10:31:00Z",0.04369
"2022-05-29T10:32:00Z",0.07961
"2022-05-29T10:33:00Z",0.06568
"2022-05-29T10:34:00Z",0.0448
"2022-05-29T10:35:00Z",0.08716
"2022-05-29T10:36:00Z",0.0414
"2022-05-29T10:37:00Z",0.06872
"2022-05-29T10:38:00Z",0.07608
"2022-05-29T10:39:00Z",0.07787
"2022-05-29T10:40:00Z",0.07589
"2022-05-29T10:41:00Z",0.07589
"2022-05-29T10:42:00Z",0.06731
"2022-05-29T10:43:00Z",0.02843
"2022-05-29T10:44:00Z",0.07176
"2022-05-29T10:45:00Z",0.08756
"2022-05-29T10:46:00Z",0.08655
"2022-05-29T10:47:00Z",0.08768
"2022-05-29T10:48:00Z",0.08651
"2022-05-29T10:49:00Z",0.03426
"2022-05-29T10:50:00Z",0.06516
"2022-05-29T10:51:00Z",0.08712
"2022-05-29T10:52:00Z",0.08598
"2022-05-29T10:53:00Z",0.08668
"2022-05-29T10:54:00Z",0.04613
"2022-05-29T10:55:00Z",0.03402
"2022-05-29T10:56:00Z",0.08317
"2022-05-29T10:57:00Z",0.08252
"2022-05-29T10:58:00Z",0.08298
"2022-05-29T10:59:00Z",0.08354
"2022-05-29T11:00:00Z",0.06033
"2022-05-29T11:01:00Z",0.0007
"2022-05-29T11:02:00Z",0.00036
"2022-05-29T11:03:00Z",0.00037
"2022-05-29T11:04:00Z",0.00112
"2022-05-29T11:05:00Z",0.01277
"2022-05-29T11:06:00Z",0.02474
"2022-05-29T11:07:00Z",0.03428
"2022-05-29T11:08:00Z",0.0478
"2022-05-29T11:09:00Z",0.06233
"2022-05-29T11:10:00Z",0.07586
"2022-05-29T11:11:00Z",0.08519
"2022-05-29T11:12:00Z",0.09294
"2022-05-29T11:13:00Z",0.08933
"2022-05-29T11:14:00Z",0.08133
"2022-05-29T11:15:00Z",0.08579
"2022-05-29T11:16:00Z",0.08328
"2022-05-29T11:17:00Z",0.07604
"2022-05-29T11:18:00Z",0.07361
"2022-05-29T11:19:00Z",0.07361
"2022-05-29T11:20:00Z",0.04465
"2022-05-29T11:21:00Z",0.00033
"2022-05-29T11:22:00Z",0.00062
"2022-05-29T11:23:00Z",0.00284
"2022-05-29T11:24:00Z",0.01603
"2022-05-29T11:25:00Z",0.02753
"2022-05-29T11:26:00Z",0.02801
"2022-05-29T11:27:00Z",0.04763
"2022-05-29T11:28:00Z",0.05265
"2022-05-29T11:29:00Z",0.06784
"2022-05-29T11:30:00Z",0.07451
"2022-05-29T11:31:00Z",0.07264
"2022-05-29T11:32:00Z",0.07821
"2022-05-29T11:33:00Z",0.08247
"2022-05-29T11:34:00Z",0.07151
"2022-05-29T11:35:00Z",0.07883
"2022-05-29T11:36:00Z",0.07582
"2022-05-29T11:37:00Z",0.07273
"2022-05-29T11:38:00Z",0.07442
"2022-05-29T11:39:00Z",0.01989
"2022-05-29T11:40:00Z",0.00059
"2022-05-29T11:41:00Z",0.0012
"2022-05-29T11:42:00Z",0.01962
"2022-05-29T11:43:00Z",0.02665
"2022-05-29T11:44:00Z",0.02663
"2022-05-29T11:45:00Z",0.05355
"2022-05-29T11:46:00Z",0.05029
"2022-05-29T11:47:00Z",0.07364
"2022-05-29T11:48:00Z",0.07042
"2022-05-29T11:49:00Z",0.08281
"2022-05-29T11:50:00Z",0.08038
"2022-05-29T11:51:00Z",0.08431
"2022-05-29T11:52:00Z",0.07714
"2022-05-29T11:53:00Z",0.08248
"2022-05-29T11:54:00Z",0.08569
"2022-05-29T11:55:00Z",0.07476
"2022-05-29T11:56:00Z",0.07527
"2022-05-29T11:57:00Z",0.03128
