"datetime","estimatedALBActiveConnectionCount"
"2022-05-29T21:36:00Z",3
"2022-05-29T21:37:00Z",5
"2022-05-29T21:38:00Z",22
"2022-05-29T21:39:00Z",7
"2022-05-29T21:40:00Z",23
"2022-05-29T21:41:00Z",23
"2022-05-29T21:42:00Z",7
"2022-05-29T21:43:00Z",24.5
"2022-05-29T21:44:00Z",15.5
"2022-05-29T21:45:00Z",16.5
"2022-05-29T21:46:00Z",25.5
"2022-05-29T21:47:00Z",7.5
"2022-05-29T21:48:00Z",26.5
"2022-05-29T21:49:00Z",26.5
"2022-05-29T21:50:00Z",7.5
"2022-05-29T21:51:00Z",27.5
"2022-05-29T21:52:00Z",7.5
"2022-05-29T21:53:00Z",28.5
"2022-05-29T21:54:00Z",28.5
"2022-05-29T21:55:00Z",7.5
"2022-05-29T21:56:00Z",29.5
"2022-05-29T21:57:00Z",18.5
"2022-05-29T21:58:00Z",19
"2022-05-29T21:59:00Z",31
"2022-05-29T22:00:00Z",8
"2022-05-29T22:01:00Z",31.5
"2022-05-29T22:02:00Z",31.5
"2022-05-29T22:03:00Z",7.5
"2022-05-29T22:04:00Z",32
"2022-05-29T22:05:00Z",7
"2022-05-29T22:06:00Z",7
"2022-05-29T22:07:00Z",19
"2022-05-29T22:08:00Z",32
"2022-05-29T22:09:00Z",32.5
"2022-05-29T22:10:00Z",20.5
"2022-05-29T22:11:00Z",32.5
"2022-05-29T22:12:00Z",32.5
"2022-05-29T22:13:00Z",7.5
"2022-05-29T22:14:00Z",32.5
"2022-05-29T22:15:00Z",32.5
"2022-05-29T22:16:00Z",32.5
"2022-05-29T22:17:00Z",32.5
"2022-05-29T22:18:00Z",32.5
"2022-05-29T22:19:00Z",7.5
"2022-05-29T22:20:00Z",32.5
"2022-05-29T22:21:00Z",32.5
"2022-05-29T22:22:00Z",32.5
"2022-05-29T22:23:00Z",32.5
"2022-05-29T22:24:00Z",32.5
"2022-05-29T22:25:00Z",8
"2022-05-29T22:26:00Z",33
"2022-05-29T22:27:00Z",33
"2022-05-29T22:28:00Z",33
"2022-05-29T22:29:00Z",33
"2022-05-29T22:30:00Z",32.5
"2022-05-29T22:31:00Z",7
"2022-05-29T22:32:00Z",5
"2022-05-29T22:33:00Z",3
"2022-05-29T22:34:00Z",3
"2022-05-29T22:35:00Z",28.5
"2022-05-29T22:36:00Z",28.5
"2022-05-29T22:37:00Z",28.5
"2022-05-29T22:38:00Z",20.5
"2022-05-29T22:39:00Z",32.5
"2022-05-29T22:40:00Z",33.5
"2022-05-29T22:41:00Z",19.5
"2022-05-29T22:42:00Z",32.5
"2022-05-29T22:43:00Z",32.5
"2022-05-29T22:44:00Z",32.5
"2022-05-29T22:45:00Z",33
"2022-05-29T22:46:00Z",32.5
"2022-05-29T22:47:00Z",32.5
"2022-05-29T22:48:00Z",32.5
"2022-05-29T22:49:00Z",32.5
"2022-05-29T22:50:00Z",6.5
"2022-05-29T22:51:00Z",4.5
"2022-05-29T22:52:00Z",3.5
"2022-05-29T22:53:00Z",15.5
"2022-05-29T22:54:00Z",29.5
"2022-05-29T22:55:00Z",27.5
"2022-05-29T22:56:00Z",22.5
"2022-05-29T22:57:00Z",33.5
"2022-05-29T22:58:00Z",33.5
"2022-05-29T22:59:00Z",33
"2022-05-29T23:00:00Z",33
"2022-05-29T23:01:00Z",32
"2022-05-29T23:02:00Z",32
"2022-05-29T23:03:00Z",32
"2022-05-29T23:04:00Z",32
"2022-05-29T23:05:00Z",32
"2022-05-29T23:06:00Z",32.5
"2022-05-29T23:07:00Z",32.5
"2022-05-29T23:08:00Z",7.5
"2022-05-29T23:09:00Z",5.5
"2022-05-29T23:10:00Z",3.5
"2022-05-29T23:11:00Z",3.5
"2022-05-29T23:12:00Z",28.5
"2022-05-29T23:13:00Z",28.5
"2022-05-29T23:14:00Z",33.5
"2022-05-29T23:15:00Z",32.5
"2022-05-29T23:16:00Z",32.5
"2022-05-29T23:17:00Z",32.5
"2022-05-29T23:18:00Z",32.5
"2022-05-29T23:19:00Z",20.5
"2022-05-29T23:20:00Z",32.5
"2022-05-29T23:21:00Z",32.5
"2022-05-29T23:22:00Z",32.5
"2022-05-29T23:23:00Z",19.5
"2022-05-29T23:24:00Z",32.5
"2022-05-29T23:25:00Z",32.5
"2022-05-29T23:26:00Z",33
"2022-05-29T23:27:00Z",8
"2022-05-29T23:28:00Z",8
