"datetime","estimatedProcessedBytes"
"2022-05-29T21:36:00Z",2694
"2022-05-29T21:37:00Z",2064
"2022-05-29T21:38:00Z",33225928
"2022-05-29T21:39:00Z",30554041
"2022-05-29T21:40:00Z",12115058
"2022-05-29T21:41:00Z",85239610
"2022-05-29T21:42:00Z",29137022
"2022-05-29T21:43:00Z",72144744
"2022-05-29T21:44:00Z",117597906
"2022-05-29T21:45:00Z",6130740
"2022-05-29T21:46:00Z",138736858
"2022-05-29T21:47:00Z",82121893
"2022-05-29T21:48:00Z",49394322
"2022-05-29T21:49:00Z",143286359
"2022-05-29T21:50:00Z",20935562
"2022-05-29T21:51:00Z",107475141
"2022-05-29T21:52:00Z",112698655
"2022-05-29T21:53:00Z",16761792
"2022-05-29T21:54:00Z",153102961
"2022-05-29T21:55:00Z",58149670
"2022-05-29T21:56:00Z",79795921
"2022-05-29T21:57:00Z",140808727
"2022-05-29T21:58:00Z",6859391
"2022-05-29T21:59:00Z",134716766
"2022-05-29T22:00:00Z",88107929
"2022-05-29T22:01:00Z",46649797
"2022-05-29T22:02:00Z",146157035
"2022-05-29T22:03:00Z",25175883
"2022-05-29T22:04:00Z",108314465
"2022-05-29T22:05:00Z",123628704
"2022-05-29T22:06:00Z",2312
"2022-05-29T22:07:00Z",10314619
"2022-05-29T22:08:00Z",140386224
"2022-05-29T22:09:00Z",139725941
"2022-05-29T22:10:00Z",144756459
"2022-05-29T22:11:00Z",147174602
"2022-05-29T22:12:00Z",144631632
"2022-05-29T22:13:00Z",25610966
"2022-05-29T22:14:00Z",114266432
"2022-05-29T22:15:00Z",146363726
"2022-05-29T22:16:00Z",146637328
"2022-05-29T22:17:00Z",146512896
"2022-05-29T22:18:00Z",146588325
"2022-05-29T22:19:00Z",32427429
"2022-05-29T22:20:00Z",99418331
"2022-05-29T22:21:00Z",149503114
"2022-05-29T22:22:00Z",150250700
"2022-05-29T22:23:00Z",150020782
"2022-05-29T22:24:00Z",150537274
"2022-05-29T22:25:00Z",48626133
"2022-05-29T22:26:00Z",84681398
"2022-05-29T22:27:00Z",154485556
"2022-05-29T22:28:00Z",154263202
"2022-05-29T22:29:00Z",153609008
"2022-05-29T22:30:00Z",153354820
"2022-05-29T22:31:00Z",66233438
"2022-05-29T22:32:00Z",2488
"2022-05-29T22:33:00Z",1634
"2022-05-29T22:34:00Z",1778
"2022-05-29T22:35:00Z",7425161
"2022-05-29T22:36:00Z",40671201
"2022-05-29T22:37:00Z",50877682
"2022-05-29T22:38:00Z",54385183
"2022-05-29T22:39:00Z",98987139
"2022-05-29T22:40:00Z",101039572
"2022-05-29T22:41:00Z",142423993
"2022-05-29T22:42:00Z",136954622
"2022-05-29T22:43:00Z",145397580
"2022-05-29T22:44:00Z",146058418
"2022-05-29T22:45:00Z",142746639
"2022-05-29T22:46:00Z",134902658
"2022-05-29T22:47:00Z",146261728
"2022-05-29T22:48:00Z",144212365
"2022-05-29T22:49:00Z",140512719
"2022-05-29T22:50:00Z",71661513
"2022-05-29T22:51:00Z",6280
"2022-05-29T22:52:00Z",2250
"2022-05-29T22:53:00Z",2296450
"2022-05-29T22:54:00Z",40244642
"2022-05-29T22:55:00Z",48665037
"2022-05-29T22:56:00Z",49237434
"2022-05-29T22:57:00Z",97259296
"2022-05-29T22:58:00Z",92924316
"2022-05-29T22:59:00Z",130213158
"2022-05-29T23:00:00Z",137645217
"2022-05-29T23:01:00Z",136449476
"2022-05-29T23:02:00Z",137219624
"2022-05-29T23:03:00Z",141391999
"2022-05-29T23:04:00Z",137630651
"2022-05-29T23:05:00Z",137529111
"2022-05-29T23:06:00Z",142410208
"2022-05-29T23:07:00Z",143380896
"2022-05-29T23:08:00Z",102259632
"2022-05-29T23:09:00Z",5902
"2022-05-29T23:10:00Z",1706
"2022-05-29T23:11:00Z",2006
"2022-05-29T23:12:00Z",11706142
"2022-05-29T23:13:00Z",35854978
"2022-05-29T23:14:00Z",70358204
"2022-05-29T23:15:00Z",99557000
"2022-05-29T23:16:00Z",98652910
"2022-05-29T23:17:00Z",103620840
"2022-05-29T23:18:00Z",132303741
"2022-05-29T23:19:00Z",134373216
"2022-05-29T23:20:00Z",125806761
"2022-05-29T23:21:00Z",132439906
"2022-05-29T23:22:00Z",140425810
"2022-05-29T23:23:00Z",132030211
"2022-05-29T23:24:00Z",143868652
"2022-05-29T23:25:00Z",144482013
"2022-05-29T23:26:00Z",147377155
"2022-05-29T23:27:00Z",38866714
"2022-05-29T23:28:00Z",2376
