"datetime","estimatedALBConsumedLCUs"
"2022-05-30T03:42:00Z",0.00081
"2022-05-30T03:43:00Z",0.00027
"2022-05-30T03:44:00Z",0.00133
"2022-05-30T03:45:00Z",0.00029
"2022-05-30T03:46:00Z",0.00168
"2022-05-30T03:47:00Z",0.04927
"2022-05-30T03:48:00Z",0.03474
"2022-05-30T03:49:00Z",0.0294
"2022-05-30T03:50:00Z",0.08209
"2022-05-30T03:51:00Z",0.03243
"2022-05-30T03:52:00Z",0.06975
"2022-05-30T03:53:00Z",0.05577
"2022-05-30T03:54:00Z",0.02601
"2022-05-30T03:55:00Z",0.0846
"2022-05-30T03:56:00Z",0.03464
"2022-05-30T03:57:00Z",0.01579
"2022-05-30T03:58:00Z",0.0666
"2022-05-30T03:59:00Z",0.06096
"2022-05-30T04:00:00Z",0.02887
"2022-05-30T04:01:00Z",0.083
"2022-05-30T04:02:00Z",0.02011
"2022-05-30T04:03:00Z",0.06243
"2022-05-30T04:04:00Z",0.0649
"2022-05-30T04:05:00Z",0.02722
"2022-05-30T04:06:00Z",0.08521
"2022-05-30T04:07:00Z",0.02427
"2022-05-30T04:08:00Z",0.05882
"2022-05-30T04:09:00Z",0.06836
"2022-05-30T04:10:00Z",0.02279
"2022-05-30T04:11:00Z",0.08504
"2022-05-30T04:12:00Z",0.02887
"2022-05-30T04:13:00Z",0.05417
"2022-05-30T04:14:00Z",0.07379
"2022-05-30T04:15:00Z",0.00059
"2022-05-30T04:16:00Z",0.02025
"2022-05-30T04:17:00Z",0.07988
"2022-05-30T04:18:00Z",0.08349
"2022-05-30T04:19:00Z",0.08348
"2022-05-30T04:20:00Z",0.08341
"2022-05-30T04:21:00Z",0.08306
"2022-05-30T04:22:00Z",0.01766
"2022-05-30T04:23:00Z",0.08413
"2022-05-30T04:24:00Z",0.08457
"2022-05-30T04:25:00Z",0.08444
"2022-05-30T04:26:00Z",0.08521
"2022-05-30T04:27:00Z",0.08439
"2022-05-30T04:28:00Z",0.016
"2022-05-30T04:29:00Z",0.08242
"2022-05-30T04:30:00Z",0.08587
"2022-05-30T04:31:00Z",0.08509
"2022-05-30T04:32:00Z",0.08599
"2022-05-30T04:33:00Z",0.08552
"2022-05-30T04:34:00Z",0.01403
"2022-05-30T04:35:00Z",0.07992
"2022-05-30T04:36:00Z",0.08495
"2022-05-30T04:37:00Z",0.08548
"2022-05-30T04:38:00Z",0.08483
"2022-05-30T04:39:00Z",0.08426
"2022-05-30T04:40:00Z",0.00474
"2022-05-30T04:41:00Z",0.00143
"2022-05-30T04:42:00Z",0.00069
"2022-05-30T04:43:00Z",0.01588
"2022-05-30T04:44:00Z",0.02329
"2022-05-30T04:45:00Z",0.02299
"2022-05-30T04:46:00Z",0.02385
"2022-05-30T04:47:00Z",0.02377
"2022-05-30T04:48:00Z",0.02661
"2022-05-30T04:49:00Z",0.03894
"2022-05-30T04:50:00Z",0.04479
"2022-05-30T04:51:00Z",0.0445
"2022-05-30T04:52:00Z",0.04483
"2022-05-30T04:53:00Z",0.04486
"2022-05-30T04:54:00Z",0.04485
"2022-05-30T04:55:00Z",0.06755
"2022-05-30T04:56:00Z",0.0866
"2022-05-30T04:57:00Z",0.03943
"2022-05-30T04:58:00Z",0.00037
"2022-05-30T04:59:00Z",0.00071
"2022-05-30T05:00:00Z",0.01115
"2022-05-30T05:01:00Z",0.02196
"2022-05-30T05:02:00Z",0.02172
"2022-05-30T05:03:00Z",0.02123
"2022-05-30T05:04:00Z",0.02177
"2022-05-30T05:05:00Z",0.02402
"2022-05-30T05:06:00Z",0.03443
"2022-05-30T05:07:00Z",0.04291
"2022-05-30T05:08:00Z",0.04382
"2022-05-30T05:09:00Z",0.04404
"2022-05-30T05:10:00Z",0.04389
"2022-05-30T05:11:00Z",0.04397
"2022-05-30T05:12:00Z",0.04408
"2022-05-30T05:13:00Z",0.06693
"2022-05-30T05:14:00Z",0.06953
"2022-05-30T05:15:00Z",0.00765
"2022-05-30T05:16:00Z",0.00061
"2022-05-30T05:17:00Z",0.00286
"2022-05-30T05:18:00Z",0.01378
"2022-05-30T05:19:00Z",0.01529
"2022-05-30T05:20:00Z",0.02462
"2022-05-30T05:21:00Z",0.04399
"2022-05-30T05:22:00Z",0.04403
"2022-05-30T05:23:00Z",0.04414
"2022-05-30T05:24:00Z",0.0442
"2022-05-30T05:25:00Z",0.04809
"2022-05-30T05:26:00Z",0.08653
"2022-05-30T05:27:00Z",0.08697
"2022-05-30T05:28:00Z",0.08773
"2022-05-30T05:29:00Z",0.08727
"2022-05-30T05:30:00Z",0.08762
"2022-05-30T05:31:00Z",0.08333
"2022-05-30T05:32:00Z",0.00916
