"datetime","estimatedProcessedBytes"
"2022-05-30T06:15:00Z",1716
"2022-05-30T06:16:00Z",1782
"2022-05-30T06:17:00Z",3498
"2022-05-30T06:18:00Z",6986
"2022-05-30T06:19:00Z",11489
"2022-05-30T06:20:00Z",82154646
"2022-05-30T06:21:00Z",43424720
"2022-05-30T06:22:00Z",43892264
"2022-05-30T06:23:00Z",128109652
"2022-05-30T06:24:00Z",19700850
"2022-05-30T06:25:00Z",104196703
"2022-05-30T06:26:00Z",87447321
"2022-05-30T06:27:00Z",39131116
"2022-05-30T06:28:00Z",128386773
"2022-05-30T06:29:00Z",25429426
"2022-05-30T06:30:00Z",94793490
"2022-05-30T06:31:00Z",91910636
"2022-05-30T06:32:00Z",32469230
"2022-05-30T06:33:00Z",127718067
"2022-05-30T06:34:00Z",31391399
"2022-05-30T06:35:00Z",92747667
"2022-05-30T06:36:00Z",98482156
"2022-05-30T06:37:00Z",27229389
"2022-05-30T06:38:00Z",127826836
"2022-05-30T06:39:00Z",37481956
"2022-05-30T06:40:00Z",86049312
"2022-05-30T06:41:00Z",103918348
"2022-05-30T06:42:00Z",24516681
"2022-05-30T06:43:00Z",127474584
"2022-05-30T06:44:00Z",45056970
"2022-05-30T06:45:00Z",78972983
"2022-05-30T06:46:00Z",109389504
"2022-05-30T06:47:00Z",3755628
"2022-05-30T06:48:00Z",14509431
"2022-05-30T06:49:00Z",118449930
"2022-05-30T06:50:00Z",124058681
"2022-05-30T06:51:00Z",127498437
"2022-05-30T06:52:00Z",126243385
"2022-05-30T06:53:00Z",116593064
"2022-05-30T06:54:00Z",18508799
"2022-05-30T06:55:00Z",117750123
"2022-05-30T06:56:00Z",126980978
"2022-05-30T06:57:00Z",127788396
"2022-05-30T06:58:00Z",128586013
"2022-05-30T06:59:00Z",117662054
"2022-05-30T07:00:00Z",16838445
"2022-05-30T07:01:00Z",115786026
"2022-05-30T07:02:00Z",127472220
"2022-05-30T07:03:00Z",127965105
"2022-05-30T07:04:00Z",126667544
"2022-05-30T07:05:00Z",117033727
"2022-05-30T07:06:00Z",15280270
"2022-05-30T07:07:00Z",114926543
"2022-05-30T07:08:00Z",127585942
"2022-05-30T07:09:00Z",127507041
"2022-05-30T07:10:00Z",127210540
"2022-05-30T07:11:00Z",122039084
"2022-05-30T07:12:00Z",11163540
"2022-05-30T07:13:00Z",8402
"2022-05-30T07:14:00Z",3432
"2022-05-30T07:15:00Z",7242519
"2022-05-30T07:16:00Z",26953861
"2022-05-30T07:17:00Z",26637391
"2022-05-30T07:18:00Z",26211750
"2022-05-30T07:19:00Z",27011764
"2022-05-30T07:20:00Z",24873751
"2022-05-30T07:21:00Z",34156744
"2022-05-30T07:22:00Z",52726082
"2022-05-30T07:23:00Z",52596646
"2022-05-30T07:24:00Z",52674931
"2022-05-30T07:25:00Z",51891193
"2022-05-30T07:26:00Z",52092538
"2022-05-30T07:27:00Z",52199417
"2022-05-30T07:28:00Z",95955622
"2022-05-30T07:29:00Z",88641934
"2022-05-30T07:30:00Z",1384579
"2022-05-30T07:31:00Z",3644
"2022-05-30T07:32:00Z",4160836
"2022-05-30T07:33:00Z",40486144
"2022-05-30T07:34:00Z",43224585
"2022-05-30T07:35:00Z",43401917
"2022-05-30T07:36:00Z",43354792
"2022-05-30T07:37:00Z",39019511
"2022-05-30T07:38:00Z",46780104
"2022-05-30T07:39:00Z",86781455
"2022-05-30T07:40:00Z",86611096
"2022-05-30T07:41:00Z",87342433
"2022-05-30T07:42:00Z",86549291
"2022-05-30T07:43:00Z",87207665
"2022-05-30T07:44:00Z",119562839
"2022-05-30T07:45:00Z",129599445
"2022-05-30T07:46:00Z",128643008
"2022-05-30T07:47:00Z",23734516
"2022-05-30T07:48:00Z",3472
"2022-05-30T07:49:00Z",3582
"2022-05-30T07:50:00Z",35001064
"2022-05-30T07:51:00Z",43246420
"2022-05-30T07:52:00Z",44405504
"2022-05-30T07:53:00Z",43103344
"2022-05-30T07:54:00Z",43085677
"2022-05-30T07:55:00Z",40773790
"2022-05-30T07:56:00Z",78457186
"2022-05-30T07:57:00Z",87238952
"2022-05-30T07:58:00Z",87220374
"2022-05-30T07:59:00Z",87518961
"2022-05-30T08:00:00Z",86688811
"2022-05-30T08:01:00Z",87615006
"2022-05-30T08:02:00Z",108231738
"2022-05-30T08:03:00Z",112530415
"2022-05-30T08:04:00Z",35532794
"2022-05-30T08:05:00Z",5208
