"datetime","groupInServiceCapacity"
"2022-06-01T05:06:00Z",1
"2022-06-01T05:07:00Z",1
"2022-06-01T05:08:00Z",1
"2022-06-01T05:09:00Z",1
"2022-06-01T05:10:00Z",2
"2022-06-01T05:11:00Z",3
"2022-06-01T05:12:00Z",3
"2022-06-01T05:13:00Z",3
"2022-06-01T05:14:00Z",3
"2022-06-01T05:15:00Z",3
"2022-06-01T05:16:00Z",3
"2022-06-01T05:17:00Z",3
"2022-06-01T05:18:00Z",3
"2022-06-01T05:19:00Z",3
"2022-06-01T05:20:00Z",3
"2022-06-01T05:21:00Z",3
"2022-06-01T05:22:00Z",3
"2022-06-01T05:23:00Z",3
"2022-06-01T05:24:00Z",3
"2022-06-01T05:25:00Z",3
"2022-06-01T05:26:00Z",3
"2022-06-01T05:27:00Z",3
"2022-06-01T05:28:00Z",3
"2022-06-01T05:29:00Z",3
"2022-06-01T05:30:00Z",3
"2022-06-01T05:31:00Z",3
"2022-06-01T05:32:00Z",3
"2022-06-01T05:33:00Z",3
"2022-06-01T05:34:00Z",3
"2022-06-01T05:35:00Z",3
"2022-06-01T05:36:00Z",3
"2022-06-01T05:37:00Z",3
"2022-06-01T05:38:00Z",3
"2022-06-01T05:39:00Z",3
"2022-06-01T05:40:00Z",3
"2022-06-01T05:41:00Z",3
"2022-06-01T05:42:00Z",3
"2022-06-01T05:43:00Z",3
"2022-06-01T05:44:00Z",3
"2022-06-01T05:45:00Z",3
"2022-06-01T05:46:00Z",3
"2022-06-01T05:47:00Z",3
"2022-06-01T05:48:00Z",3
"2022-06-01T05:49:00Z",3
"2022-06-01T05:50:00Z",3
"2022-06-01T05:51:00Z",3
"2022-06-01T05:52:00Z",3
"2022-06-01T05:53:00Z",3
"2022-06-01T05:54:00Z",3
"2022-06-01T05:55:00Z",3
"2022-06-01T05:56:00Z",3
"2022-06-01T05:57:00Z",3
"2022-06-01T05:58:00Z",3
"2022-06-01T05:59:00Z",3
"2022-06-01T06:00:00Z",3
"2022-06-01T06:01:00Z",3
"2022-06-01T06:02:00Z",3
"2022-06-01T06:03:00Z",3
"2022-06-01T06:04:00Z",3
"2022-06-01T06:05:00Z",1
"2022-06-01T06:06:00Z",1
"2022-06-01T06:07:00Z",1
"2022-06-01T06:08:00Z",1
"2022-06-01T06:09:00Z",2
"2022-06-01T06:10:00Z",2
"2022-06-01T06:11:00Z",2
"2022-06-01T06:12:00Z",3
"2022-06-01T06:13:00Z",3
"2022-06-01T06:14:00Z",3
"2022-06-01T06:15:00Z",3
"2022-06-01T06:16:00Z",3
"2022-06-01T06:17:00Z",3
"2022-06-01T06:18:00Z",3
"2022-06-01T06:19:00Z",3
"2022-06-01T06:20:00Z",3
"2022-06-01T06:21:00Z",3
"2022-06-01T06:22:00Z",3
"2022-06-01T06:23:00Z",1
"2022-06-01T06:24:00Z",1
"2022-06-01T06:25:00Z",1
"2022-06-01T06:26:00Z",1
"2022-06-01T06:27:00Z",1
"2022-06-01T06:28:00Z",2
"2022-06-01T06:29:00Z",2
"2022-06-01T06:30:00Z",3
"2022-06-01T06:31:00Z",3
"2022-06-01T06:32:00Z",3
"2022-06-01T06:33:00Z",3
"2022-06-01T06:34:00Z",3
"2022-06-01T06:35:00Z",3
"2022-06-01T06:36:00Z",3
"2022-06-01T06:37:00Z",3
"2022-06-01T06:38:00Z",3
"2022-06-01T06:39:00Z",3
"2022-06-01T06:40:00Z",3
"2022-06-01T06:41:00Z",3
"2022-06-01T06:42:00Z",1
"2022-06-01T06:43:00Z",1
"2022-06-01T06:44:00Z",1
"2022-06-01T06:45:00Z",1
"2022-06-01T06:46:00Z",1
"2022-06-01T06:47:00Z",2
"2022-06-01T06:48:00Z",2
"2022-06-01T06:49:00Z",2
"2022-06-01T06:50:00Z",3
"2022-06-01T06:51:00Z",3
"2022-06-01T06:52:00Z",3
"2022-06-01T06:53:00Z",3
"2022-06-01T06:54:00Z",3
"2022-06-01T06:55:00Z",3
"2022-06-01T06:56:00Z",3
"2022-06-01T06:57:00Z",3
"2022-06-01T06:58:00Z",3
"2022-06-01T06:59:00Z",3
"2022-06-01T07:00:00Z",3
"2022-06-01T07:01:00Z",3
"2022-06-01T07:02:00Z",3
