"datetime","estimatedProcessedBytes"
"2022-06-02T23:05:00Z",1742
"2022-06-02T23:06:00Z",3484
"2022-06-02T23:07:00Z",3454
"2022-06-02T23:08:00Z",3472
"2022-06-02T23:09:00Z",10190
"2022-06-02T23:10:00Z",38593913
"2022-06-02T23:11:00Z",25412983
"2022-06-02T23:12:00Z",48961321
"2022-06-02T23:13:00Z",110176525
"2022-06-02T23:14:00Z",8565817
"2022-06-02T23:15:00Z",98422402
"2022-06-02T23:16:00Z",65195024
"2022-06-02T23:17:00Z",42264027
"2022-06-02T23:18:00Z",111985195
"2022-06-02T23:19:00Z",12666988
"2022-06-02T23:20:00Z",93702643
"2022-06-02T23:21:00Z",70846480
"2022-06-02T23:22:00Z",37883714
"2022-06-02T23:23:00Z",112717011
"2022-06-02T23:24:00Z",18400431
"2022-06-02T23:25:00Z",91320785
"2022-06-02T23:26:00Z",77834249
"2022-06-02T23:27:00Z",31795749
"2022-06-02T23:28:00Z",113593682
"2022-06-02T23:29:00Z",24740672
"2022-06-02T23:30:00Z",84335641
"2022-06-02T23:31:00Z",84570229
"2022-06-02T23:32:00Z",25893687
"2022-06-02T23:33:00Z",113314021
"2022-06-02T23:34:00Z",30585418
"2022-06-02T23:35:00Z",79817806
"2022-06-02T23:36:00Z",90403966
"2022-06-02T23:37:00Z",5034
"2022-06-02T23:38:00Z",13518184
"2022-06-02T23:39:00Z",109068412
"2022-06-02T23:40:00Z",109899730
"2022-06-02T23:41:00Z",110684627
"2022-06-02T23:42:00Z",110577241
"2022-06-02T23:43:00Z",102670011
"2022-06-02T23:44:00Z",7356758
"2022-06-02T23:45:00Z",111787395
"2022-06-02T23:46:00Z",112271624
"2022-06-02T23:47:00Z",112011646
"2022-06-02T23:48:00Z",111926679
"2022-06-02T23:49:00Z",104959537
"2022-06-02T23:50:00Z",6315023
"2022-06-02T23:51:00Z",110962726
"2022-06-02T23:52:00Z",112883880
"2022-06-02T23:53:00Z",110576575
"2022-06-02T23:54:00Z",110787422
"2022-06-02T23:55:00Z",105114444
"2022-06-02T23:56:00Z",6513604
"2022-06-02T23:57:00Z",108828598
"2022-06-02T23:58:00Z",112126578
"2022-06-02T23:59:00Z",112039918
"2022-06-03T00:00:00Z",110262128
"2022-06-03T00:01:00Z",106345357
"2022-06-03T00:02:00Z",3010366
"2022-06-03T00:03:00Z",3732
"2022-06-03T00:04:00Z",6730
"2022-06-03T00:05:00Z",18143553
"2022-06-03T00:06:00Z",43596483
"2022-06-03T00:07:00Z",43152012
"2022-06-03T00:08:00Z",43733526
"2022-06-03T00:09:00Z",42916773
"2022-06-03T00:10:00Z",39881590
"2022-06-03T00:11:00Z",61581865
"2022-06-03T00:12:00Z",87693813
"2022-06-03T00:13:00Z",87562174
"2022-06-03T00:14:00Z",87752711
"2022-06-03T00:15:00Z",88029901
"2022-06-03T00:16:00Z",102909354
"2022-06-03T00:17:00Z",131716443
"2022-06-03T00:18:00Z",131673213
"2022-06-03T00:19:00Z",96357511
"2022-06-03T00:20:00Z",3570
"2022-06-03T00:21:00Z",4056
"2022-06-03T00:22:00Z",7152541
"2022-06-03T00:23:00Z",43831908
"2022-06-03T00:24:00Z",43294570
"2022-06-03T00:25:00Z",43313687
"2022-06-03T00:26:00Z",43673166
"2022-06-03T00:27:00Z",43089023
"2022-06-03T00:28:00Z",47163982
"2022-06-03T00:29:00Z",43496900
"2022-06-03T00:30:00Z",84937449
"2022-06-03T00:31:00Z",86534275
"2022-06-03T00:32:00Z",86585380
"2022-06-03T00:33:00Z",87125163
"2022-06-03T00:34:00Z",90340235
"2022-06-03T00:35:00Z",130538747
"2022-06-03T00:36:00Z",124289627
"2022-06-03T00:37:00Z",3294736
"2022-06-03T00:38:00Z",3536
"2022-06-03T00:39:00Z",221092
"2022-06-03T00:40:00Z",40269765
"2022-06-03T00:41:00Z",43434558
"2022-06-03T00:42:00Z",43755616
"2022-06-03T00:43:00Z",43810480
"2022-06-03T00:44:00Z",43081010
"2022-06-03T00:45:00Z",44976893
"2022-06-03T00:46:00Z",45900861
"2022-06-03T00:47:00Z",76187661
"2022-06-03T00:48:00Z",86788855
"2022-06-03T00:49:00Z",87078418
"2022-06-03T00:50:00Z",86693374
"2022-06-03T00:51:00Z",86480274
"2022-06-03T00:52:00Z",124703847
"2022-06-03T00:53:00Z",131239193
"2022-06-03T00:54:00Z",27316808
"2022-06-03T00:55:00Z",5074
