"datetime","backendConnectionErrors"
"2022-06-03T01:20:00Z",201
"2022-06-03T01:21:00Z",2
"2022-06-03T01:39:00Z",201
"2022-06-03T01:40:00Z",3
"2022-06-03T01:45:00Z",1
"2022-06-03T01:48:00Z",100
"2022-06-03T01:58:00Z",1
"2022-06-03T02:05:00Z",1
"2022-06-03T02:07:00Z",2
"2022-06-03T02:12:00Z",1
"2022-06-03T02:13:00Z",1
"2022-06-03T02:14:00Z",206
"2022-06-03T02:15:00Z",100
"2022-06-03T02:17:00Z",1
"2022-06-03T02:21:00Z",201
"2022-06-03T02:22:00Z",1
"2022-06-03T02:27:00Z",101
"2022-06-03T02:28:00Z",1
"2022-06-03T02:33:00Z",101
"2022-06-03T02:38:00Z",102
"2022-06-03T02:44:00Z",102
"2022-06-03T02:56:00Z",102
"2022-06-03T03:02:00Z",102
