"datetime","estimatedALBActiveConnectionCount"
"2022-06-03T01:17:00Z",3
"2022-06-03T01:18:00Z",3.5
"2022-06-03T01:19:00Z",3.5
"2022-06-03T01:20:00Z",6
"2022-06-03T01:21:00Z",23.5
"2022-06-03T01:22:00Z",16.5
"2022-06-03T01:23:00Z",16.5
"2022-06-03T01:24:00Z",24.5
"2022-06-03T01:25:00Z",8.5
"2022-06-03T01:26:00Z",26
"2022-06-03T01:27:00Z",17.5
"2022-06-03T01:28:00Z",17.5
"2022-06-03T01:29:00Z",26.5
"2022-06-03T01:30:00Z",8.5
"2022-06-03T01:31:00Z",27.5
"2022-06-03T01:32:00Z",18.5
"2022-06-03T01:33:00Z",8.5
"2022-06-03T01:34:00Z",28.5
"2022-06-03T01:35:00Z",8.5
"2022-06-03T01:36:00Z",30
"2022-06-03T01:37:00Z",30
"2022-06-03T01:38:00Z",9
"2022-06-03T01:39:00Z",31
"2022-06-03T01:40:00Z",8.5
"2022-06-03T01:41:00Z",31.5
"2022-06-03T01:42:00Z",31.5
"2022-06-03T01:43:00Z",8.5
"2022-06-03T01:44:00Z",32.5
"2022-06-03T01:45:00Z",8.5
"2022-06-03T01:46:00Z",33.5
"2022-06-03T01:47:00Z",33.5
"2022-06-03T01:48:00Z",8.5
"2022-06-03T01:49:00Z",8.5
"2022-06-03T01:50:00Z",33.5
"2022-06-03T01:51:00Z",33.5
"2022-06-03T01:52:00Z",33.5
"2022-06-03T01:53:00Z",33
"2022-06-03T01:54:00Z",33
"2022-06-03T01:55:00Z",8
"2022-06-03T01:56:00Z",33
"2022-06-03T01:57:00Z",33
"2022-06-03T01:58:00Z",33.5
"2022-06-03T01:59:00Z",33.5
"2022-06-03T02:00:00Z",33.5
"2022-06-03T02:01:00Z",8.5
"2022-06-03T02:02:00Z",33.5
"2022-06-03T02:03:00Z",34
"2022-06-03T02:04:00Z",34
"2022-06-03T02:05:00Z",34
"2022-06-03T02:06:00Z",34
"2022-06-03T02:07:00Z",9
"2022-06-03T02:08:00Z",34
"2022-06-03T02:09:00Z",34
"2022-06-03T02:10:00Z",34
"2022-06-03T02:11:00Z",33.5
"2022-06-03T02:12:00Z",34
"2022-06-03T02:13:00Z",6
"2022-06-03T02:14:00Z",4
"2022-06-03T02:15:00Z",3.5
"2022-06-03T02:16:00Z",16.5
"2022-06-03T02:17:00Z",28
"2022-06-03T02:18:00Z",29.5
"2022-06-03T02:19:00Z",28.5
"2022-06-03T02:20:00Z",15.5
"2022-06-03T02:21:00Z",28.5
"2022-06-03T02:22:00Z",46.5
"2022-06-03T02:23:00Z",44.5
"2022-06-03T02:24:00Z",32.5
"2022-06-03T02:25:00Z",32.5
"2022-06-03T02:26:00Z",33.5
"2022-06-03T02:27:00Z",33
"2022-06-03T02:28:00Z",33
"2022-06-03T02:29:00Z",33
"2022-06-03T02:30:00Z",32.5
"2022-06-03T02:31:00Z",5.5
"2022-06-03T02:32:00Z",4
"2022-06-03T02:33:00Z",4.5
"2022-06-03T02:34:00Z",29
"2022-06-03T02:35:00Z",29.5
"2022-06-03T02:36:00Z",29.5
"2022-06-03T02:37:00Z",29.5
"2022-06-03T02:38:00Z",46.5
"2022-06-03T02:39:00Z",46.5
"2022-06-03T02:40:00Z",33.5
"2022-06-03T02:41:00Z",33
"2022-06-03T02:42:00Z",33
"2022-06-03T02:43:00Z",33
"2022-06-03T02:44:00Z",33
"2022-06-03T02:45:00Z",33
"2022-06-03T02:46:00Z",33
"2022-06-03T02:47:00Z",33
"2022-06-03T02:48:00Z",6.5
"2022-06-03T02:49:00Z",4
"2022-06-03T02:50:00Z",4
"2022-06-03T02:51:00Z",29
"2022-06-03T02:52:00Z",29
"2022-06-03T02:53:00Z",29
"2022-06-03T02:54:00Z",29
"2022-06-03T02:55:00Z",29
"2022-06-03T02:56:00Z",46.5
"2022-06-03T02:57:00Z",46
"2022-06-03T02:58:00Z",33
"2022-06-03T02:59:00Z",33.5
"2022-06-03T03:00:00Z",33.5
"2022-06-03T03:01:00Z",33.5
"2022-06-03T03:02:00Z",33.5
"2022-06-03T03:03:00Z",34
"2022-06-03T03:04:00Z",34
"2022-06-03T03:05:00Z",9
"2022-06-03T03:06:00Z",9
"2022-06-03T03:07:00Z",8
