"datetime","estimatedALBConsumedLCUs"
"2022-06-03T03:48:00Z",0.00027
"2022-06-03T03:49:00Z",0.00131
"2022-06-03T03:50:00Z",0.00027
"2022-06-03T03:51:00Z",0.00134
"2022-06-03T03:52:00Z",0.01799
"2022-06-03T03:53:00Z",0.08637
"2022-06-03T03:54:00Z",0.02375
"2022-06-03T03:55:00Z",0.05937
"2022-06-03T03:56:00Z",0.06743
"2022-06-03T03:57:00Z",0.02196
"2022-06-03T03:58:00Z",0.08507
"2022-06-03T03:59:00Z",0.04445
"2022-06-03T04:00:00Z",0.05516
"2022-06-03T04:01:00Z",0.07184
"2022-06-03T04:02:00Z",0.025
"2022-06-03T04:03:00Z",0.08507
"2022-06-03T04:04:00Z",0.04395
"2022-06-03T04:05:00Z",0.04924
"2022-06-03T04:06:00Z",0.07592
"2022-06-03T04:07:00Z",0.02758
"2022-06-03T04:08:00Z",0.08555
"2022-06-03T04:09:00Z",0.04426
"2022-06-03T04:10:00Z",0.0458
"2022-06-03T04:11:00Z",0.08155
"2022-06-03T04:12:00Z",0.03007
"2022-06-03T04:13:00Z",0.08654
"2022-06-03T04:14:00Z",0.04447
"2022-06-03T04:15:00Z",0.04165
"2022-06-03T04:16:00Z",0.08683
"2022-06-03T04:17:00Z",0.03271
"2022-06-03T04:18:00Z",0.08218
"2022-06-03T04:19:00Z",0.04733
"2022-06-03T04:20:00Z",0.01141
"2022-06-03T04:21:00Z",0.03182
"2022-06-03T04:22:00Z",0.08488
"2022-06-03T04:23:00Z",0.08532
"2022-06-03T04:24:00Z",0.08067
"2022-06-03T04:25:00Z",0.085
"2022-06-03T04:26:00Z",0.05802
"2022-06-03T04:27:00Z",0.02646
"2022-06-03T04:28:00Z",0.08608
"2022-06-03T04:29:00Z",0.08578
"2022-06-03T04:30:00Z",0.0855
"2022-06-03T04:31:00Z",0.08541
"2022-06-03T04:32:00Z",0.05895
"2022-06-03T04:33:00Z",0.0239
"2022-06-03T04:34:00Z",0.08536
"2022-06-03T04:35:00Z",0.08541
"2022-06-03T04:36:00Z",0.08548
"2022-06-03T04:37:00Z",0.08505
"2022-06-03T04:38:00Z",0.06094
"2022-06-03T04:39:00Z",0.02147
"2022-06-03T04:40:00Z",0.08519
"2022-06-03T04:41:00Z",0.08541
"2022-06-03T04:42:00Z",0.08342
"2022-06-03T04:43:00Z",0.08214
"2022-06-03T04:44:00Z",0.06323
"2022-06-03T04:45:00Z",0.02021
"2022-06-03T04:46:00Z",0.00138
"2022-06-03T04:47:00Z",0.00037
"2022-06-03T04:48:00Z",0.01402
"2022-06-03T04:49:00Z",0.0245
"2022-06-03T04:50:00Z",0.02454
"2022-06-03T04:51:00Z",0.02449
"2022-06-03T04:52:00Z",0.02227
"2022-06-03T04:53:00Z",0.02887
"2022-06-03T04:54:00Z",0.039
"2022-06-03T04:55:00Z",0.04355
"2022-06-03T04:56:00Z",0.04367
"2022-06-03T04:57:00Z",0.04351
"2022-06-03T04:58:00Z",0.04346
"2022-06-03T04:59:00Z",0.04362
"2022-06-03T05:00:00Z",0.04291
"2022-06-03T05:01:00Z",0.07471
"2022-06-03T05:02:00Z",0.08593
"2022-06-03T05:03:00Z",0.02232
"2022-06-03T05:04:00Z",0.00064
"2022-06-03T05:05:00Z",0.00665
"2022-06-03T05:06:00Z",0.0202
"2022-06-03T05:07:00Z",0.02213
"2022-06-03T05:08:00Z",0.02305
"2022-06-03T05:09:00Z",0.02224
"2022-06-03T05:10:00Z",0.02111
"2022-06-03T05:11:00Z",0.02919
"2022-06-03T05:12:00Z",0.03645
"2022-06-03T05:13:00Z",0.04403
"2022-06-03T05:14:00Z",0.04429
"2022-06-03T05:15:00Z",0.04427
"2022-06-03T05:16:00Z",0.04441
"2022-06-03T05:17:00Z",0.04442
"2022-06-03T05:18:00Z",0.04429
"2022-06-03T05:19:00Z",0.06168
"2022-06-03T05:20:00Z",0.08182
"2022-06-03T05:21:00Z",0.04252
"2022-06-03T05:22:00Z",0.00241
"2022-06-03T05:23:00Z",0.01894
"2022-06-03T05:24:00Z",0.01971
"2022-06-03T05:25:00Z",0.02216
"2022-06-03T05:26:00Z",0.02096
"2022-06-03T05:27:00Z",0.02045
"2022-06-03T05:28:00Z",0.02038
"2022-06-03T05:29:00Z",0.04417
"2022-06-03T05:30:00Z",0.04369
"2022-06-03T05:31:00Z",0.04406
"2022-06-03T05:32:00Z",0.04383
"2022-06-03T05:33:00Z",0.04444
"2022-06-03T05:34:00Z",0.04423
"2022-06-03T05:35:00Z",0.04402
"2022-06-03T05:36:00Z",0.05201
"2022-06-03T05:37:00Z",0.08496
"2022-06-03T05:38:00Z",0.06399
