"datetime","backendConnectionErrors"
"2022-06-03T10:34:00Z",100
"2022-06-03T10:37:00Z",200
"2022-06-03T10:38:00Z",103
"2022-06-03T10:49:00Z",101
"2022-06-03T10:58:00Z",1
"2022-06-03T11:16:00Z",1
"2022-06-03T11:27:00Z",1
"2022-06-03T11:28:00Z",1
"2022-06-03T11:31:00Z",101
"2022-06-03T11:32:00Z",103
"2022-06-03T11:40:00Z",101
"2022-06-03T11:45:00Z",100
"2022-06-03T11:48:00Z",103
"2022-06-03T11:49:00Z",111
"2022-06-03T11:50:00Z",112
"2022-06-03T11:51:00Z",12
"2022-06-03T11:52:00Z",12
"2022-06-03T11:53:00Z",12
"2022-06-03T11:54:00Z",12
"2022-06-03T11:55:00Z",99
"2022-06-03T11:56:00Z",210
"2022-06-03T11:57:00Z",12
"2022-06-03T11:58:00Z",8
"2022-06-03T12:03:00Z",101
"2022-06-03T12:07:00Z",100
"2022-06-03T12:10:00Z",100
"2022-06-03T12:13:00Z",1
"2022-06-03T12:14:00Z",102
"2022-06-03T12:20:00Z",101
