"datetime","estimatedProcessedBytes"
"2022-06-03T21:08:00Z",2856
"2022-06-03T21:09:00Z",2648
"2022-06-03T21:10:00Z",6216
"2022-06-03T21:11:00Z",2778
"2022-06-03T21:12:00Z",6180
"2022-06-03T21:13:00Z",14122251
"2022-06-03T21:14:00Z",53863564
"2022-06-03T21:15:00Z",28810892
"2022-06-03T21:16:00Z",31351045
"2022-06-03T21:17:00Z",16071401
"2022-06-03T21:18:00Z",28052718
"2022-06-03T21:19:00Z",23308070
"2022-06-03T21:20:00Z",20227136
"2022-06-03T21:21:00Z",43384224
"2022-06-03T21:22:00Z",28980717
"2022-06-03T21:23:00Z",31873287
"2022-06-03T21:24:00Z",59809908
"2022-06-03T21:25:00Z",29543994
"2022-06-03T21:26:00Z",52496834
"2022-06-03T21:27:00Z",41261233
"2022-06-03T21:28:00Z",28118852
"2022-06-03T21:29:00Z",58463181
"2022-06-03T21:30:00Z",29407910
"2022-06-03T21:31:00Z",50867774
"2022-06-03T21:32:00Z",46335564
"2022-06-03T21:33:00Z",22717584
"2022-06-03T21:34:00Z",59874094
"2022-06-03T21:35:00Z",30544159
"2022-06-03T21:36:00Z",45344813
"2022-06-03T21:37:00Z",46881929
"2022-06-03T21:38:00Z",17974456
"2022-06-03T21:39:00Z",54776892
"2022-06-03T21:40:00Z",23679764
"2022-06-03T21:41:00Z",6691932
"2022-06-03T21:42:00Z",38065106
"2022-06-03T21:43:00Z",64071531
"2022-06-03T21:44:00Z",65216216
"2022-06-03T21:45:00Z",65190798
"2022-06-03T21:46:00Z",59734102
"2022-06-03T21:47:00Z",36343454
"2022-06-03T21:48:00Z",37557144
"2022-06-03T21:49:00Z",67283615
"2022-06-03T21:50:00Z",70499297
"2022-06-03T21:51:00Z",68072550
"2022-06-03T21:52:00Z",61174699
"2022-06-03T21:53:00Z",38318027
"2022-06-03T21:54:00Z",35154473
"2022-06-03T21:55:00Z",67903196
"2022-06-03T21:56:00Z",65763663
"2022-06-03T21:57:00Z",69407234
"2022-06-03T21:58:00Z",65080880
"2022-06-03T21:59:00Z",37417402
"2022-06-03T22:00:00Z",31035091
"2022-06-03T22:01:00Z",66990133
"2022-06-03T22:02:00Z",69705953
"2022-06-03T22:03:00Z",67641135
"2022-06-03T22:04:00Z",65705384
"2022-06-03T22:05:00Z",36725378
"2022-06-03T22:06:00Z",5283
"2022-06-03T22:07:00Z",2907
"2022-06-03T22:08:00Z",6517583
"2022-06-03T22:09:00Z",15987667
"2022-06-03T22:10:00Z",20565318
"2022-06-03T22:11:00Z",21121396
"2022-06-03T22:12:00Z",19385252
"2022-06-03T22:13:00Z",20907915
"2022-06-03T22:14:00Z",22979088
"2022-06-03T22:15:00Z",26927406
"2022-06-03T22:16:00Z",36979962
"2022-06-03T22:17:00Z",43944326
"2022-06-03T22:18:00Z",42164376
"2022-06-03T22:19:00Z",43581957
"2022-06-03T22:20:00Z",43208165
"2022-06-03T22:21:00Z",43124496
"2022-06-03T22:22:00Z",45980370
"2022-06-03T22:23:00Z",25003399
"2022-06-03T22:24:00Z",6748
"2022-06-03T22:25:00Z",2996021
"2022-06-03T22:26:00Z",11236544
"2022-06-03T22:27:00Z",17380709
"2022-06-03T22:28:00Z",35304110
"2022-06-03T22:29:00Z",41542583
"2022-06-03T22:30:00Z",42111082
"2022-06-03T22:31:00Z",40811411
"2022-06-03T22:32:00Z",40805518
"2022-06-03T22:33:00Z",45689498
"2022-06-03T22:34:00Z",67180358
"2022-06-03T22:35:00Z",66144730
"2022-06-03T22:36:00Z",67599595
"2022-06-03T22:37:00Z",65526429
"2022-06-03T22:38:00Z",69395039
"2022-06-03T22:39:00Z",63478684
"2022-06-03T22:40:00Z",17410548
"2022-06-03T22:41:00Z",3400
"2022-06-03T22:42:00Z",308884
"2022-06-03T22:43:00Z",8500988
"2022-06-03T22:44:00Z",16296680
"2022-06-03T22:45:00Z",14957541
"2022-06-03T22:46:00Z",15474759
"2022-06-03T22:47:00Z",15108802
"2022-06-03T22:48:00Z",18871305
"2022-06-03T22:49:00Z",24389319
"2022-06-03T22:50:00Z",43481907
"2022-06-03T22:51:00Z",44098172
"2022-06-03T22:52:00Z",44080568
"2022-06-03T22:53:00Z",43779655
"2022-06-03T22:54:00Z",44223574
"2022-06-03T22:55:00Z",62063554
"2022-06-03T22:56:00Z",68219141
"2022-06-03T22:57:00Z",33032742
"2022-06-03T22:58:00Z",4409100
"2022-06-03T22:59:00Z",4898
