"datetime","estimatedALBConsumedLCUs"
"2022-06-04T18:55:00Z",0.00024
"2022-06-04T18:56:00Z",0.00019
"2022-06-04T18:57:00Z",0.00061
"2022-06-04T18:58:00Z",0.00023
"2022-06-04T18:59:00Z",0.00134
"2022-06-04T19:00:00Z",0.03059
"2022-06-04T19:01:00Z",0.04096
"2022-06-04T19:02:00Z",0.0018
"2022-06-04T19:03:00Z",0.0222
"2022-06-04T19:04:00Z",0.0068
"2022-06-04T19:05:00Z",0.02592
"2022-06-04T19:06:00Z",0.02984
"2022-06-04T19:07:00Z",0.01539
"2022-06-04T19:08:00Z",0.0321
"2022-06-04T19:09:00Z",0.0151
"2022-06-04T19:10:00Z",0.02623
"2022-06-04T19:11:00Z",0.03249
"2022-06-04T19:12:00Z",0.0126
"2022-06-04T19:13:00Z",0.04753
"2022-06-04T19:14:00Z",0.02501
"2022-06-04T19:15:00Z",0.02561
"2022-06-04T19:16:00Z",0.04861
"2022-06-04T19:17:00Z",0.01138
"2022-06-04T19:18:00Z",0.04278
"2022-06-04T19:19:00Z",0.02747
"2022-06-04T19:20:00Z",0.02349
"2022-06-04T19:21:00Z",0.04696
"2022-06-04T19:22:00Z",0.01001
"2022-06-04T19:23:00Z",0.04251
"2022-06-04T19:24:00Z",0.03011
"2022-06-04T19:25:00Z",0.02081
"2022-06-04T19:26:00Z",0.04754
"2022-06-04T19:27:00Z",0.00634
"2022-06-04T19:28:00Z",0.00844
"2022-06-04T19:29:00Z",0.03765
"2022-06-04T19:30:00Z",0.04532
"2022-06-04T19:31:00Z",0.04598
"2022-06-04T19:32:00Z",0.04813
"2022-06-04T19:33:00Z",0.04706
"2022-06-04T19:34:00Z",0.01138
"2022-06-04T19:35:00Z",0.03647
"2022-06-04T19:36:00Z",0.04833
"2022-06-04T19:37:00Z",0.04853
"2022-06-04T19:38:00Z",0.04509
"2022-06-04T19:39:00Z",0.04831
"2022-06-04T19:40:00Z",0.0124
"2022-06-04T19:41:00Z",0.03438
"2022-06-04T19:42:00Z",0.0475
"2022-06-04T19:43:00Z",0.04743
"2022-06-04T19:44:00Z",0.04682
"2022-06-04T19:45:00Z",0.04696
"2022-06-04T19:46:00Z",0.01317
"2022-06-04T19:47:00Z",0.03286
"2022-06-04T19:48:00Z",0.04708
"2022-06-04T19:49:00Z",0.04625
"2022-06-04T19:50:00Z",0.04602
"2022-06-04T19:51:00Z",0.04683
"2022-06-04T19:52:00Z",0.01432
"2022-06-04T19:53:00Z",0.00132
"2022-06-04T19:54:00Z",0.00143
"2022-06-04T19:55:00Z",0.00624
"2022-06-04T19:56:00Z",0.01083
"2022-06-04T19:57:00Z",0.01066
"2022-06-04T19:58:00Z",0.00993
"2022-06-04T19:59:00Z",0.01093
"2022-06-04T20:00:00Z",0.01289
"2022-06-04T20:01:00Z",0.02445
"2022-06-04T20:02:00Z",0.02553
"2022-06-04T20:03:00Z",0.02475
"2022-06-04T20:04:00Z",0.02512
"2022-06-04T20:05:00Z",0.02516
"2022-06-04T20:06:00Z",0.02516
"2022-06-04T20:07:00Z",0.03925
"2022-06-04T20:08:00Z",0.04565
"2022-06-04T20:09:00Z",0.04439
"2022-06-04T20:10:00Z",0.01367
"2022-06-04T20:11:00Z",0.0003
"2022-06-04T20:12:00Z",0.00165
"2022-06-04T20:13:00Z",0.0066
"2022-06-04T20:14:00Z",0.00771
"2022-06-04T20:15:00Z",0.00747
"2022-06-04T20:16:00Z",0.00742
"2022-06-04T20:17:00Z",0.00758
"2022-06-04T20:18:00Z",0.00884
"2022-06-04T20:19:00Z",0.02277
"2022-06-04T20:20:00Z",0.02203
"2022-06-04T20:21:00Z",0.02128
"2022-06-04T20:22:00Z",0.0217
"2022-06-04T20:23:00Z",0.02329
"2022-06-04T20:24:00Z",0.02297
"2022-06-04T20:25:00Z",0.03165
"2022-06-04T20:26:00Z",0.04484
"2022-06-04T20:27:00Z",0.02556
"2022-06-04T20:28:00Z",0.00061
"2022-06-04T20:29:00Z",0.00038
"2022-06-04T20:30:00Z",0.00384
"2022-06-04T20:31:00Z",0.00739
"2022-06-04T20:32:00Z",0.00679
"2022-06-04T20:33:00Z",0.00907
"2022-06-04T20:34:00Z",0.00811
"2022-06-04T20:35:00Z",0.01229
"2022-06-04T20:36:00Z",0.01568
"2022-06-04T20:37:00Z",0.02335
"2022-06-04T20:38:00Z",0.0244
"2022-06-04T20:39:00Z",0.0228
"2022-06-04T20:40:00Z",0.02342
"2022-06-04T20:41:00Z",0.02248
"2022-06-04T20:42:00Z",0.02708
"2022-06-04T20:43:00Z",0.0435
"2022-06-04T20:44:00Z",0.0372
"2022-06-04T20:45:00Z",0.00621
