"datetime","estimatedALBActiveConnectionCount"
"2022-06-04T20:55:00Z",4
"2022-06-04T20:56:00Z",4
"2022-06-04T20:57:00Z",4
"2022-06-04T20:58:00Z",4
"2022-06-04T20:59:00Z",4
"2022-06-04T21:00:00Z",25
"2022-06-04T21:01:00Z",24.5
"2022-06-04T21:02:00Z",9.5
"2022-06-04T21:03:00Z",25.5
"2022-06-04T21:04:00Z",9.5
"2022-06-04T21:05:00Z",26.5
"2022-06-04T21:06:00Z",26.5
"2022-06-04T21:07:00Z",9.5
"2022-06-04T21:08:00Z",27.5
"2022-06-04T21:09:00Z",9.5
"2022-06-04T21:10:00Z",28.5
"2022-06-04T21:11:00Z",28.5
"2022-06-04T21:12:00Z",9.5
"2022-06-04T21:13:00Z",29.5
"2022-06-04T21:14:00Z",9.5
"2022-06-04T21:15:00Z",30.5
"2022-06-04T21:16:00Z",30.5
"2022-06-04T21:17:00Z",9.5
"2022-06-04T21:18:00Z",31.5
"2022-06-04T21:19:00Z",9.5
"2022-06-04T21:20:00Z",32.5
"2022-06-04T21:21:00Z",33
"2022-06-04T21:22:00Z",9.5
"2022-06-04T21:23:00Z",33.5
"2022-06-04T21:24:00Z",9
"2022-06-04T21:25:00Z",34
"2022-06-04T21:26:00Z",34
"2022-06-04T21:27:00Z",9
"2022-06-04T21:28:00Z",9
"2022-06-04T21:29:00Z",34
"2022-06-04T21:30:00Z",34
"2022-06-04T21:31:00Z",34
"2022-06-04T21:32:00Z",33.5
"2022-06-04T21:33:00Z",33.5
"2022-06-04T21:34:00Z",9
"2022-06-04T21:35:00Z",34
"2022-06-04T21:36:00Z",34
"2022-06-04T21:37:00Z",34
"2022-06-04T21:38:00Z",34
"2022-06-04T21:39:00Z",34.5
"2022-06-04T21:40:00Z",9.5
"2022-06-04T21:41:00Z",34.5
"2022-06-04T21:42:00Z",34.5
"2022-06-04T21:43:00Z",34.5
"2022-06-04T21:44:00Z",34.5
"2022-06-04T21:45:00Z",34.5
"2022-06-04T21:46:00Z",9.5
"2022-06-04T21:47:00Z",34.5
"2022-06-04T21:48:00Z",34.5
"2022-06-04T21:49:00Z",34.5
"2022-06-04T21:50:00Z",34.5
"2022-06-04T21:51:00Z",35
"2022-06-04T21:52:00Z",7.5
"2022-06-04T21:53:00Z",4.5
"2022-06-04T21:54:00Z",5
"2022-06-04T21:55:00Z",5
"2022-06-04T21:56:00Z",30
"2022-06-04T21:57:00Z",30
"2022-06-04T21:58:00Z",30
"2022-06-04T21:59:00Z",30
"2022-06-04T22:00:00Z",47
"2022-06-04T22:01:00Z",46
"2022-06-04T22:02:00Z",34.5
"2022-06-04T22:03:00Z",33.5
"2022-06-04T22:04:00Z",33.5
"2022-06-04T22:05:00Z",34.5
"2022-06-04T22:06:00Z",34
"2022-06-04T22:07:00Z",34
"2022-06-04T22:08:00Z",34.5
"2022-06-04T22:09:00Z",34.5
"2022-06-04T22:10:00Z",7
"2022-06-04T22:11:00Z",5
"2022-06-04T22:12:00Z",5
"2022-06-04T22:13:00Z",30
"2022-06-04T22:14:00Z",46.5
"2022-06-04T22:15:00Z",34
"2022-06-04T22:16:00Z",34
"2022-06-04T22:17:00Z",34
"2022-06-04T22:18:00Z",34
"2022-06-04T22:19:00Z",34
"2022-06-04T22:20:00Z",34.5
"2022-06-04T22:21:00Z",34.5
"2022-06-04T22:22:00Z",34.5
"2022-06-04T22:23:00Z",34.5
"2022-06-04T22:24:00Z",34.5
"2022-06-04T22:25:00Z",34.5
"2022-06-04T22:26:00Z",34.5
"2022-06-04T22:27:00Z",8
"2022-06-04T22:28:00Z",5
"2022-06-04T22:29:00Z",4.5
"2022-06-04T22:30:00Z",29.5
"2022-06-04T22:31:00Z",29.5
"2022-06-04T22:32:00Z",25.5
"2022-06-04T22:33:00Z",29.5
"2022-06-04T22:34:00Z",29.5
"2022-06-04T22:35:00Z",29.5
"2022-06-04T22:36:00Z",53
"2022-06-04T22:37:00Z",33.5
"2022-06-04T22:38:00Z",33.5
"2022-06-04T22:39:00Z",33.5
"2022-06-04T22:40:00Z",34
"2022-06-04T22:41:00Z",34
"2022-06-04T22:42:00Z",34.5
"2022-06-04T22:43:00Z",34.5
"2022-06-04T22:44:00Z",9.5
"2022-06-04T22:45:00Z",9.5
"2022-06-04T22:46:00Z",9.5
