"datetime","backendConnectionErrors"
"2022-06-05T02:02:00Z",100
"2022-06-05T02:03:00Z",4
"2022-06-05T02:06:00Z",201
"2022-06-05T02:07:00Z",3
"2022-06-05T02:10:00Z",100
"2022-06-05T02:25:00Z",1
"2022-06-05T02:29:00Z",1
"2022-06-05T02:35:00Z",1
"2022-06-05T02:37:00Z",1
"2022-06-05T02:40:00Z",1
"2022-06-05T02:41:00Z",1
"2022-06-05T02:47:00Z",203
"2022-06-05T02:48:00Z",1
"2022-06-05T02:55:00Z",101
"2022-06-05T03:01:00Z",103
"2022-06-05T03:09:00Z",102
"2022-06-05T03:15:00Z",102
"2022-06-05T03:29:00Z",101
"2022-06-05T03:35:00Z",101
